Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Appcelerator Daemon","AMPLIFY Platform Integration","We need a library (amplify-sdk) that handles all of the platform related functionality required by the AMPLIFY CLI, Appc CLI, and Titanium CLI as well as an appcd plugin to expose the amplify-sdk.",Epic,High,Resolved,"2020-04-22 17:46:25","2020-04-22 17:46:25",34
"Appcelerator Daemon","Add multiple platform and Node.js testing to Jenkinsfiles","The Appc Daemon has the ability to run unit tests on all platforms and multiple Node.js versions, however, no other product does. We need a new function added to our internal Jenkins {{pipeline-library}} that adds test matrix ability and normalize the various Jenkinsfiles into a single standard solution that should work for most cases.",Improvement,High,Resolved,"2020-03-26 05:23:08","2020-03-26 05:23:08",13
"Appcelerator Daemon","appcd: Drop support for Node 8 and older","Node 8 is no longer in maintenance after Dec 31, 2019 and npm dependencies are starting to depend on Node 10 as a minimum.    In Daemon 4.0, we need to bump the minimum supported Node version to {{>=10.2.0}}.    We choose 10.2.0 so that we get N-API 3 needed by native deep dependencies.",Story,Critical,Resolved,"2020-03-06 07:29:55","2020-03-06 07:29:55",3
"Appcelerator Daemon","appcd-default-plugins: Yarn and Lerna not found from Appc CLI on Windows","appcd-default-plugins locates lerna and yarn by their {{.cmd}} bin script. However, since the Appc CLI package is built on a Linux machine, npm doesn't create the {{.cmd}} files and thus is not able to find them.    While appcd-default-plugins would have no problem resolving the lerna and yarn bin scripts directly, {{lerna bootstrap}} calls {{yarn}} and expects the shell (e.g. cmd.exe) to locate the {{.cmd}} file and run it. So, we need the {{.cmd}} files.    Adding the {{.cmd}} files to the Appc CLI package when it's being built is probably too much work, instead we can to generate them using the same {{bin-links}} package npm uses.",Bug,Critical,Resolved,"2020-03-03 17:47:37","2020-03-03 17:47:37",5
"Appcelerator Daemon","Windows - Android: No Android SDKs were found under the specified location ","When trying to create an application in Appcelerator Studio the following message can be seen in the application creation screen. No Android SDKs were found under the specified location.    When doing an {{appc appcd status}} from the CLI the following can be seen in the plugins section:       ",Bug,High,Closed,"2020-03-02 14:07:23","2020-03-02 14:07:23",1
"Appcelerator Daemon","Lerna cannot find Yarn when installing default plugins on Windows","appcd-default-plugins can find Yarn, but Lerna cannot. Probably a bug that is easily reproducible on a clean Windows machine as a dev machine likely has Yarn already installed.    System is running Node.js 10.13.0. Appc Daemon core is running Node.js 10.16.3.        This ticket may moot with the new plugin management command (DAEMON-311) and the upgrade to Yarn 2 (DAEMON-318).",Bug,High,Closed,"2020-02-26 23:18:07","2020-02-26 23:18:07",8
"Appcelerator Daemon","node_winreglib.node is not a valid Win32 application","User installs Appc Daemon 3.2.0 with Node.js 10.13.0. When the daemon starts up, the Windows plugin cannot load winreglib:        Note that winreglib uses N-API and is compatible with Node.js 10.2.0 and newer and that the Appc Daemon 3.2.0's core runs Node 10.16.3.    This might be a Windows-only issue as Windows is general the only platform in which plugins are installed at daemon install time, Mac/Linux run into permission issues and have to resort to installing plugins at runtime. This behavior will change in DAEMON-311",Bug,High,Closed,"2020-02-26 23:13:24","2020-02-26 23:13:24",8
"Appcelerator Daemon","appcd-plugin: Registered plugins not sorted when retrieving status for semver range","When getting the status of a plugin where the version is a semver range, it will scan all plugins for a match by name and version. The order of the registered plugins is whichever order they were loaded. The list of plugins must be sorted in order to deterministically find the plugin.    If you have @appcd/plugin-titanium v1.6.0 and v1.8.1 installed, getting the status for {{^1.6.0}} should return v1.8.1.    ",Story,High,Resolved,"2020-02-13 22:45:40","2020-02-13 22:45:40",3
"Appcelerator Daemon","@appcd/plugin-titanium: Add terminal session server with discovery endpoint","The Titanium CLI needs bi-directional communication with the Titanium plugin, however the Appc Daemon dispatcher is not capable of supporting true bi-directional data flow, but rather just single request, multi-part responses.    To work around this, we need the Titanium CLI to locate the Appc Daemon, start it, ensure the Titanium appcd plugin is registered, and call a terminal discovery endpoint. From there, the Titanium CLI will connect to the terminal session endpoint via a WebSocket.",Story,Critical,Resolved,"2020-02-13 15:43:16","2020-02-13 15:43:16",8
"Appcelerator Daemon","template-kit: Template toolkit","The ti new command (and ti add) need to create projects and components based on a template. A general purpose template toolkit would standardize template structure,  make it easy to add templates to other Node.js-based products, and get more people battle testing the library.    The template library specification can be found here: https://techweb.axway.com/confluence/display/pe/Proposal%3A+Project+Template+System.",Story,Critical,Resolved,"2020-02-13 15:33:31","2020-02-13 15:33:31",33
