Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Titanium Mobile Platform","docgen: templates with include syntax broken due to ejs 3 upgrade","ejs removed the {{<% include filename %>}} syntax we use in templates in favour of {{<%- include('filename', \{ data: 'to pass' \})%>}}",Bug,None,Closed,"2020-02-18 10:26:41","2020-02-18 10:26:41",3
"Titanium Mobile Platform","Create and publish release note for CLI 7.1.2.RC","Create and publish CLI 7.1.2.RC release note.","New Feature",High,Closed,"2019-09-24 17:45:17","2019-09-24 17:45:17",8
"Titanium Mobile Platform","Fix formatting issue in Titanium.App-method-getArguments","Vijay has reported a formatting issue in https://docs.appcelerator.com/platform/latest/#!/api/Titanium.App-method-getArguments:   ",Bug,Medium,"In Progress","2019-09-23 23:24:53","2019-09-23 23:24:53",2
"Titanium Mobile Platform","https://docs.appcelerator.com/arrowdb/latest/#!/api/Users fails to render","[~<USER> reported that https://docs.appcelerator.com/arrowdb/latest/#!/api/Users doesn't render and I confirmed it.     Figure out what is wrong here and republish this doc.",Bug,High,Resolved,"2019-09-23 21:02:51","2019-09-23 21:02:51",1
"Titanium Mobile Platform","Create and publish release note for SDK 8.2.1.RC","Create and publish SDK 8.2.1.RC release note.",Improvement,High,"In Progress","2019-09-19 13:31:54","2019-09-19 13:31:54",8
"Titanium Mobile Platform","Fix bad links for fetchSemanticColor﻿﻿ and semanticColorType in https://wiki.appcelerator.org/display/guides2/Titanium+SDK+8.2.0.RC+Release+Note","User reported a bad link in the SDK 8.2.0.RC release note for fetchSemanticColor﻿﻿.     Fix and republish the docs.",Bug,High,Resolved,"2019-09-16 18:55:31","2019-09-16 18:55:31",2
"Titanium Mobile Platform","Create and publish Zoomin bundle for Sphere API documentation","Per my discussion with Iliad, https://techweb.axway.com/confluence/display/ACP/Sphere+API+Guide should be broken up into individual pieces for each API endpoint, a landing page description added (Iliad to add those details), and a Zoomin bundle created so it can be published to the Axway Docs site.","New Feature",High,Resolved,"2019-09-13 17:02:40","2019-09-13 17:02:40",3
"Titanium Mobile Platform","Create and publish release note for SDK 8.2.0.GA","Create and publish SDK 8.2.0.GA release note.",Improvement,High,Closed,"2019-09-06 18:22:00","2019-09-06 18:22:00",8
"Titanium Mobile Platform","Create and publish release note for Studio 5.1.4.RC","Create and publish Studio 5.1.4.RC release note.","New Feature",High,Closed,"2019-09-03 22:59:32","2019-09-03 22:59:32",8
"Titanium Mobile Platform","Create and publish release note for SDK 8.2.0.RC","Create and publish SDK 8.2.0.RC release note.",Improvement,High,Closed,"2019-08-29 18:44:36","2019-08-29 18:44:36",8
