Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"The Titanium SDK ","iOS: Remove deprecated frameworks (AddressBook, AddressBookUI, OpenGLES)","There are some legacy frameworks still being linked as of today, although not even actively used anymore. They should be removed from the iOS source project. This also allows Catalyst apps to now use the Ti.Contacts API! :-)    PR: https://github.com/<USER>titanium_mobile/pull/12188",Improvement,High,"In QE Test","2020-10-17 15:41:42","2020-10-17 15:41:42",8
"The Titanium SDK ","iOS: Package build fails with MediaModule compile error in SDK 9.2.1","This is a different error from [TIMOB-28100|https://jira.<USER>org/browse/TIMOB-28100]    I've attached the log and the specific error is below...          ",Bug,Critical,Resolved,"2020-10-16 12:37:30","2020-10-16 12:37:30",1
"The Titanium SDK ","Angular: Project created from template fails build with type errors","*Steps to reproduce the behavior*    # Create new Angular project with {{appc new --ng}}  # Build project    *Actual behavior*    Build fails with the following error:        *Expected behavior*  Build without error",Bug,High,Resolved,"2020-10-15 18:08:14","2020-10-15 18:08:14",5
"The Titanium SDK ","Android: Implement TableViewRow.hasDetail","- Implement support for {{TableViewRow.hasDetail}} property on Android for parity with iOS.",Improvement,Low,Open,"2020-10-15 18:04:51","2020-10-15 18:04:51",3
"The Titanium SDK ","Deprecate TableView header footer properties","- Deprecate TableView {{header}} and {{footer}} properties in favor of {{headerTitle}} and {{footerTitle}} for consistency with {{TableViewSection}}, {{TableViewRow}}, {{ListView}} and {{ListSection}}.  - Display a warning when {{header}} and {{footer}} are used, recommending the _title_ equivalents.",Improvement,Low,Open,"2020-10-15 17:59:49","2020-10-15 17:59:49",3
"The Titanium SDK ","Android: Horizontal layout ignores right property","- {{right}} property will be ignored on child-views of views using {{horizontal}} layout    *TEST CASE*  {code:js}  const win = Ti.UI.createWindow({   backgroundColor: 'gray'  });  const row = Ti.UI.createView({   layout: 'horizontal',   backgroundColor: 'white',   width: Ti.UI.FILL,   height: 50  });  const view_a = Ti.UI.createView({   backgroundColor: 'green',   left: 50,   // right: 50,   width: 50,   height: 50  });  const view_b = Ti.UI.createView({   backgroundColor: 'red',   // left: 50,   right: 50,   width: 50,   height: 50  });    row.add([ view_a, view_b ]);  win.add(row);  win.open();  {code}    *EXPECTED*  - Layout takes into account {{right}} property of child-view and aligns view to the right.    *ACTUAL*  - {{right}} property is ignored, view is left aligned.",Bug,Medium,Closed,"2020-10-15 17:28:17","2020-10-15 17:28:17",5
"The Titanium SDK ","Android: Selecting multiple photos/videos via openPhotoGallery() can cause a crash as of 9.1.0","This is a regression. Broken since 9.1.0.GA.    Issue is seen only when multiple photos are selected. Selecting multiple photos from google photos does not cause this issue.    h5.Steps to reproduce:  1. Use the code below in the app.js:    2. After the app launches click {{open gallery}}.  3. Select multiple photos from the gallery & click open/select.    h5.Actual result:  1. The app crashes with error:      h5.Expected result:  1. The app should not crash.",Bug,Critical,"In QE Test","2020-10-13 22:29:16","2020-10-13 22:29:16",3
"The Titanium SDK ","Android: Opening TabGroup crashes when using AppCompat theme as of 9.3.0","*Summary:*  When the app is using a {{Theme.AppCompat}} derived theme, opening a {{TabGroup}} will throw an exception as of Titanium 9.3.0 stating the app needs to use {{Theme.MaterialComponents}}. It should only throw this exception when using the badge or badgeColor property.    This regression was caught before release.    *Steps to reproduce:*  # Create a Classic Titanium app project.  # Copy the below {{<application/>}} theme to project's tiapp.xml file.  # Copy the below app.js to the project.  # Build and run on Android.    tiapp.xml  {code:xml}  <ti:app>   <android xmlns:android=http://schemas.android.com/apk/res/android>    <manifest>     <application android:theme=@style/Theme.AppCompat/>    </manifest>   </android>  </ti:app>  {code}    app.js  {code:java}  function createTab(title) {   var window = Ti.UI.createWindow({ title: title });   window.add(Ti.UI.createLabel({ text: title +  View }));   var tab = Ti.UI.createTab({    title: title,    window: window,   });   return tab;  }    var tabGroupSettings = {   tabs: [createTab(Tab 1), createTab(Tab 2), createTab(Tab 3)],  };  if (OS_ANDROID) {   tabGroupSettings.shiftMode = false;   tabGroupSettings.style = Ti.UI.Android.TABS_STYLE_BOTTOM_NAVIGATION;  }  var tabGroup = Ti.UI.createTabGroup(tabGroupSettings);  tabGroup.open();  {code}    *Result:*  App crashes with the following exception...  {code}  [ERROR] TiExceptionHandler: (main) [206,322] Unable to start activity ComponentInfo{com.<USER>testing/org.<USER>titanium.TiActivity}: java.lang.IllegalArgumentException: The style on this component requires your app theme to be Theme.MaterialComponents (or a descendant).  [ERROR] TiExceptionHandler:  [ERROR] TiExceptionHandler:     com.google.android.material.internal.ThemeEnforcement.checkTheme(ThemeEnforcement.java:248)  [ERROR] TiExceptionHandler:     com.google.android.material.internal.ThemeEnforcement.checkMaterialTheme(ThemeEnforcement.java:222)  [ERROR] TiExceptionHandler:     com.google.android.material.badge.BadgeDrawable.<init>(BadgeDrawable.java:361)  [ERROR] TiExceptionHandler:     com.google.android.material.badge.BadgeDrawable.createFromAttributes(BadgeDrawable.java:294)  [ERROR] TiExceptionHandler:     com.google.android.material.badge.BadgeDrawable.create(BadgeDrawable.java:262)  [ERROR] TiExceptionHandler:     com.google.android.material.bottomnavigation.BottomNavigationMenuView.getOrCreateBadge(BottomNavigationMenuView.java:647)  [ERROR] TiExceptionHandler:     com.google.android.material.bottomnavigation.BottomNavigationView.getOrCreateBadge(BottomNavigationView.java:674)  [ERROR] TiExceptionHandler:     ti.modules.titanium.ui.widget.tabgroup.TiUIBottomNavigationTabGroup.updateBadge(TiUIBottomNavigationTabGroup.java:296)  [ERROR] TiExceptionHandler:     ti.modules.titanium.ui.widget.tabgroup.TiUIBottomNavigationTabGroup.updateDrawablesAfterNewItem(TiUIBottomNavigationTabGroup.java:195)  [ERROR] TiExceptionHandler:     ti.modules.titanium.ui.widget.tabgroup.TiUIBottomNavigationTabGroup.addTabItemInController(TiUIBottomNavigationTabGroup.java:171)  [ERROR] TiExceptionHandler:     ti.modules.titanium.ui.widget.tabgroup.TiUIAbstractTabGroup.addTab(TiUIAbstractTabGroup.java:263)  [ERROR] TiExceptionHandler:     ti.modules.titanium.ui.widget.tabgroup.TiUIBottomNavigationTabGroup.addTab(TiUIBottomNavigationTabGroup.java:65)  [ERROR] TiExceptionHandler:     ti.modules.titanium.ui.TabGroupProxy.handlePostOpen(TabGroupProxy.java:480)  [ERROR] TiExceptionHandler:     ti.modules.titanium.ui.TabGroupProxy.onWindowActivityCreated(TabGroupProxy.java:462)  [ERROR] TiExceptionHandler:     org.<USER>titanium.TiBaseActivity.onCreate(TiBaseActivity.java:756)  [ERROR] TiExceptionHandler:     org.<USER>titanium.TiActivity.onCreate(TiActivity.java:47)  [ERROR] TiExceptionHandler:     android.app.Activity.performCreate(Activity.java:8000)  [ERROR] TiExceptionHandler:     android.app.Activity.performCreate(Activity.java:7984)  [ERROR] TiExceptionHandler:     android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1309)  [ERROR] TiExceptionHandler:     android.app.ActivityThread.performLaunchActivity(ActivityThread.java:3422)  [ERROR] TiExceptionHandler:     android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:3601)  [ERROR] TiExceptionHandler:     android.app.servertransaction.LaunchActivityItem.execute(LaunchActivityItem.java:85)  [ERROR] TiExceptionHandler:     android.app.servertransaction.TransactionExecutor.executeCallbacks(TransactionExecutor.java:135)  [ERROR] TiExceptionHandler:     android.app.servertransaction.TransactionExecutor.execute(TransactionExecutor.java:95)  [ERROR] TiExceptionHandler:     android.app.ActivityThread$H.handleMessage(ActivityThread.java:2066)  [ERROR] TiExceptionHandler:     android.os.Handler.dispatchMessage(Handler.java:106)  [ERROR] TiExceptionHandler:     android.os.Looper.loop(Looper.java:223)  [ERROR] TiExceptionHandler:     android.app.ActivityThread.main(ActivityThread.java:7656)  [ERROR] TiExceptionHandler:     java.lang.reflect.Method.invoke(Native Method)  [ERROR] TiExceptionHandler:     com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:592)  [ERROR] TiExceptionHandler:     com.android.internal.os.ZygoteInit.main(ZygoteInit.java:947)  {code}    *Expected Result:*  Should not crash if the [Tab.badge|https://docs.<USER>com/platform/latest/#!/api/Titanium.UI.Tab-property-badge] property is not set. However, if the code does set this property, then this error does make sense because it can't natively work without using a {{Theme.MaterialComponents}} derived theme. So, it should only throw or log the exception when this property is assigned.  ",Bug,Critical,Resolved,"2020-10-13 00:05:51","2020-10-13 00:05:51",3
"The Titanium SDK ","macOS: CLI does not generate macOS icons","When generating app icons, the CLI does not handle macOS icons so far (seen via a slack question), making it impossible to deploy the app to the Mac App Store",Bug,High,Resolved,"2020-10-09 14:26:29","2020-10-09 14:26:29",3
"The Titanium SDK ","Android: Add Ti.Media.requestPhotoGalleryPermissions() support","*Summary:*  We should add the following methods on Android for parity with iOS...  * [Ti.Media.requestPhotoGalleryPermissions()|https://docs.<USER>com/platform/latest/#!/api/Titanium.Media-method-requestPhotoGalleryPermissions]  * [Ti.Media.hasPhotoGalleryPermissions()|https://docs.<USER>com/platform/latest/#!/api/Titanium.Media-method-hasPhotoGalleryPermissions]    *Functionality:*  On Android 9 and below, these methods should check if the app has {{WRITE_EXTERNAL_STORAGE}} permission.    On Android 10 and above, these methods should always return {{true}} since we do not need write permission to save a photo/video to the gallery once [TIMOB-28059] has been implemented. Google documents this here...  https://developer.android.com/training/camera/photobasics#TaskPath    *Note:*  Currently, Titanium app developers must use the [Ti.Filesystem.requestStoragePermissions()|https://docs.<USER>com/platform/latest/#!/api/Titanium.Filesystem-method-requestStoragePermissions] and [Ti.Filesystem.hasStoragePermissions()|https://docs.<USER>com/platform/latest/#!/api/Titanium.Filesystem-method-hasStoragePermissions] methods before saving to the gallery. This is okay, but we don't need to check for {{WRITE_EXTERNAL_STORAGE}} permission on Android 10 and above when saving to the gallery. We also don't want to change the [Ti.Filesystem.requestStoragePermissions()|https://docs.<USER>com/platform/latest/#!/api/Titanium.Filesystem-method-requestStoragePermissions] method's implementation since it's still needed in case you want to write to other locations on external storage.  ",Improvement,Medium,Closed,"2020-10-09 03:03:48","2020-10-09 03:03:48",5
