Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Appcelerator Studio","With latest RC build all open projects are rebuilt on every studio launch","This is a regression with latest RC.  The issue did not happen on older version of 6.0 RC build.    Every time studio is launched then all the loaded and open projects are rebuilt.",Bug,High,Closed,"2020-05-12 02:15:14","2020-05-12 02:15:14",5
"Appcelerator Studio","iOS: Debugging on 13.4 Simulators shows a 'Debug child count update' error","When debugging using iOS 13.4 simulators the following error is shown (not seen using iOS 13.1 Sims).     !Screenshot 2020-04-16 at 15.54.56.png|thumbnail!     *Test Steps:*  # Download Appc studio 6.0.0 (e.g. from https://preview.appcelerator.com/appc-studio/)  # Download the latest SDK from 9_0_X (In this case 9.0.1.v20200415143120)  # Make sure you have iOS13.4 sims installed (will require XCode 11.4)  # Create an alloy application  # Set breakpoints in the {{index.js}} (line 2 and 5 for example)  # Debug to 13.4 Simulator   # Try {{step in}} or click on {{hello world}}    *Expected result*  Application should debug without any issues     *Actual result*  Above error is shown",Bug,High,Closed,"2020-04-16 16:03:03","2020-04-16 16:03:03",8
"Appcelerator Studio","[Windows] When checking windows processes, APPC Studio process shows as Java","Once APPC studio is running and the user checks running processes, APPC studio is shown as JAVA platform.    *Test Steps:*  # Download an APPC studio build in this case a GA candidate (https://<USER>appcelerator.org/job/appcelerator-studio/job/titanium_studio/job/master/155)  # Run the installer  # Create a new work space  # Press {{CTRL + ALT + DELETE}}  # Select Task manager   # Look for the Appcelerator studio process     *+Actual result:+* (APPC Studio: 6.0.0.202003181504)  Running process is seen as:    !image-2020-03-24-14-08-57-530.png|thumbnail!     *+Expected result:+* (APPC Studio: 5.1.4.201909061933)  Running process should be seen as:    !image-2020-03-24-14-09-54-698.png|thumbnail! ",Bug,Medium,Closed,"2020-03-24 14:11:41","2020-03-24 14:11:41",8
"Appcelerator Studio","[Windows] Syntax highlighting is not present","When creating/opening an application in APPC studio, no syntax highlighting can be seen (e.g tiapp.xml or JS files).    +*Steps to reproduce:*+  # Download an APPC studio build in this case a GA candidate  (https://<USER>appcelerator.org/job/appcelerator-studio/job/titanium_studio/job/master/155)   # Run the installer  # Create a new work space   # Create an Alloy or Titanium application   # Check the Tiapp.xml and JS files    *+Actual result+*  No syntax formatting is seen    *+Expected result+*  Syntax formatting should be seen",Bug,Critical,Closed,"2020-03-24 13:17:51","2020-03-24 13:17:51",8
"Appcelerator Studio","Issues with version number and About page in RC build","The latest RC build for 6.0.0 studio has following issues:  1. The splash screen does not show the version number. Instead it shows a placeholder ${qualifiedVersion}  Similarly the diagnostic logs show the placeholder instead of exact value.    2. The About Axway Appcelerator Studio page does not open. It shows the following error  ",Bug,Critical,Closed,"2020-03-13 21:06:05","2020-03-13 21:06:05",3
"Appcelerator Studio","Fix Windows Installer signing: SignTool Error: The specified timestamp server either could not be reached or returned an invalid response.","This is currently breaking builds of the Windows Installer. The old timestamp URL/server has been de-commissioned and the new URL I tried doesn't seem to be working either.",Story,Critical,Closed,"2020-03-02 20:33:52","2020-03-02 20:33:52",8
"Appcelerator Studio","Fix Mac Installer signing: need new key/cert pair","This is currently breaking builds of the Mac Installer, as the private key/cert pair are now expired.",Story,Critical,Closed,"2020-03-02 15:57:25","2020-03-02 15:57:25",8
"Appcelerator Studio","Remove API Builder capabilities","h5.Description    API Builder v3 is being retired, and will be removed from Appc CLI 8. We should also remove these CLI-1385",Story,Medium,Closed,"2020-02-19 18:50:51","2020-02-19 18:50:51",3
"Appcelerator Studio","Tiapp is outdated for classic HTML based application ","h4. Description  The Tiapp.xml is outdated for classic HTML based application, including such things as iPhone instead of ios and still including blackberry as a target   h4. Steps to reproduce:  # In studio navigate File > New > Mobile App Project > Classic > HTML-based Application  # Create the application   # Open the tiapp.xml tab in the bottom left   h4. Actual        h4. Expected  The tiapp.xml should be up to date like the other templates ",Bug,Low,Reopened,"2016-07-13 18:30:55","2016-07-13 18:30:55",1
"Appcelerator Studio","Android: Module packaging disabled in studio for module created with SDK supporting gradle","h5.Steps to reproduce:  1. Create an android module with SDK 9.0.0 which has the gradle fixes.  2. Try to package the module.    h5.Actual results:  1. Module package options are disabled for the module.    h5.Expected results:  1. Module packaging options should be enabled & functional.",Improvement,High,Closed,"2019-12-17 01:11:14","2019-12-17 01:11:14",8
"Appcelerator Studio","iOS Simulator stopped working after completing app building in Axway Appcelerator Studio Version: 5.1.4.201909061933","After updating Axway Appcelerator Studio to Version: 5.1.4.201909061933, customer facing an issue. The issue is, whenever client starts an iOS simulator from appcelerator studio for app building, it starts. After completing app building, if client stopped/quitted the application from app building, it killed the iOS simulator as well.     It also happened from appcelerator CLI.   He downgraded from Xcode 11.2.1 to Xcode 11.1, but it didn't change the situation.   *Attachments*:  1. appc ti info  2. trace log from app building",Bug,None,Closed,"2019-11-18 16:38:26","2019-11-18 16:38:26",0
"Appcelerator Studio","Upgrade Eclipse base to 4.13","Latest GA of eclipse is 4.13 (2019-09 R) We should move our builds to use that as our base. This will eliminate 32-bit linux, windows and macOS builds and force us to ship all 64-bit RCPs.",Improvement,Critical,Closed,"2019-11-11 13:59:47","2019-11-11 13:59:47",21
"Appcelerator Studio","iOS:Running iOS app on same simulator multiple times throws error and exits with code 165","*Steps to Reproduce:*  1.Create a classic app  2.Run on iOS simulator   3.Rerun on same simulator again    *Actual:*  throws error and exits  [INFO] :   Launching iOS Simulator  [TRACE] :  [ioslib] Selected iOS Simulator: iPhone 6  [TRACE] :  [ioslib]   UDID    = 2A09648F-A541-4DD5-9E06-3B6087C54CB3  [TRACE] :  [ioslib]   iOS     = 12.2  [TRACE] :  [ioslib] Autoselected Xcode: 10.3  [TRACE] :  [ioslib] Checking if the simulator /Applications/Xcode.app/Contents/Developer/Applications/Simulator.app/Contents/MacOS/Simulator is already running  [TRACE] :  [ioslib] Simulator is not running  [TRACE] :  [ioslib] Tailing iPhone 6 Simulator system log: /Users/<USER>Library/Logs/CoreSimulator/2A09648F-A541-4DD5-9E06-3B6087C54CB3/system.log  [ERROR] :  An error was encountered processing the command (domain=com.apple.CoreSimulator.SimError, code=165):  Unable to shutdown device in current state: Shutdown    *Expected:*  App should launch fine    *Notes:*  *It is happening only on studio not on command line  ",Bug,None,Closed,"2019-08-15 19:13:03","2019-08-15 19:13:03",5
"Appcelerator Studio","Studio throws Apple's warning about 64 bit compatibility on launching studio 5.1.3 ","*Steps to Reproduce:*  1.Fresh install Appcelerator studio (5.1.3.201907112159)  2.launch studio for the first time    *Expected:*  Appc studio should launch fine   *Actual:*  Throws apple's  warning about 64 bit  compatibility  on launch as *Appcelerator studio is not optimized for your Mac and need to be updated*  Notes:  found that set icon has 32 bit .not sure whether this one causes the warnings",Bug,None,"In Review","2019-08-13 22:05:59","2019-08-13 22:05:59",1
"Appcelerator Studio","Studio fails on Android checks though sdk installed ","*Steps To Reproduce:*  1.Set up new machine  2.Having npm,node,java,xcode,appcelerator installed   2.Install appcelerator studio  3.Select sdks and Configure Android platform via studio  4.Configuration done succesfully    *Expected:*  Android checks on studio should be checked and should able to build and run app on android   *Actual:*  Android checks in studio are not checked and not able to build and run app on android     *NOTES:*  Did android setup through appcelerator studio only.not via android studio.  On cli sdk were detected and listed on app ti info. Added appc ti info output      ",Bug,Medium,Open,"2019-06-26 19:39:22","2019-06-26 19:39:22",10
"Appcelerator Studio","Support inline source mapping","We currently support source maps written to external files. However, we've started to move towards inlining source maps for the transpile phase. We should support reading in and using the inlined source maps on the generated JS files.",Improvement,None,Closed,"2019-06-07 14:53:04","2019-06-07 14:53:04",8
"Appcelerator Studio","Studio should not rebuild workspace when a file under build directory has changed","*Summary:*  Appc Studio monitors *+all+* file changes under the project's directory tree. When any file has been added/removed/changed, it'll display Building Workspace.    Appc Studio is also monitoring the project's build subdirectory as well, when it shouldn't. This means doing an app build will trigger the Building Workspace several several times in the middle of the build process. Studio should be modified to not monitor the build subdirectory.    *Steps to reproduce:*  # Build and run a project in Studio to Android or iOS.  # Notice that Building Workspace is shown in Studio's status bar until the build ends.  # Go to your project directory in Finder or Windows Explorer.  # Go to subdirectory build/android or build/ios.  # Modify one of the build files.  # Notice that Building Workspace is shown in Studio's status bar.    *Note 1:*  The rebuilding of the workspace for project file changes is actually very fast in Studio and does not beachball the app. So, resolving this issue is more for eliminating the noise that ends up being displayed.    *Note 2:*  Perhaps Studio should ignore the Resources directory for Alloy projects as well? This is because building an Alloy app will generate files under this directory.  ",Improvement,Low,Resolved,"2019-05-29 01:14:37","2019-05-29 01:14:37",8
"Appcelerator Studio","Debugger: Exception in variable view due to empty labels for few variables","Exceptions are shown when expanding a variable to view its child key-values. The exception gets generated when a blank row/rows are shown in the variable view.    On iOS this issue doesn't really occur but was seen when during debug a source file was opened showing Source not found.  On Android it is easily reproducible for few variables like when we expand the variables Ti or Titanium or Tabgroup or Win    Steps to Reproduce:  1. Create a default classic titanium project  2. Add a breakpoint to tabGroup.open()   3. Debug on Android device/emulator  4. When the debug thread gets suspended on the brekapoint, check the variables view and expand the variable tabgroup    Actual Result:  Blank rows are shown upon expansion. Also exceptions are shown. Following are the studio logs:    ",Bug,None,Closed,"2019-05-10 19:27:58","2019-05-10 19:27:58",8
"Appcelerator Studio","Debugger: Debug on Android fails with exception during app launch on device","When trying to debug a titanium project on Android device it fails with an exception at the time of app launch.    Steps to Reproduce:  1. Create a titanium project  2. Select to debug on Android device    Actual Result:  The project builds and installs on device successfully. When the debugger tries to launch the app on the device it fails with exception as below:      Expected Result:  The debugger should work on Android device",Bug,High,Closed,"2019-05-09 22:55:21","2019-05-09 22:55:21",0
"Appcelerator Studio","iOS Debug: The iOS debug breaks on few anonymous files before app launches","Debug of alloy or classic app on iOS device or iOS simulator breaks few times on anonymous files before the app launch or the user added breakpoint.    This happens with 8.0.0.X SDK builds and the issue is not seen when the app is built with 7.5.0.GA    Steps to Reproduce:  1. Create an alloy or classic app  2. Set a breakpoint in a js file in the created app project  3. Debug on iOS simulator or device    Actual Result:  The debug process breaks at few anonymous files before the app launch and before it hits the user added breakpoint.  Check the screenshots as well from studio showing the debug stack    Expected Result:  The debug process should break at the user added breakpoint",Bug,None,Closed,"2019-01-31 22:17:22","2019-01-31 22:17:22",8
"Appcelerator Studio","Appcelerator Studio : Capture performance profile button which looks disabled","Hello!  We are trying to run performance profiler and not able to click on the Capture performance profile button which looks disabled. Please take a look at the attached screenshot.  You can see in this the load snapshot button is enabled but the performance capture button is disabled.    Studio details :      Thanks     ",Bug,High,Closed,"2019-02-28 19:06:46","2019-02-28 19:06:46",0
"Appcelerator Studio","iOS Debug: Not able to debug on iOS Simulator version 11.3","Debug not successful on iOS simulator v11.3. The breakpoints are not hit.    Debug of same application worked for iOS simulator v11.0, v10.3    The results are same irrespective of different SDK and CLI versions.    Steps to Reproduce:  1. Create a default alloy project  2. In index.js, add some breakpoints  3. Debug on any iOS simulator of version 11.3    Actual Result:   Breakpoints not hit. The project builds and launches successfully on the simulator.",Bug,High,Closed,"2018-05-02 10:09:36","2018-05-02 10:09:36",8
"Appcelerator Studio","Studio 6.0 RC: Update Studio 6.0 with the JDK 11 temporary links for macOS and Win64","For Studio 6.0 RC, we need to update the installers with the Java 11 temporary links.    Since Java 10 and 11 won't support 64-bit JDK installers will update only Studio Windows 64bit and macOS installers.    ",Improvement,High,Closed,"2018-11-26 15:41:33","2018-11-26 15:41:33",5
"Appcelerator Studio","Studio 6.0 GA: Install Java 11 with Studio 6.0 installers","Install Java 11(LTS) with the Studio 6.0 installers(Windows and macOS)    Installer links:  http://go.appcelerator.com/installer_jdk_mac  http://go.appcelerator.com/installer_jdk_windows  http://go.appcelerator.com/installer_jdk_windows_x64",Improvement,High,Closed,"2018-11-19 08:05:28","2018-11-19 08:05:28",5
"Appcelerator Studio","Fixing JSStyle Validator issues with Graal","Following test cases need to be addressed with ES6 changes    com.aptana.js.internal.core.build.JSStyleValidatorTest.testTabsDontMessUpOffset  com.aptana.js.internal.core.build.JSStyleValidatorTest.testBadAssignmentA1  com.aptana.js.internal.core.build.JSStyleValidatorTest.testBadAssignmentA5  com.aptana.js.internal.core.build.JSStyleValidatorTest.testStatementBlock1  com.aptana.js.internal.core.build.JSStyleValidatorTest.testStatementBlock2  com.aptana.js.internal.core.build.JSStyleValidatorTest.testWeirdProgram1  com.aptana.js.internal.core.build.JSStyleValidatorTest.testWeirdProgram2  com.aptana.js.internal.core.build.JSStyleValidatorTest.testWeirdProgram3  com.aptana.js.internal.core.build.JSStyleValidatorTest.testUseArray3  com.aptana.js.internal.core.build.JSStyleValidatorTest.testEmptyBlock1  com.aptana.js.internal.core.build.JSStyleValidatorTest.testEmptyBlock2  com.aptana.js.internal.core.build.JSStyleValidatorTest.testEmptyBlock3  com.aptana.js.internal.core.build.JSStyleValidatorTest.testEmptyBlock4  com.aptana.js.internal.core.build.JSStyleValidatorTest.testEmptyBlock5  com.aptana.js.internal.core.build.JSStyleValidatorTest.testMoveInvocation2  com.aptana.js.internal.core.build.JSStyleValidatorTest.testUnreachableAB1  com.aptana.js.internal.core.build.JSStyleValidatorTest.testUnreachableAB2  com.aptana.js.internal.core.build.JSStyleValidatorTest.testUnreachableAB3  com.aptana.js.internal.core.build.JSStyleValidatorTest.testStatementBlockOK2  com.aptana.js.internal.core.build.JSStyleValidatorTest.testMissingA1  c",Story,High,Closed,"2018-11-08 01:20:30","2018-11-08 01:20:30",5
"Appcelerator Studio","Update studio to new IOS module zip path to match with SDK changes","h5. Description:  1. SDK now looks for packaged IOS module zip at a new location in the module project here:    2. Studio 5.1.1 throws error while trying to packaging:    3. Studio needs to be updated to look for the module in the new path as well as old path for backward compatibility.    h5. Expected result:  1. Studio does not throw error while packaging IOS module.",Improvement,None,Closed,"2018-10-31 16:56:39","2018-10-31 16:56:39",1
"Appcelerator Studio","Update the Node.js installer links to the latest LTS 10.13","Update the Appcelerator Node.js installer links to 10.13 (ideally with or before our SDK 8.0.0 coupled release)    http://go.appcelerator.com/installer_nodejs_osx  http://go.appcelerator.com/installer_nodejs_windows.msi",Improvement,High,Closed,"2018-10-31 15:47:12","2018-10-31 15:47:12",3
"Appcelerator Studio","Enable Always launch without asking option","By default enable Always launch without asking option and but have a provision to change from the studio preferences if required.    With this change, even if the project is having the errors it will continue to build the project without showing a confirmation prompt.    ",Improvement,Medium,"In Review","2018-10-30 07:09:47","2018-10-30 07:09:47",3
"Appcelerator Studio","Syntax errors in imported sample project hyperloop-examples","Syntax errors related to ES6 code snippets in the Hyperloop-examples sample project are shown.",Bug,High,Closed,"2018-10-19 12:01:30","2018-10-19 12:01:30",5
"Appcelerator Studio","LiveView: Newline character is displayed when using liveview","Community credit to [~cmoss] for locating the problem    On both iOS and Android, when running an app with liveview translations with a newline character are displayed.    When running without liveview the newline is displayed, and the newline character is hidden.  See attached screenshots for iOS and Android     strings.xml      index.xml      index.tss:  {code}  #myLabel: {    color: #000000,    text: L(Test)  }  {code}    Problem occurs also in xml:  {code:xml}  <Label>L(Test)</Label>  {code}    Problem doesn't occur when using the textid property.",Bug,High,Closed,"2018-08-20 13:55:58","2018-08-20 13:55:58",3
"Appcelerator Studio","[Android]If USB debugging is not accepted on device, user is unable to select device/emulator from drop down menu ","When connecting an android device to the PC where USB debugging has not been accepted it is not possible to select a device/emulator from the drop down menu.     *Test Steps:*  # Create an alloy application in Studio  # Connect a new device to the PC   # When 'Allow USB debugging?' is shown do not press anything   # Go back to studio and try to select a device/emulator from the following drop down menu:  !Screenshot 2018-10-12 at 11.20.09.png|thumbnail!     *Expected result:*  Allow user to accesses the drop down menu.     *Actual result:*  User is unable to access drop down menu.    *Additional information:*    *Daemon message:*      *Appc ti info message*    ",Bug,Medium,Closed,"2018-10-12 11:29:04","2018-10-12 11:29:04",3
"Appcelerator Studio"," Errors while importing ES6 based project into studio","Import kitchen sink ES6 based app into studio 5.2.0 - during the import it's throwing the following error. This ticket will help us to track this issue.    *To reproduce:*  Download https://github.com/appcelerator/kitchensink-v2 or Movies3 old app  drag-and-drop this project into studio 5.2.0 project explorer          ",Story,High,Open,"2018-10-11 03:57:28","2018-10-11 03:57:28",3
"Appcelerator Studio","Support 'source-maps' property in tiapp.xml ","At the moment when the {{tiapp.xml}} includes 'source-maps' (https://jira.appcelerator.org/browse/TIMOB-26333) studio shows an error.     Steps to reproduce:  1. Enable source-maps by adding the <source-maps>true</source-maps> flag to your tiapp.xml  2. tiapp.xml shows the error on the source-maps keyword",Improvement,Medium,Closed,"2018-10-10 14:28:18","2018-10-10 14:28:18",2
"Appcelerator Studio","Studio prompts for hyperloop plugin update with SDK > 7.0 if hyperloop folder inside modules directory is deleted.","Check for updates in Studio prompts for update of Hyperloop plugin even though there is no Ti SDK < 7.0. This happens only after deleting the Hyperloop folder that exists under modules.    Steps to Reproduce:  1. Delete the Hyperloop folder from ~/Library/Application Support/Titanium/modules/android/ or  ~/Library/Application Support/Titanium/modules/ios/  2. Ensure the ~/Library/Application Support/Titanium/mobilesdk/osx/ has SDK only >= 7.0  3. In Studio, check for updates    Actual Result:  The updates show an update for Hyperloop plugin to 1.2.8    Expected Result:  There should be no update prompt for Hyperloop when there are no SDK < 7.0",Bug,Medium,Closed,"2018-10-10 12:57:49","2018-10-10 12:57:49",3
"Appcelerator Studio","Cannot launch studio with JDK 11","Cannot launch studio with JDK 11. Upon launch an error is shown. Below is the error log  ",Bug,High,Closed,"2018-09-28 05:40:34","2018-09-28 05:40:34",8
"Appcelerator Studio","Studio 5.1.1.GA does not show the right release notes for SDK 7.4.0.GA","h5.Steps to reproduce:  1. Check for 7.4.0.GA updates from studio.  2. Wait for the update modal window to come up.  3. Observe the release notes.    h5. Actual results:  1. We do see the docs webpage instead of the release notes for 7.4.0.GA.  Attached a screenshot for reference.    h5.Expected results:  1. The release notes for 7.4.0.GA should be seen.  ",Bug,High,Closed,"2018-09-17 22:57:48","2018-09-17 22:57:48",3
