Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Atlassian Bamboo ","Add the MSTest Agent to stock Windows Elastic Image","The MS Test command line utility is very useful for running Microsoft Framework Unit Test. By utilizing the MS Test Agent installer, you do not have to fully install Visual Studio on the elastic image.    This can allow folks to utilize MS Test on the Elastic Images without having to customize and AMI.    [MS Test Agent 2010|http://www.microsoft.com/en-us/download/details.aspx?id=1334]  [MS Test Agent 2012|http://www.microsoft.com/en-us/download/details.aspx?id=38186]    Notes and comments from the support team are located here: [https://support.atlassian.com/browse/JST-70692]",Suggestion,,"Gathering Interest","2013-07-23 16:35:14","2013-07-23 16:35:14",3
"Atlassian Bamboo ","Doc pages that need updating","https://developer.atlassian.com/display/REST/_Version+Compatibility+for+REST+Plugin https://developer.atlassian.com/display/SAL/_Version+Compatibility+for+Shared+Access+Layer",Suggestion,,Closed,"2012-11-08 03:48:18","2012-11-08 03:48:18",0.5
"Atlassian Bamboo ","Allow re-running this build without triggering dependant child-plans.","!https://extranet.atlassian.com/download/attachments/2013305598/rerun-this-build-menu.png?version=2&amp;modificationDate=1343795054858&amp;effects=border-simple,blur-border!    * User may only want to re-run the single plan without triggering dependant builds.  * When you click re-run this build a dialog should popup  * Checkbox to disable the dependencies  ** Disable building dependencies",Suggestion,,Closed,"2012-11-08 03:01:06","2012-11-08 03:01:06",2
"Atlassian Bamboo ","Bundle Heroku plugin into Bamboo","* We need a plan to test the plugin on our Bamboo server (it has tests)  * Bundle into download and OnDemand",Suggestion,,Closed,"2012-10-12 00:42:57","2012-10-11 23:42:57",2
"Atlassian Bamboo ","Ensure that once off builds are clearly differentiated from normal builds","  !https://extranet.atlassian.com/download/attachments/2013305598/buildtypes-result-summary.png?version=1&modificationDate=1346118879586&effects=border-simple,blur-border!    !https://extranet.atlassian.com/download/attachments/2013305598/buildtypes-result-list.png?version=1&modificationDate=1346119274450&effects=border-simple,blur-border!    !https://extranet.atlassian.com/download/attachments/2013305598/buildtypes-summary.png?version=1&modificationDate=1346118918062&effects=border-simple,blur-border!",Suggestion,,Closed,"2012-10-12 00:35:46","2012-10-11 23:35:46",2
"Atlassian Bamboo ","Pass the revision to build via REST","Ask <USER>what he had exactly on mind. Was it about queue resource to accept additional parameter like customRevision?  I envisioned that this (or similar) issue will be done as a part of BDEV-1082 anyway...  ",Suggestion,,Closed,"2012-10-12 00:34:04","2012-10-11 23:34:04",0.5
"Atlassian Bamboo ","Improve the UX of the custom build dialog","!https://extranet.atlassian.com/download/attachments/2013305598/run-with-revision.png?modificationDate=1343797439081&amp;effects=border-simple,blur-border!    * An empty text input should mean that we will use the latest revision.  * In this dialog we should re-use the same Variables widget that we use to override variables in the Branch config and NOT the one from JBAM.  * the inline overriding of Stages: We already have this in the current dialog (hidden in a tab) - all we are doing is moving all of the operations onto a single screen.  * What do we want to do if there's a long list of stages? Anything? Just scroll? Maybe switch the order of the fields around? -> For the moment, we should just scroll.  * You can only specify revisions for the default repository (for the moment)  ",Suggestion,,Closed,"2012-10-12 00:32:05","2012-10-11 23:32:05",2
"Atlassian Bamboo ","A user can manually link any branch to any issue.","* Handle situations where the manual linking was wrong or didn't work * Link the branch to an issue if there is not one already set * Remove the issue that is linked to the branch * Should be only be able to link to ONE issue * Field should go on Branch details ",Suggestion,,Closed,"2012-08-14 00:59:47","2012-08-13 23:59:47",2
"Atlassian Bamboo ","Get more tasks link on task browser is broken","* File a bug with AMKT (ecosystem.atlassian.net) for the broken link  * Directly to category https://marketplace.atlassian.com/plugins/app/bamboo/popular?category=Bamboo+Tasks",Bug,Low,Closed,"2012-07-26 01:56:10","2012-07-26 00:56:10",0.5
"Atlassian Bamboo ","Create Branch error handling looks broken","\The spinner will continue to spin, and the error message sits weird.",Bug,Low,Closed,"2012-07-26 01:50:59","2012-07-26 00:50:59",1
"Atlassian Bamboo ","Combine Automatic Detection and Automatic removal into a single Automatically manage branches feature","* Implement mockup (see attached) ** For Subversion, the branches root section should still be at the top of the screen! * heading Automatic Branch Detection change to Automatically Manage branches ** Description Bamboo will automatically manage the creation of new branches when Bamboo detects a new branch in your version control system and the removal of the branch from Bambooo after a specified period of inactivity. Detection of new branches runs every 5 minutes. ** Enabled checkbox becomes Automatically manage branches  * Remove after Enabled checkbox is removed and remove after becomes part of the same section as Automatically manage branches  * Remove after description Branches will be automatically removed after a specified period if no commits to the VCS branch have been made. You can exclude individual Branches on their Branch Details pages. Branches will not be removed from your Version Control System and cleanup runs daily at 3am.  * Create an upgrade task to disable automatic removal if the automatically manage branches checkbox is disabled. ** Since enabling automatic creation and automatic removal will be combined, it wont be possible to enable, disable or change the automatic removal value  * Move Notifications section to the very bottom of the page  * If the expiry is zero, do not expire branches  ",Suggestion,,Closed,"2012-07-26 01:49:23","2012-07-26 00:49:23",2
"Atlassian Bamboo ","Mismatch between 'merged' status of XML and BuildDefinition","Causes 'build definition snapshot' problem - the build definition is no longer taken from the master chain.",Bug,Highest,Closed,"2012-07-26 01:31:39","2012-07-26 00:31:39",3
"Atlassian Bamboo ","Exception on My Bamboo -> My Broken Plans","Seen on Tardigrade  ",Bug,Highest,Closed,"2012-07-26 01:30:00","2012-07-26 00:30:00",1
"Atlassian Bamboo ","Null environment variable values prevent builds from running","    We should probably change nulls to empty strings in ProcessUtils whenever ProcessBuilder.environment().put/putAll() is called.",Bug,Medium,Closed,"2012-05-28 03:09:14","2012-05-28 02:09:14",1
