Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Atlassian Clover","Instrument Groovy traits and show code coverage for them","*Current status*    Groovy 2.3 introduced traits - a code construct for composition of behaviours:   * http://docs.groovy-lang.org/latest/html/documentation/core-traits.html    Currently Clover handles them like an interface - it records the class name in a database but it does not instrument the class, so it shows no code coverage in reports for them.     Side note: Clover's reports by default do not show classes containing no executable code (empty classes, plain enums, interfaces with no default methods, traits) - you can show them by setting [showEmpty=true|https://confluence.atlassian.com/display/CLOVER/clover-report] parameter.    *Proposed improvement*    Instrument Groovy traits like normal classes or enums.     Side note: Groovy 2.5 will probably not introduce interfaces with default methods (like in Java 8).    * http://docs.groovy-lang.org/next/html/documentation/#_interface    *Technical obstacles*    * method '$CLV_R$' is private but should be public in a trait  * method 'com_atlassian_clover.CoverageRecorder $CLV_R$()' must not be static; only fields may be static in a trait  * field '$CLV_R$' is not 'public static final' in a trait  ",Suggestion,,Closed,"2016-06-29 11:27:19","2016-06-29 11:27:19",8
"Atlassian Clover","Fix Ant 1.9.7 double quotes","Ant prior to version 1.9.7 incorrectly handled arguments containing white space characters (they were being passed as separate arguments). For this reason, we put various paths (e.g. path to a license file) in double quotes.   This has been fixed in Ant 1.9.7. However, as a consequence it does not strip double-quotes now, so paths are interpreted literally - with quotes.  We need a fix on Clover side, but at the same time to keep compatibility with older Ant versions.   Consider adding proper flag for Clover-for-Ant tasks (e.g. withQuotes=true).  See also:  * BAM-10740  * BAM-17201",Bug,Low,Closed,"2016-06-21 14:17:27","2016-06-21 14:17:27",2
"Atlassian Clover","Clover does not instrument all nodes in Groovy AST","Problem was reproduced in Groovy 2.4.3 and 2.4.4:    https://answers.atlassian.com/questions/39141626/why-is-clover-showing-green-on-gray    https://answers.atlassian.com/questions/39141622/incomplete-clover-coverage-in-grails-2.5-integration-testing",Bug,Highest,Closed,"2016-06-21 05:33:36","2016-06-21 05:33:36",5
"Atlassian Clover","Support Eclipse 4.6 Neon","Make Clover-for-Eclipse compatible with Eclipse Neon. Problems found so far:    1. Running optimised tests throws an exception (/)        2. Deprecated API (/)    SubProgressMonitor in org.eclipse.core.runtime has been deprecated   ViewerSorter in org.eclipse.jface.viewers has been deprecated   setSorter(ViewerSorter) in StructuredViewer has been deprecated   Main(PrintWriter,PrintWriter,boolean) in Main has been deprecated    3. Code incompatibility (/)    CoverageAnnotationModel is not abstract and does not override abstract method getAnnotationIterator() in IAnnotationModel",Suggestion,,Closed,"2016-06-15 11:14:15","2016-06-15 11:14:15",3
"Atlassian Clover","Make Clover instrumentation work in multi java project builds",,Suggestion,,Closed,"2016-02-18 11:45:44","2016-02-18 11:45:44",3
"Atlassian Clover","Provide simple reporting task which generate Clover report","Let's stick to html report only for now.    Don't bother about multi project build for now ",Suggestion,,Closed,"2016-02-18 11:38:25","2016-02-18 11:38:25",2
"Atlassian Clover","Provide high level task which will execute tests in simple module java project",,Suggestion,,Closed,"2016-02-18 10:58:24","2016-02-18 10:58:24",4
"Atlassian Clover","Provide high level instrumentation task which will instrument sources to given directory","Consider only single module java projects for now",Suggestion,,Closed,"2016-02-18 10:53:05","2016-02-18 10:53:05",4
"Atlassian Clover","CloverCompilerAdapter should look for Javac.compileList also in super classes","It may happen that user will wrap or subclass the Apache's Javac field. In such case, Clover won't be able to find and set this field and break the build. The CloverCompilerAdapter should look it up in a class hierarchy.     We can use Apache's FieldUtils for this purpose.",Bug,Low,Closed,"2016-02-12 06:07:02","2016-02-12 06:07:02",1
"Atlassian Clover","Create simple Gradle repository and run Bamboo plan to test it","Scope: * Create simple Gradle plugin as a holder for Clover for Gradle * Create Bamboo plan, which will: ** fetch source code ** run tests",Suggestion,,Closed,"2015-12-08 14:29:13","2015-12-08 14:29:13",1
"Atlassian Clover","Update Bamboo Clover Plugin (automatic integration shall use new clover-maven-plugin)","Place holder for BAM-16590",Suggestion,,Closed,"2015-12-08 12:35:05","2015-12-08 12:35:05",0.5
"Atlassian Clover","IntelliJ IDEA plugin with version 4.1.1 shows wrong supported version","Site for Clover on IntelliJ plugin page indicates Clover 4.1.1 supports Idea 9x however it's not true.   Update plugin.xml to show correct version.     https://plugins.jetbrains.com/plugin/?id=132 ",Bug,Low,Closed,"2015-12-07 10:35:24","2015-12-07 10:35:24",0.5
"Atlassian Clover","Drop support for IntelliJ IDEA 11.x","Scope:  * drop support for IntelliJ IDEA 11.x   * refactor deprecated code  * remove IntelliJ 11.x from test matrix  * update plugin.xml to tell correct minimal version of IntelliJ IDEA which is supported. ",Suggestion,,Closed,"2015-12-07 10:33:15","2015-12-07 10:33:15",1
"Atlassian Clover","Clover IDEA Plugin 4.1.0 has wrong version in plugin.xml","Clover for Idea 4.1.0 shows wrong 4.0.1 version instead of 4.1.0",Bug,Highest,Closed,"2015-12-07 09:38:49","2015-12-07 09:38:49",0
"Atlassian Clover","Gradle Spec","Simple spec showing what do we want to achieve and what's the MVP for 4.2.0 ",Suggestion,,Closed,"2015-12-04 11:35:16","2015-12-04 11:35:16",1
"Atlassian Clover","Add IntelliJ 15.0.2 to test matrix","Add IntelliJ 15.0.2 to test matrix after it being released. Currently there was RC released. ",Suggestion,,Closed,"2015-12-03 13:19:11","2015-12-03 13:19:11",0.5
"Atlassian Clover","IntelliJ Plugin should not use UI thread to generate Cloud report","Currently Clover generates Cloud report in UI thread, it can take couple of seconds with bigger projects causing whole UI to freeze.     Let's try to move it back to background somehow. ",Suggestion,,Closed,"2015-12-03 08:37:02","2015-12-03 08:37:02",2
"Atlassian Clover","IntelliJ Plugin should ask for rebuilding project after changing exclusions","Currently it doesn't always ask which sometime may lead to {{ClassNotFoudException}}    h2. Preconditions  IntelliJ IDEA with Clover installed     h2. Repro steps  # Clean project and coverage db  # Exclude some class with context menu  # Run tests  # Wait for exception    h2. Expected result  # Clean project and coverage db  # Exclude some class with context menu  # Clover asks user for rebuilding the project. ",Suggestion,,Closed,"2015-12-01 11:26:15","2015-12-01 11:26:15",1
"Atlassian Clover","Prepare feature analysis of JCov tool","Analyse https://wiki.openjdk.java.net/display/CodeTools/jcov    and publish on https://confluence.atlassian.com/display/CLOVER/Comparison+of+code+coverage+tools    ",Suggestion,,Closed,"2015-11-26 09:40:24","2015-11-26 09:40:24",2
"Atlassian Clover","Unicode 0x200B (zero-width whitespace) causes instrumentation failure","JDK 6 implements Unicode 4.0. In this version of Unicode, the zero-width whitespace character (0x200B) is being treated as a whitespace.    JDK 7 implements Unicode 6.0. In this version of Unicode, the zero-width whitespace has been reclassified to the 'format character' group (other characters in this group are, for example, left-/right- text direction markers).    Thus, Java compiler in JDK 6 allows to use 0x200B as a normal whitespace character, e.g. separating symbols.     The Java compiler since JDK 7 silently ignores the 0x200B, which means that it cannot be used to separate symbols anymore. However you can put this character virtually in any place, e.g.:    {code:java}  void this<200B>Is<200B>MyMethod();  {code}    Clover fails on parsing the 200B character:        *Planned fix:*     * Ignore 200B characters in Java 7+. Treat 200B character as space in Java 6.   * Question: Shall it be based on source level setting or the JDK detected?   * Question: which other control characters needs to be ignored by Clover?   * Question: which other whitespace characters (other than space, \t, \n, \r) shall be recognized by Clover parser?    *Workaround:*    Remove all 200B character occurrences from the source code.   ",Bug,Low,Closed,"2015-11-05 08:17:46","2015-11-05 08:17:46",2
"Atlassian Clover","Instrumentation failure of an annotation inside the catch clause","Clover is failing to instrument below section of java 7 code  This is a perfectly valid java 7 syntax but clover instrumentation fails at @SuppressWarnings(unused) annotation. ",Bug,Medium,Closed,"2015-11-03 23:04:35","2015-11-03 23:04:35",1
"Atlassian Clover","Update Clover Tutorial"," * use source=1.6 instead of 1.4   * download required JARs (build*.xml)   * do not require env.GROOVY_HOME set to 1.7   * rename 'test' to 'test.run'   * remove cloverjunitlib.xml   * convert unit tests to JUnit4   * simplify goals   * use clover-maven-plugin  ",Suggestion,,Closed,"2015-10-28 15:32:21","2015-10-28 15:32:21",1
"Atlassian Clover","Add more debug logging for clover2:aggregate","Currently, it's not known why a project has no child databases and what user can do with it. ",Suggestion,,Closed,"2015-10-26 10:40:38","2015-10-26 10:40:38",0.5
"Atlassian Clover","Add IDEA 14.0.4 to a test matrix","There are differences in app behaviour between IDEA 14.0.x and 14.1.x.     As we're testing Clover against 12.1.7 and 13.0.0, it'd be good to add also 12.0.4, 13.1.6, 14.0.4 to our test matrix.     This way we will cover IDEA 12.0, 12.1, 13.0, 13.1, 14.0 and 14.1.  ",Suggestion,,Closed,"2015-10-23 13:37:35","2015-10-23 13:37:35",1
"Atlassian Clover","Test optimization in Eclipse Mars 4.5.1 keeps running one test","Steps to reproduce:   * rebuild a project, clean database and optimization snapshot   * two times on 'run optimized' button, for the first time it runs all test, for the second time it runs one test (and should none)",Bug,Low,Closed,"2015-10-23 13:32:32","2015-10-23 13:32:32",0.5
"Atlassian Clover","Fix colors of test passed / failed / error icons in Eclipse","Currently we use dark blue color for a failed test. It's not contrast enough compared to the green one.     Furthermore, we use a red background for a FAIL status label, which is not consistent. Also, a green background used for a PASS label is different from the green dot in the icon.     Current colors used: green-pass, blue-fail, red-error are the same as in Eclipse's JUnit view.    Consider also changing a dot to three different figures to make it accessible for color-blinded people. For instance:   * light green circle - pass   * dark blue triangle - fail   * red square - error  ",Suggestion,,Closed,"2015-10-22 14:09:42","2015-10-22 14:09:42",0.5
"Atlassian Clover","StringIndexOutOfBoundsException in CloverStartup.evaluateDaysLeft","Clover fails to decode the license key. Stacktrace:        ",Bug,Low,Closed,"2015-10-15 08:23:51","2015-10-15 08:23:51",1
"Atlassian Clover","Add support for Eclipse Mars.1","Eclipse Mars.1 was released on 01.10. Make sure Clover is compatible by:    * smoke testing  * adding new version to Eclipse versions matrix. ",Suggestion,,Closed,"2015-10-07 07:36:43","2015-10-07 07:36:43",0.5
"Atlassian Clover","Walk AST and store method info in a database","Walk AST and register methods and functions (including inline / anonymous ones?) in a database. Print them in reports.     To be considered: naming convention.",Suggestion,,Closed,"2015-09-28 14:58:44","2015-09-28 14:58:44",8
"Atlassian Clover","Walk AST and store file and type info in database","Walk the AST tree and handle FileInfo and ClassInfo (TypeInfo) elements - register them in Clover database. Print them in reports.  We shall handle Scala's class / object / trait types.  (including anonymous?) ",Suggestion,,Closed,"2015-09-28 14:53:38","2015-09-28 14:53:38",8
"Atlassian Clover","Support for IDEA 14.1.5","It should work but let's be sure.   http://blog.jetbrains.com/idea/2015/09/intellij-idea-14-1-5-update-is-out/",Suggestion,,Closed,"2015-09-25 13:04:53","2015-09-25 13:04:53",0.5
"Atlassian Clover","Remove --style from Command line processors","{{--style}} argument has been deprecated in 4.1.0 it should be removed in next major version 4.2.0.  Scope: * remove HtmlReporter#Style * update docs i necessary * cleanup all TODO CLOV-1795",Suggestion,,Closed,"2015-09-23 14:19:46","2015-09-23 14:19:46",0.5
"Atlassian Clover","Drop Eclipse 3.6 and 3.7","* compile against eclipse 4.2  * fix deprecation warnings etc  * remove legacy code (if any)  * bump version numbers in feature name",Suggestion,,Closed,"2015-09-21 12:42:49","2015-09-21 12:42:49",1
"Atlassian Clover","Drop Grails 1.3"," * remove legacy code (if any)",Suggestion,,Closed,"2015-09-21 12:42:05","2015-09-21 12:42:05",2
"Atlassian Clover","Drop classic HTML report","remove classic reports in Clover   * report type='classic' print error? or warning and ignore...   * remove old velocity templates   * drop libraries   ** Overlibvms  not until we drop Classic reports (Clover 4.1)   ** Utils.js (rewrite query parsing into clover.js)   ** sorttable.js",Suggestion,,Closed,"2015-09-21 12:39:52","2015-09-21 12:39:52",2
"Atlassian Clover","Rename StatementInfo to ExpressionInfo","Rename StatementInfo to ExpressionInfo in the API. Java is the odd one out here. Scala, Clojure etc all have expressions as there basic unit of execution. A statement is an expression with no result.   ",Suggestion,,Closed,"2015-09-19 20:43:37","2015-09-19 20:43:37",1
"Atlassian Clover","Add possibility to add custom properties for code elements","Introduce a base interface to ClassInfo, MethodInfo, PackageInfo, FileInfo, StatementInfo, BranchInfo which allows API clients to add arbitrary properties to the model. They values should be raw types, possible Serializable objects too. This should allow instrumentation providers better answer questions Clover may have about the model they've produced.    Something like:    interface CustomInfo   - getProperties(): Map<String, Object>   - setProperty(String, Object)   - getProperty(String)    interface FileInfo extends ..., CustomInfo  interface TypeInfo extends ..., CustomInfo  interface MethodInfo extends ..., CustomInfo  interface BranchInfo extends ..., CustomInfo  interface StatementInfo extends ..., CustomInfo  ",Suggestion,,Closed,"2015-09-19 20:41:14","2015-09-19 20:41:14",2
"Atlassian Clover","Make session.enterClass() more language-independent","Clean up InstrumentationSession.enterClass(..., boolean isInterface, boolean isEnum, boolean isAnnotation) so that it instead takes a LanguageConstruct to indicated what it is which is then embedded in ClassInfo. This divorces this part of the API from Java allowing us to model languages like Scala who have things like traits, singleton objects, etc.    This may require a separate LanguageConstruct-like type (TypeConstruct ?) as it will likely need to be smarter than LanguageConstruct and be able to answer some basic questions Clover may need to ask e.g.        The example above is a bit fake because surely we could determine if a TypeInfo is abstract by traversing it but there may be situations where we need to ask similar questions.  ",Suggestion,,Closed,"2015-09-19 20:36:51","2015-09-19 20:36:51",3
"Atlassian Clover","Rename ClassInfo to TypeInfo","ClassInfo is just OK for Java and Groovy (we have classes). But we also have enums, interfaces and annotations! And in other languages we also have closures (Groovy), traits (Groovy, Scala) etc. Thus the name ClassInfo does not suit well for other languages.       Rename ClassInfo to something better. TypeInfo might be better.",Suggestion,,Closed,"2015-09-19 18:55:02","2015-09-19 18:55:02",1
