Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Atlassian FishEye","Problem with AWT on Windows with AdoptJDK (avatars not displayed).","h3. Issue Summary  When fisheye is installed as a service on Windows with AdoptJDK AWT doesn't work (avatars not displayed).  h3. Steps to Reproduce   # Spin up a fresh Windows machine. Tested on 2019 and 2012.   # Install AdoptJDK (8.0.242.08-hotspot)   # Install Fisheye   # open Services utility, make sure Fisheye is running or start it   # navigate to fisheye web ui and log in    h3. Expected Results  Default avatar is displayed.    h3. Actual Results    1) During Fisheye startup the following stack trace is logged:          2) When rendering a page containing an avatar, no image displayed and the below exception is thrown in the log file:        h3. Workaround    Install another JDK (Oracle) or use different way of installing service (nssm).       h3. Notes    1) Error during startup. OpenJDK around version 1.8.0 update 202, in the {{awt.dll}} library introduced a dependency on 'Microsoft Visual C++ Redistributable 2013'. Download and install this package from the Microsoft website (vcredist_x64.exe). Once installed, the {{java.lang.NoClassDefFoundError: Could not initialize class java.awt.Toolkit}} error from Fisheye's startup disappears.     2) Error while generating an avatar. It's related with loading SPI modules by javax.imageio.ImageIO. Behaviour is random (stop + start resolves the issue in half of cases). Solving this requires an update to Fisheye/Crucible *4.8.3* or higher.",Bug,Low,Closed,"2020-04-06 16:35:48","2020-04-06 16:35:48",2
"Atlassian FishEye","Upgrade atlassian-core to 7.0.2","Upgrade atlassian-core from currently used 4.6.23 to the latest 7.0.2 version.     Add dependency on atlassian-core-thumbnail as classes have been moved to a separate artifact. Changes in thumbnails:    * Thumber#getImage(File) -> Thumber#getImage(InputStream)  * Thumber.WidthHeightHelper -> ThumbnailDimension  * Thumber#getThumbnailMimeTypes() is removed  ",Suggestion,,Closed,"2020-02-21 13:23:46","2020-02-21 13:23:46",0.5
"Atlassian FishEye","Change changeset and path limits for repository indexers","h3. In Fisheye 4.7 and older we have:    | *Property* | *Default* | *Min* | *Max* |   | fisheye.changeset.paths.limit | 10000 | unlimited | unlimited |   | fisheye.pipeline.batch.cslimit | 10000 | 1 | 50000 |   | fisheye.pipeline.batch.pathlimit | 60000 | 1000 | 120000 |     Explanation:  * fisheye.changeset.paths.limit - Maximum number of paths to be indexed for search (Lucene) in a single changeset. Note that this affects only a search. Repository index always contains all paths from a changeset.   * fisheye.pipeline.batch.cslimit - Maximum number of changesets processed in a single batch. Fisheye can adjust value automatically between 1 and cslimit, see below.   * fisheye.pipeline.batch.pathlimit - Maximum number of paths (files) processed in a single batch. When limit is exceeded, scanner throws an exception, it pauses and re-scans with a lower value of cslimit.    h3. New values proposed for Fisheye 4.8:    | *Property* | *Default* | *Min* | *Max* |   | fisheye.changeset.paths.limit | 10000 | 0 | unlimited |  | fisheye.pipeline.batch.cslimit | 1000 | 1 | unlimited |  | fisheye.pipeline.batch.pathlimit | 100000 | 1000 | unlimited |    Update documentation:    https://confluence.atlassian.com/fisheye/jvm-system-properties-960155689.html    ",Suggestion,,Closed,"2019-11-15 12:01:43","2019-11-15 12:01:43",1
"Atlassian FishEye","Deprecate PostgreSQL 9.5","According to [https://www.postgresql.org/support/versioning/] page PostgreSQL 9.5 will become end-of-life on February, 2021.    Deprecate PostgreSQL 9.5 in Fisheye/Crucible 4.8 (EOL ~ Dec, 2021).    End support for PostgreSQL 9.5 in Fisheye/Crucible 4.9 (EOL ~ May, 2022).",Suggestion,,Closed,"2019-10-24 13:40:18","2019-10-24 13:40:18",0.5
"Atlassian FishEye","Deprecate Perforce 2017.x and older","According to https://www.perforce.com/maintenance-support#tab-panel-26751  standard support for Perforce 2017.x ends 24 Oct 2019 and extended on 24 Oct 2021    Announce Fisheye/Crucible 4.8 the last release supporting Perforce 2017.x and older:    https://confluence.atlassian.com/fisheye/supported-platforms-960155252.html",Suggestion,,Closed,"2019-10-23 13:48:06","2019-10-23 13:48:06",0.5
"Atlassian FishEye","Deprecate PostgreSQL 9.4","According to https://www.postgresql.org/support/versioning/ page PostgreSQL will become end-of-life on February 13, 2020.    Deprecate PostgreSQL 9.4 in Fisheye/Crucible 4.8.    End support for PostgreSQL 9.4 in Fisheye/Crucible 4.9.",Suggestion,,Closed,"2019-10-17 11:11:30","2019-10-17 11:11:30",0.5
"Atlassian FishEye","Fisheye throws IO exceptions on network interruption","Jetty throws IIOException, probably due to network interruptions and/or heavy server load.    There is an open bug in Jetty's bug tracker related to this issue: [https://github.com/eclipse/jetty.project/issues/3684]    Stack trace :           We should catch these exceptions and log out a single line error message possibly just with details like the URL being requested and the type of IO error (e.g. broken pipe, connection reset by peer, etc). It may be worth still logging the full exception if debug logging is enabled because it's not inconceivable this information might be useful when diagnosing an issue. (right now the full stack trace as above is printed regardless of if debug logging is enabled)      h3. Workaround    Currently there is no known workaround for this behavior. A workaround will be added here when available     ",Bug,Low,"Long Term Backlog","2019-09-25 13:32:59","2019-09-25 13:32:59",3
"Atlassian FishEye","Use JavaScript instead of Flash for copying to clipboard","Currently Fisheye & Crucible use a Flash applet (ZeroClipboard-1.2.1.swf) to provide copy to clipboard functionality (checkout URL, snippet page, selection history).    Since most browsers support this directly from JavaScript via execCommand method:    https://www.w3schools.com/jsref/met_document_execcommand.asp  https://www.w3schools.com/howto/howto_js_copy_clipboard.asp    let's remove existing Flash applet and replace it with JavaScript.",Suggestion,,Closed,"2019-09-04 07:56:37","2019-09-04 07:56:37",0.5
"Atlassian FishEye","org.hibernate.PropertyValueException: not-null property references a null or transient value: com.cenqua.crucible.model.Project.permissionScheme","h3. Issue Summary    Restore from a backup fails with the org.hibernate.PropertyValueException: not-null property references a null or transient value: com.cenqua.crucible.model.Project.permissionScheme exception.           h3. Steps to Reproduce  1. Create a backup file.    2. Perform an import which will fail in the middle of the operation (e.g. a corrupted backup file).        3. Perform import again        h3. Expected Results    n/a    h3. Actual Results    Fisheye is unable to start due to Spring bean initialisation error. The below exception is thrown in the log file:        h3. Notes    This is caused by an inconsistent database state. Fisheye/Crucible expects a permission scheme, which is normally being created during setup. Because of the fact that backup import failed in the middle, this data is missing in the database.    h3. Workaround    Use an empty database to restore from the backup.   ",Bug,Low,Closed,"2019-07-01 17:57:06","2019-07-01 17:57:06",1
"Atlassian FishEye","Support Git 2.22","Release:  https://github.com/git/git/releases/tag/v2.22.0  ",Suggestion,,Closed,"2019-05-27 08:41:10","2019-05-27 08:41:10",0.25
"Atlassian FishEye","Support Git 2.21",,Suggestion,,Closed,"2019-02-25 09:24:13","2019-02-25 09:24:13",0
"Atlassian FishEye","Deprecate Git 1.7 and 1.8","Deprecate Git 1.7 and 1.8 in Fisheye 4.7. Since Fisheye 4.8 they will be no longer supported.     Notes:   * The last 1.7.x version (1.7.12.4) was published on Oct 2012   * The last 1.8.x version (1.8.5.6) was published on Dec 2014   * The 1.9.1 is the Git version bundled in the oldest supported Ubuntu (Ubuntu 14 - https://packages.ubuntu.com/trusty/devel/)  ",Suggestion,,Closed,"2018-12-07 09:55:31","2018-12-07 09:55:31",0
"Atlassian FishEye","Deprecate Mercurial 1.9-2.7","Deprecate support for Mercurial 1.9-2.7 in Fisheye 4.7.  Since Fisheye 4.8 it will be no longer supported.      Notes:   * The last 1.9.2 release was published on 2011-08-26   * The last 2.7.2 release was published on 2013-10-01    * The Mercurial 2.8.2 release, published on 2014-01-01, is the oldest version running on Ubuntu 14 (which is the oldest Ubuntu version still not EOL)  ",Suggestion,,Closed,"2018-12-07 09:21:59","2018-12-07 09:21:59",0
"Atlassian FishEye","Support Git 2.20",,Suggestion,,Closed,"2018-11-24 21:53:10","2018-11-24 21:53:10",0
"Atlassian FishEye","Deprecate support for Oracle 11g","Oracle 11g is end of life since 01 Jan 2015 (premier support package).     Fisheye/Crucible 4.7 is the last major release supporting this version.",Suggestion,,Closed,"2018-11-19 14:53:49","2018-11-19 14:53:49",0
"Atlassian FishEye","Deprecate support for MySQL 5.5","MySQL 5.5 has been released December 2010 (7 years ago) and it's support ends December 2018.     Fisheye/Crucible 4.7 is the last major release supporting this version.",Suggestion,,Closed,"2018-11-19 14:48:48","2018-11-19 14:48:48",0
"Atlassian FishEye","Deprecate support for PostgreSQL 9.3","PostgreSQL 9.3 is end of life since 1 Sep 2018.     Fisheye/Crucible 4.7 is the last major release supporting this version.",Suggestion,,Closed,"2018-11-19 14:44:38","2018-11-19 14:44:38",0
"Atlassian FishEye","Deprecate support for PostgreSQL 9.2","PostgreSQL 9.2 is end of life since 1 September 2017.     Fisheye/Crucible 4.7 is the last major release supporting this version.",Suggestion,,Closed,"2018-11-19 14:42:27","2018-11-19 14:42:27",0
"Atlassian FishEye","Support for PostgreSQL 11","PostgreSQL 11 have been released in October 2018.    https://www.postgresql.org/about/news/1894/    Add support for this DB version for Fisheye and Crucible.  ",Suggestion,,Closed,"2018-10-24 08:26:52","2018-10-24 08:26:52",0.5
"Atlassian FishEye","Perforce: Submitted UTF-8 file with BOM header shows up as binary in repository browser","h3. Summary  Whenever a file with a {{utf8}} Perforce filetype containing a BOM header is submitted to depot, Fisheye shows this file as binary.     h3. Steps to Reproduce  # Submit a file with {{utf8}} Perforce filetype containing a BOM header to the depot  # Wait until this file is indexed  # Try to open this file in repository browser  # Fisheye will say that the file is binary    h3. Expected Results  Fisheye should show the file source    h3. Actual Results  Fisheye is saying that the file is binary, offering the option to download it.    h3. Perforce versions   # 2015.2  # 2016.2    h3.Workarounds  * Change the Perforce filetype to {{text}} with removing BOM header  ",Bug,High,Closed,"2018-10-05 14:38:13","2018-10-05 14:38:13",1
"Atlassian FishEye","Support Microsoft SQL Server 2017","Support MS SQL 2017 in Fisheye and Crucible.    EOL dates are as follows:    | MS SQL version | Microsoft EOL date | Supported by Fisheye/Crucible |  | SQL 2012 SP4 | 7/11/2017 (x) | (/) |  | SQL 2014 SP2 | 7/9/2019 (/) | (/)  |  | SQL 2016 SP1 | 7/13/2021 (/) | (x) |  | SQL 2017 | 10/11/2022 (/) | (x) |",Suggestion,,Closed,"2018-09-06 12:29:57","2018-09-06 12:29:57",0
"Atlassian FishEye","Support Git 2.19",,Suggestion,,Closed,"2018-08-28 23:00:55","2018-08-28 23:00:55",0.25
