Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Atlassian Jira Server","Update the Mail Handler documentation on what is considered a bulk message","h3. Problem Definition    Thanks to the fix fo JRASERVER-38662, the following conditions that incoming mails are considered as bulk have been covered in the corresponding section [in the latest document|https://confluence.atlassian.com/adminjiraserver/creating-issues-and-comments-from-email-938847641.html#Creatingissuesandcommentsfromemail-Createanewissueoraddacommenttoanexistingissue] for now.    * The first 'Precedence' header in the message is 'bulk'  * The message contains the header Auto-Submitted with a value different than no    However, the following conditions still aren't mentioned.    * The message is a multipart/report message and the content type contains 'report-type=delivery-status'  * The message is not a multipart/report message and the Return-Path is <>    h3. Suggested Solution    It would be better to mention the conditions in the document as well.",Suggestion,,"Gathering Interest","2018-02-28 02:03:53","2018-02-28 02:03:53",4
"Atlassian Jira Server","Link for more information on Cloud to Server migration doc leads to no resource","# Go to [https://confluence.atlassian.com/adminjiraserver075/migrating-from-jira-cloud-to-server-applications-935390961.html]   # Bo to Back Up section   # Click For more info, see [Exporting issues|https://confluence.atlassian.com/display/JPM/Exporting+issues]    The link leads to no resource.",Bug,Low,Closed,"2017-10-05 06:43:17","2017-10-05 06:43:17",1
"Atlassian Jira Server","JIRA Application Compatibility Matrix Needs To Be Updated For JIRA 7.5.x","[JIRA applications compatibility matrix|https://confluence.atlassian.com/adminjira/jira-platform-releases/jira-applications-compatibility-matrix]",Bug,Low,Closed,"2017-09-16 01:59:08","2017-09-16 01:59:08",1
"Atlassian Jira Server","Add documentation for the response.varfile used in the Linux Bundled Installer","{panel:bgColor=#e7f4fa}     {panel}  Currently our [Installing JIRA on Linux|https://confluence.atlassian.com/display/JIRA/Installing+JIRA+on+Linux#InstallingJIRAonLinux-PerforminganUnattendedInstallation] docs contain info on how to use the file however not the structure of it. Can you please add some information about the breakdown of the files? For example what this stuff means:    TYVM. :)         Above is the original ticket, JIRASERVER-36002. The ticket points to a link on unattended installs. *But* the ticket specifically asks for the structure of the response file, not how to do an unattended install. What do the different keys in the response file mean? What all all the different types of keys available? Etc.     ",Suggestion,,"Gathering Interest","2017-09-12 22:43:38","2017-09-12 22:43:38",2
"Atlassian Jira Server","Tips of the Trade doc page contains a link to an external blog containing offensive content","The link is present on these pages:    https://confluence.atlassian.com/display/JIRA040/Tips+of+the+Trade  https://confluence.atlassian.com/display/JIRA041/Tips+of+the+Trade  https://confluence.atlassian.com/display/JIRA042/Tips+of+the+Trade  https://confluence.atlassian.com/display/JIRA043/Tips+of+the+Trade  https://confluence.atlassian.com/display/JIRA044/Tips+of+the+Trade  https://confluence.atlassian.com/display/JIRA050/Tips+of+the+Trade  https://confluence.atlassian.com/display/JIRA051/Tips+of+the+Trade  https://confluence.atlassian.com/display/JIRA052/Tips+of+the+Trade  https://confluence.atlassian.com/display/JIRA060/Tips+of+the+Trade  https://confluence.atlassian.com/display/JIRA061/Tips+of+the+Trade  https://confluence.atlassian.com/display/JIRA062/Tips+of+the+Trade  https://confluence.atlassian.com/display/JIRA063/Tips+of+the+Trade  https://confluence.atlassian.com/display/JIRA064/Tips+of+the+Trade    The offending link is entitled Git branches to handle contributor patches and links to a page on the site http://jpz-log.info    The link probably had relevant content at some point but the external site appears to have been compromised - with the attacker replacing the original content with NSFW content.    We should remove this link in order to deprive the attacker of SEO ranking, and also disassociate our docs with this content.  ",Bug,Low,Closed,"2017-08-07 17:26:28","2017-08-07 17:26:28",2
"Atlassian Jira Server","Update Installing JIRA documentation","This documentation:  * [Installing JIRA applications on Windows|https://confluence.atlassian.com/adminjiraserver074/installing-jira-applications-on-windows-881683162.html#InstallingJIRAapplicationsonWindows-4.Connecttoyourdatabase]    says:  {quote}  Drop the JAR file into your <confluence-installation>/lib folder before continuing with the setup wizard.  {quote}    It should be <jira-installation>/lib",Bug,Low,Closed,"2017-07-23 15:46:56","2017-07-23 15:46:56",1
"Atlassian Jira Server","What's new button is not working in Portfolio for JIRA Home documentaiton","h3. Description  The what's new button in the [Portfolio for JIRA Home|https://confluence.atlassian.com/jiraportfolioserver] is not working. The button will not redirect the user to another page when is clicked.    *Steps to reproduce*  # Go to this link: https://confluence.atlassian.com/jiraportfolioserver/#  # Click the View the latest changes button in the *What's new* section",Bug,Low,Closed,"2017-07-20 15:09:26","2017-07-20 15:09:26",1
"Atlassian Jira Server","Documentation request: update plugin Guide to JIRA High Availability and Clustering","h3. Problem Definition   Current documentation regarding *Schedule a job* is not specific enough about how jobs are scheduled in cluster environment:   see page: https://developer.atlassian.com/jiradev/jira-platform/jira-data-center/plugin-guide-to-jira-high-availability-and-clustering     We need to document current status, see related JRASERVER-65632     h3. Suggested Solution   Currently docs mention:   * Jobs only run once for each scheduled run time.   * Should only be scheduled by one node in the cluster.     Please add part covering:   * There is no guaranty that only one job will be running at specific moment of time across the cluster (Singleton).   ** For example: If job configured as interval job with 1 min interval, Job will scheduled at node1 and than 1 min later at node2, so two instances of the job will be running in the cluster.   ** This should be controlled by job code itself, possibly using *Cluster Locks*.     h3. Workaround   None.",Suggestion,,Closed,"2017-07-12 09:42:05","2017-07-12 09:42:05",4
"Atlassian Jira Server","CSV Import documentation should include information on how to import Project Type.","When trying to perform a CSV import, the user will get the errror: For the CSV import to be successful, you must specify a CSV header row that corresponds to the Project type. Available project types are: software, business' but the current documentation [Importing data from CSV|https://confluence.atlassian.com/adminjiraserver074/importing-data-from-csv-881683854.html] does not include the information for importing the Project Type.    Suggestion:   Update the documentation to reflect this by explaining that the Project Type column should be added with the possible values Software, Business and service_desk",Suggestion,,"Gathering Interest","2017-07-07 06:50:15","2017-07-07 06:50:15",4
"Atlassian Jira Server","Connecting JIRA to Postgres doc should provide more details on postgresql.conf and pg_hba.conf","The current docs we have for connecting JIRA to Postgres - [Connecting JIRA applications to PostgreSQL - Atlassian Documentation|https://confluence.atlassian.com/adminjiraserver073/connecting-jira-applications-to-postgresql-861253040.html] - do not provide sufficient information for users that are setting up postgres on another server.    There are details needed in regards to configuring postgresql.conf and pg_hba.conf in Postgres in order to be able to connect to this database from the JIRA server.      The bamboo docs provide a nice example of the information needed and then link to the postgres documentation on this, see [Connecting Bamboo to PostgreSQL - Atlassian Documentation|https://confluence.atlassian.com/bamboo/postgresql-289276816.html]",Suggestion,,Closed,"2017-05-19 20:23:57","2017-05-19 20:23:57",8
