Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Atlassian Atlassian Software Server","Add the description for the search box of Scrum/Kanban boards","https://confluence.atlassian.com/jirasoftwareserver/what-is-a-board-938845235.html  bq. Type part of the issue summary (issue key, issue type) to search for matches to be displayed on the Backlog.  please add assignee for the part of the issue summary to choose from.",Suggestion,,Closed,"2018-04-05 08:08:22","2018-04-05 08:08:22",2
"Atlassian Atlassian Software Server","JIRA 7.1 & 7.2 Supported Platform showing supported platforms for JIRA 7.0","h3. Summary    JIRA 7.1 & 7.2 Supported Platform showing supported platforms for JIRA 7.0    JIRA 7.1 Supported Platform: https://confluence.atlassian.com/adminjiraserver071/supported-platforms-802592168.html  JIRA 7.2 Supported Platform: https://confluence.atlassian.com/adminjiraserver072/supported-platforms-828787550.html      h3. Environment    JIRA 7.1 & JIRA 7.2      h3. Steps to Reproduce    -      h3. Expected Results    The Supported Platform page shows the supported platform for JIRA 7.1 & 7.2 respectively.      h3. Actual Results    The Supported Platform page shows the supported platform for JIRA 7.0.       h3.Workaround    None",Bug,Low,Closed,"2017-09-01 08:11:21","2017-09-01 08:11:21",2
"Atlassian Atlassian Software Server","please propagate permission edit to master spaces","Hi again - this page was recently updated to change 'view development info' to X for jsd & JIRA core. Would you please put that change in the master spaces? https://confluence.atlassian.com/pages/viewpage.action?pageId=935382338",Bug,Low,Closed,"2017-08-21 23:01:11","2017-08-21 23:01:11",2
"Atlassian Atlassian Software Server","please propagate a gadget edit to master spaces","Hiya - someone did a dirty edit of this page about Gadgets: https://confluence.atlassian.com/display/JIRASOFTWARESERVER072/Gadgets+for+JIRA+applications     You can do a diff to see the difference; I think it's just ** and a footnote at the bottom. Would you please propagate this change to the master space for 7.0, 7.1, 7.2, 7.3, & 7.4?  It might be better to put the info about the plugin in there in a different way (e.g. in each cell as people might miss the *). Do what you think is best!",Bug,Low,Closed,"2017-08-21 22:56:40","2017-08-21 22:56:40",2
"Atlassian Atlassian Software Server","Anonymizing JIRA Data documents are missing the link to download the anon utility","The JIRA 7.x namespace for the Anonymizing JIRA XML data does not actually contain a working link in order for users to download this utility.    https://confluence.atlassian.com/display/AdminJIRAServer070/Anonymising+JIRA+application+data  https://confluence.atlassian.com/display/AdminJIRAServer071/Anonymising+JIRA+application+data  https://confluence.atlassian.com/display/AdminJIRAServer072/Anonymising+JIRA+application+data  https://confluence.atlassian.com/display/AdminJIRAServer073/Anonymising+JIRA+application+data      The download link for the .zip does work correctly in the 6.4 namespace: https://confluence.atlassian.com/<USER>anonymising-<USER>data-139008.html    I have fixed this manually before in the 7.x namespaces, however I believe that other template changes being made to these pages are in turn breaking these links.    Please fix.",Bug,Medium,Closed,"2017-05-05 19:38:38","2017-05-05 19:38:38",6
"Atlassian Atlassian Software Server","Standalone tar.gz downloads are gzipped twice and fail to uncompress with tar on linux","h3. Summary    The standalone downloads from [the JIRA software website|https://www.atlassian.com/software/<USER>download] for versions 7.3.5 and 7.3.6 are gzipped twice.    The Mac version of tar will handle this without issue and a {{tar -zxf}} will work as expected. However, on linux tar will fail to unzip and untar the download.  h3. Environment   * CentOS 7 (all linux versions most likely)    h3. Steps to Reproduce   # Download standalone JIRA Software tar.gz   # Attempt to extract using {{tar -zxf}}    h3. Expected Results    File is extracted to directory  h3. Actual Results    h3. Workaround    Use gunzip and then rename to get tar working:  ",Bug,High,"Needs Triage","2017-05-03 17:17:10","2017-05-03 17:17:10",8
"Atlassian Atlassian Software Server","Improve Configuring Workflow triggers documentation","h3. Problem Definition    When JIRA service desk user want to use workflow trigger functionality, they couldn't find the *trigger* option via Workflow configuration after integrate with Bitbucket. The problem is they need to installed JIRA Software and associated with a valid license to make it works.    From our [documentation|https://confluence.atlassian.com/adminjiraserver071/configuring-workflow-triggers-802592811.html], it mentioned this which is misleading:  {quote}While this page on triggers applies to all JIRA applications, triggers are designed to work closely with development tools, and are most powerful when used with JIRA Software .  {quote}    h3. Suggested Solution    As a new JIRA service desk admin user, please update or add a note stated JIRA Software application is required to make the workflow trigger or JIRA development panel to works.",Suggestion,,Closed,"2017-03-24 14:13:22","2017-03-24 14:13:22",4
"Atlassian Atlassian Software Server","Syntax change suggestion for example in Add Parameters to Validator in Jira Cloud workflow screen","I recently figured out how to add multiple options in the Add Parameters to Validator screen.      I was not able to figure out how to do this from the example text in  the workflow screen and want to provide a suggestion for changing the text to help the next person trying to add this to their workflow.  Based on the text in the workflow screen (see screenshot), I had tried various permutations of the word Option and putting my values in quotes — Option [A,B], [A,B], Option [A, B], Option [A,B], etc.         JIRA Cloud currently says:     * *Option [A,B]* would allow a selection of options: Option A, Option B or both.    Suggestion:    * *(A|B)* would allow a selection of options: Option A, Option B or both.         Note: I did not validate the or both option as my field is a single-select list. I also did not test the other examples for number/character options to determine if parenthesis should be used instead of brackets.    This information would have save me a lot of time and may be a benefit to others.",Suggestion,,"Gathering Interest","2017-01-25 17:11:25","2017-01-25 17:11:25",8
"Atlassian Atlassian Software Server","Improve Velocity Chart documentation with regards to sub-task estimates","h3. Problem Definition    Currently, the [Velocity Chart documentation|https://confluence.atlassian.com/display/JIRASOFTWARESERVER072/Velocity+Chart] is not explicit with regards to the fact that sub-task's Original Time Estimate are not used in calculating the velocity per sprint. The lack of this information can cause confusion, which can explain the creation of the following feature request and bug report:  * [JSW-15302 : Allow option for Velocity Chart to include sub-task estimates|https://<USER>atlassian.com/browse/JSW-15302]  * [JSW-9164 : Sub-task hours estimate not reflected in planning and reports|https://<USER>atlassian.com/browse/JSW-9164]    h3. Suggested Solution  Clarify the Velocity Chart documentation with the explicit fact that sub-task's estimates are not part of the velocity calculation, perhaps along with an explanation of the logic and implementation as well.",Suggestion,,"Gathering Interest","2016-12-18 20:20:36","2016-12-18 20:20:36",4
"Atlassian Atlassian Software Server","Update title and intro of JSW REST API docs to better distinguish between Cloud and Server","Change the title of the JIRA Software REST API docs so that they specifically mention Cloud or Server:    [https://docs.atlassian.com/<USER>software/REST/cloud/]    [https://docs.atlassian.com/<USER>software/REST/server/]    Also,   * update the intro to provide links between cloud and server docs,   * for server doc, provide links to older versions      ",Suggestion,,Closed,"2016-11-21 02:33:09","2016-11-21 02:33:09",6
"Atlassian Atlassian Software Server","Need information to add Jira to Active directory ","Team ,         Could you pleas guide me details document to add JIRA from local authentication to AD auth .              TX,    Vivek",Suggestion,,Closed,"2016-11-10 08:51:48","2016-11-10 08:51:48",4
"Atlassian Atlassian Software Server","Request for documentation to be updated regarding Issue Status section in project summary page","h3. Problem Definition    Documentation for JIRA in the following guide suggests there is an *Issue Status* section: [Viewing a project|https://confluence.atlassian.com/jiracoreserver071/viewing-a-project-802172399.html]    This may cause some confusion for administrators since the section appears to be missing. This section is not included natively in a vanilla installation of JIRA Core or JIRA Software and the documentation needs to be updated to reflect this (or clarify how the section is added).  h3. Suggested Solution    To have documentation from [Viewing a project|https://confluence.atlassian.com/jiracoreserver071/viewing-a-project-802172399.html] be updated to reflect a vanilla installation of JIRA Core or JIRA Software.  h3.  ",Suggestion,,Closed,"2016-11-08 21:30:50","2016-11-08 21:30:50",1
"Atlassian Atlassian Software Server","Create Branch Bug Should Be Included On The Document","h3. Problem Definition    Here at https://confluence.atlassian.com/display/JIRA/Configuring+workflow+triggers describing features and *Trigger events*, events have been pointed out for Bitbucket, Stash, GitHub, GitHub Enterprise. However, there is a bug at https://<USER>atlassian.com/browse/DCON-432 which shows the Branch Created for Github won't be implemented.     h3. Solution  The bug needs to be included on the page to avoid any confusion for customers and document need to be reliable to be pointed to customers.    ",Suggestion,,Closed,"2015-08-06 02:36:28","2015-08-06 02:36:28",4
"Atlassian Atlassian Software Server","Changing/Modifying workflow impact report","h3. Problem Definition  Currently, in Agile/Software Project, if *other workflows* is in use or you have *modified* the 'Simplified Workflow for your Agile's Board, this will impact the presentation of data in the Report. Where some issue using the new status introduce in this workflow will not be showing in the Report, unless you have mapped this status in the column management in the board's configuration.    This is rather a manual effort needed on the user side, as well as if the users are not aware of this, they will be presented with the inaccurate data for their reports    h3. Suggested Solution  * To update the documentation for JIRA Software Workflow to warned user on the impact of not using the default simplified workflow  * To update the documentation to educate user regarding the need to remap the statuses for the boards column, in order for the report to work correctly  * Provide informative warning during a modification of the simplified workflow",Suggestion,,Closed,"2016-08-15 13:53:43","2016-08-15 13:53:43",4
"Atlassian Atlassian Software Server","Application Link Version Matrix Documentation Update","h3. PROBLEM:    Quoting from [Application Links Version Matrix|https://confluence.atlassian.com/display/APPLINKS/Application+links+version+matrix]    \{quote}    You should ensure your applications are using the same major version of AppLinks to resolve any potential incompatibilities.    \{quote}         Creating the application link between the below versions don't seem to work. Even they are having same major applinks plugin versions.    * Confluence 5.2.5 has Applink version 4.0.0   *  JIRA 6.4.5 has Applink version 4.3.5    !applink.png|thumbnail!       h3. SUGGESTION:    Please update the documentation as it is giving misleading information to the users. ",Suggestion,,Closed,"2016-08-10 09:59:28","2016-08-10 09:59:28",8
"Atlassian Atlassian Software Server","In Release Notes please separate out Jira Admin screen changes and End User screen changes","As a <USER>admin I wish the Release Notes that only affect Jira Administrators (i.e. Admin screens) were separated from the Release Notes that affect the End Users (i.e. Front End screens). This would enable me to send a link to the Release Notes to my end users instead of having to find and then cut-n-paste the relevant chunks of information into an email for them.          ",Suggestion,,Closed,"2016-07-25 20:42:05","2016-07-25 20:42:05",4
"Atlassian Atlassian Software Server","Change activity stream documentation regarding repository commits","It is not clear in [the documentation for activity stream|https://confluence.atlassian.com/display/JIRA/Adding+the+Activity+Stream+Gadget] which commits from repositories in DVCS accounts are shown.    It seems that only ones with smart commits linking to JIRA issues appear in activity stream.",Suggestion,,Closed,"2015-01-05 13:22:08","2015-01-05 13:22:08",4
"Atlassian Atlassian Software Server","As a reviewer I want to have an account so that i can review an article",,Suggestion,,Closed,"2016-02-22 11:53:15","2016-02-22 11:53:15",4
"Atlassian Atlassian Software Server","As a reviewer to be able to review articles and add comments",,Suggestion,,Closed,"2016-02-22 11:30:47","2016-02-22 11:30:47",3
"Atlassian Atlassian Software Server","As an Admin I want to create MediaManager accounts",,Suggestion,,Closed,"2016-02-22 11:56:02","2016-02-22 11:56:02",4
"Atlassian Atlassian Software Server","As an Admin I want to create Reviewer accounts",,Suggestion,,Closed,"2016-02-22 11:55:38","2016-02-22 11:55:38",4
"Atlassian Atlassian Software Server","As an Admin I want to create Writer accounts",,Suggestion,,Closed,"2016-02-22 11:55:10","2016-02-22 11:55:10",4
"Atlassian Atlassian Software Server","As a writer I want to create multiple articles so that they can be published",,Suggestion,,Closed,"2016-02-22 11:29:55","2016-02-22 11:29:55",3
"Atlassian Atlassian Software Server","As an Admin I want to be able to assign roles",,Suggestion,,Closed,"2016-02-22 11:54:28","2016-02-22 11:54:28",4
"Atlassian Atlassian Software Server","latestReleasedVersion() in Advance Searching documentation is inconsistent","h3. Summary  In [this page|https://confluence.atlassian.com/<USER>advanced-searching-functions-338363497.html#AdvancedSearchingFunctions-latestReleasedVersion%28%29], we can see that the latestReleasedVersion() only supports the *IN* and *NOT IN* operators. However, the example given in the documentation uses the *=* operator.    When testing in JIRA 7.1.4, it looks like latestReleasedVersion() supports *=* and *!=*. When trying with *IN* and *NOT IN*, it doesn't work.    h3. Suggestion  The supported operators and example should be tested and documentation should be updated to what is really supported. The following documentation should also be updated to reflect this  * https://confluence.atlassian.com/jiracoreserver071/advanced-searching-fields-reference-802172572.html",Suggestion,,Closed,"2016-04-20 14:56:53","2016-04-20 14:56:53",4
