Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Atlassian Confluence Cloud","Space logo and Space name not showing for anonymous users, even if it is open to public access","h3. Issue Summary    It is possible to [setup public access|https://support.<USER><USER>cloud/docs/set-up-public-access/] to the entire instance or particular spaces in Confluence.    When the anonymous users access those public spaces, the space logo and the space name turns into a grey bar instead, and the overview page on the left bar is gone, leaving only the page tree visible.    h3. Steps to Reproduce   # Create a new space    # Create a new page and publish it   # In space Settings, make sure to open it to anonymous user (at least view permissions)   # In the global permission settings, open the instance to be accessible to anonymous users   # Copy the published page or space URL link and open it on incognito/in private window of your browser    h3. Expected Results  You'll be able to see the overview page in the left sidebar and the space logo/space name.    h3. Actual Results  The overview page name in the left side bar isn't there and the space name and logo are greyed out.    h3. Workaround   Currently there is no known workaround for this behavior. A workaround will be added here when available",Bug,Low,Closed,"2020-10-05 19:53:32","2020-10-05 19:53:32",4
"Atlassian Confluence Cloud","Title query not working as expected - with special characters","h3. Issue Summary  The files/pages/blogs are not being shown in the search results if they contain special characters.    h3. Steps to Reproduce   # Create a page/attachment with a name that has a special character(like !#$%&'()*+,-./:;<=>?@[\]^_`{|}~) in it.   # Go to search/advanced search and put the title there.    h3. Expected Results  The file/page name should show up in the results when searched.    h3. Actual Results  The file/page does not show up in the search results.    h3. Workaround  Currently, there is no known workaround for this behavior. A workaround will be added here when available",Bug,Low,"Gathering Impact","2020-09-18 16:56:34","2020-09-18 16:56:34",0
"Atlassian Confluence Cloud","View all people on People Directory doesn't work as indicated","h3. *Requirement:*     Change copy to _*Search* *people and teams*_  h3. Issue Summary    With the recent implementation of the new People Directory, it's no longer possible to list all people on the Confluence People Directory (differing from what's indicated on [this public documentation|https://support.<USER><USER>cloud/docs/search-the-people-directory/]). However, there's still an option to do so, which doesn't work as indicated.  h3. Steps to Reproduce   # Access Confluence.   # Navigate to *People > View all people and teams*.    h3. Expected Results    As the button indicates to display *all people and teams*, all users should be displayed.    !image-2020-09-17-16-08-49-276.png!  h3. Actual Results    Only the people who have most recently collaborated on the same content as you will be displayed.  h3. Workaround    If the user is a site-admin, it's possible to find a list of all Confluence users on the Instance administration.",Bug,Low,Closed,"2020-09-17 20:10:22","2020-09-17 20:10:22",1
"Atlassian Confluence Cloud","The pages appear collapsed under the Overview page on the page tree, after accessing a Blog post","h3. Issue Summary    When you access a Blog post on Concluence, there's a button to *Go back*, which takes the user back to the sidebar with the page tree on it. However, when the user clicks on it, the pages would appear inside the Space Overview, on the sidebar (which wasn't visible before).  h3. Steps to Reproduce   # Access a blog post.   # Click on *Go back.*    h3. Expected Results    The page tree should list all the pages that are under the Overview.  h3. Actual Results    The page tree lists only the Space Overview page:    !image-2020-08-10-18-28-10-591.png!    The user needs to expand it, in order to have access to the pages:    !image-2020-08-10-18-28-30-258.png!    Additionally, the Space Overview is not usually displayed in the page tree.  h3. Workaround    Click on *Overview*, on the sidebar. Then, refresh the page.",Bug,Medium,Closed,"2020-08-10 22:35:35","2020-08-10 22:35:35",4
"Atlassian Confluence Cloud","Accessing Fabric pages that contain gadgets directly via URL displays gadgets as white rectangles","h3. Issue Summary    If a user accesses a page that contains gadgets using the link that leads directly into that page, the gadgets will not load.    In place of the gadgets, only white rectangles will be displayed    !Screen-Recording-2020-07-30-at-1.gif!    !Screen-Recording-2020-07-30-at-1(1).gif!  h3. Steps to Reproduce   # Create a page using Fabric   # Copy the link for that page   # Open a new tab or go into another browser   # Paste the link you just copied   # Access it    h3. Expected Results    The gadgets load normally  h3. Actual Results    The gadgets do not load. White rectangles are displayed in their place.    This error is thrown when we look at the console:    !Screen Shot 2020-07-30 at 10.46.57.png!         Currently affected gadgets:   # Issue Statistics   # Two Dimensional Filter statistics   # Filter Results    h3. Workaround    Navigate into another page using Confluence interface (sidebar) and then navigate back into the previous page using the interface.",Bug,Low,"Gathering Impact","2020-07-30 15:26:44","2020-07-30 15:26:44",1
"Atlassian Confluence Cloud","Confluence space names starting with Swedish character Ö are not shorting correctly in the space list","h3. Issue Summary    Sorting of Confluence space listings is not correct for space names starting with the Swedish letter Ö, some spaces are sorted in-between space names starting with the letter S instead of at the end of the listing.  h3. Steps to Reproduce   # Step Create multiple spaces with English and Swedish language.   !image-2020-07-23-15-11-53-676.png|thumbnail!   # Step As per the Swedish letter sorting letter Ö should short at the end of the listings.    h3. Expected Results    As per the Swedish letter sorting, letter Ö should short at the end of the listings.  h3. Actual Results    some spaces are sorted in-between space names starting with the letter S instead of at the end of the listing.  h3. Workaround    Currently, there is no known workaround for this behavior. A workaround will be added here when available",Bug,Low,"Long Term Backlog","2020-07-23 10:47:46","2020-07-23 10:47:46",0
"Atlassian Confluence Cloud","CQL for search pages with macro not consistently working","h3. Issue Summary  The [Confluence Query Language|https://support.<USER><USER>cloud/docs/<USER>search-syntax/#] should be a great way to user the search feature on Confluence. It has great potential to increase value to the product.  Though we have a documentation listing tips of how to use it, some of the CQLs don't work properly, like the {{macroName}}.    h3. Steps to Reproduce  # Insert an *Excerpt Include* macro in a page;  # Go to the Confluence Advanced Search;  # In the search bar, type {{macroName:excerpt-include}} and hit enter.    h3. Expected Results  The search results show us all pages with that macro, including the new one we just created.    h3. Actual Results  Confluence only shows pages that contain the word _include_ in the title or body.    h3. Workaround  Currently there is no known workaround for this behavior. A workaround will be added here when available",Bug,Low,Closed,"2020-07-22 13:46:59","2020-07-22 13:46:59",0
"Atlassian Confluence Cloud","Unable to view Archived Spaces in Space Directory","h3. Issue Summary   * No archived spaces are being returned from the Space Directory when the field is selected   * Upon selecting a specific category in the list there are no spaces listed.   * Clicking on the links for SIte SPaces or Personal Spaces does not filter for one or the other and displays the same content as the link for AllSpaces.    h3. Steps to Reproduce   # Go to space directory   # click on archived spaces.   # select on any categories in the list.    h3. Expected Results    Space directory should list the archived spaces and list the spaces based on the specified category.  h3. Actual Results    The space list shows empty and personal spaces and site space list all the spaces without differentiating.  h3. Workaround     Either use the direct URL or space permission to list the archived space. For the non-admin who cannot list all spaces, they can see archived spaces via following Rest API as mentioned below:      and form the list take the space key and replace in the URL.     ",Bug,High,Closed,"2020-07-22 10:02:14","2020-07-22 10:02:14",0
"Atlassian Confluence Cloud","Site Spaces, All Spaces, and Personal Spaces are returning the same spaces in the Space Directory","h3. Issue Summary  Site Spaces and Personal Spaces are returning all spaces in the Space Directory    h3. Steps to Reproduce  # Navigate to Spaces > View all spaces  # Click All Spaces, Site Spaces, and Personal Spaces respectively    h3. Expected Results  The spaces in the list will differ    h3. Actual Results  The spaces in the list is the same     h3. Workaround   Currently there is no known workaround for this behavior. A workaround will be added here when available",Bug,High,Closed,"2020-07-22 04:11:52","2020-07-22 04:11:52",0
"Atlassian Confluence Cloud","Unable to Fetch Trashed Content for SpaceAdmin","h3. Issue Summary    Unable to Fetch Trashed Content for SpaceAdmin via REST call.    /wiki/rest/api/content?type=page&spaceKey=TEST&status=trashed  h3. Steps to Reproduce   # As spaceAdmin, try fetching trashedContent using /wiki/rest/api/content?type=page&spaceKey=TEST&status=trashed    h3. Expected Results    1. You should get data.  h3. Actual Results    Getting 403.  h3. Workaround    No Workournd         *Reference:*    [https://community.developer.<USER>t/forbidden-to-find-trashed-content-using-rest-api/39772]",Bug,Low,Closed,"2020-07-16 10:06:58","2020-07-16 10:06:58",2
