Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Atlassian Confluence Server","Page Property Report Macro does not show the task list element without any text","h3. Issue Summary    If you generate a page property report macro from a page property macro with a column including task list element (the square brackets) without any text, the page property report does not show anything for this column.  h3. Steps to Reproduce   # Create a page   # Insert a page property macro with the desired label   # Use task list element without any text for one of the page property column's value   # Create another page   # Insert a page property report macro and use the above label for filtering the above page property    h3. Expected Results    Column with the task list element is displayed in the page property report    !6_15_4-page_properties.png|width=256,height=146!!6_15_4-page_properties_report.png|width=256,height=146!  h3. Actual Results    Column with the task list element is not displayed, this column is empty.      !7_7_3-page_properties.png|width=256,height=146!!7_7_3-page_properties_report.png|width=256,height=146!  h3. Workaround    1. If you put some text to the task list element, it will be displayed in the page property report.    2. Enable masterdetail.legacy.parse dark feature in Confluence. This will result in slower report generation and a hard limit of 1000 rows in the report.            (i) This is working as expected in the older version of Confluence, tested in version 6.15.4.",Bug,Low,"Waiting for Release","2020-09-29 08:10:47","2020-09-29 08:10:47",2
"Atlassian Confluence Server","Confluence doesn't install Chinese, Japanese and Korean fonts on Linux","h3. Issue Summary    Uploaded documents could not render properly due to missing CJK fonts.  h3. Steps to Reproduce   # Set up an English language Linux system so that Chinese fonts are not part of the installation   # Set up Confluence on it   # Upload a Chinese powerpoint file on a page   # Preview this file    h3. Expected Results    Chinese text should be readable  h3. Actual Results    Text is garbled or rendered as squares or blank.      !image-2020-09-28-15-35-57-200.png|width=328,height=234!  h3. Workaround    Install the missing fonts manually as explained in this knowledge base article    [https://confluence.<USER>confkb/the-text-in-a-powerpoint-excel-or-word-document-looks-different-when-using-the-viewfile-macro-200213562.html]",Bug,Low,Closed,"2020-09-28 06:27:11","2020-09-28 06:27:11",5
"Atlassian Confluence Server","Epic Status and Epic Colour values are missing when not selecting Epic link","h3. Issue Summary    Epic Status and Colour values are missing when not selecting Epic link  h3. Steps to Reproduce   # Insert a Jira issue macro   # Select `Epic Status` and `Epic colour` as display options (don't select `Epic Link`)    h3. Expected Results    values should be shown  h3. Actual Results    Epic Status and Colour column values are blank.  h3. Workaround    Select Epic Link as a display option",Bug,Highest,Closed,"2020-09-07 13:48:56","2020-09-07 13:48:56",1
"Atlassian Confluence Server","Using the API endpoint /rest/masterdetail/1.0/detailssummary/lines?cql= is broken since Confluence 7.7.+ and confluence-masterdetail-plugin-5.3.10.jar","h3. Issue Summary  The API endpoint /rest/masterdetail/1.0/detailssummary/lines is on, onger wqorking after upgrading to Confluence 7.7.+    h3. Steps to Reproduce  # Add a page properties macro to a page  # Add a page properties report macro to a page  # Call the API endpoint above  # Notice the following error:     h3. Expected Results      h3. Actual Results        The below exception is thrown in the xxxxxxx.log file:      h3. Workaround  # Pass query parameter contentId along with the rest request, where the contentId equals the id of the page with the report on it.  # Upgrade Confluence to 7.7.4  # Alternatively, upgrade the plugin directly to *confluence-masterdetail-plugin-5.3.11.jar*  {panel}   # Shutdown Confluence   # Go to *<conf-install>/confluence/WEB-INF/atlassian-bundled-plugins/*   # Backup and delete *confluence-masterdetail-plugin-5.3.10.jar*   # Check the following directories for cached copies of the plugin and delete if found   ## *<conf-home>/bundled-plugins/*   ## *<conf-home>/plugin-cache/*   # Download new version from this link:  [^confluence-masterdetail-plugin-5.3.11.jar]    # Copy the JAR file to *<conf-install>/confluence/WEB-INF/atlassian-bundled-plugins/*   # Start Confluence      ",Bug,Low,Closed,"2020-09-17 14:30:55","2020-09-17 14:30:55",2
"Atlassian Confluence Server","Adding a Page Properties Report macro to the same page containing a Page Properties macro results in an error","h3. Issue Summary  Page Properties Reports macro can no longer be placed on the same page as the 'Page Properties' macro using the bundled plugin *confluence-masterdetail-plugin-5.3.10.jar*      h3. Steps to Reproduce   # Install or upgrade to Confluence 7.7.x   # Create a page and place a *Page Properties* macro on the page   # Add a *Page Properties Report* to the same page referencing the label from the page   # Save   # Notice the following error:     h3. Expected Results  *Page Properties Reports* should be shown as in previous Confluence versions up to 7.6.+    h3. Actual Results  An error is is shown for the *Page Properties Report* macro: {code}We can't display a report when the property passed to the report is the report itself{code}        (i) Using the {{/rest/masterdetail/1.0/detailssummary/lines?cql=...}} endpoint is also broken where it used to work in 7.6.+ but in case it's not related a new bug will be created.    h3. Workaround  No known workaround.",Bug,Low,Closed,"2020-09-17 14:19:15","2020-09-17 14:19:15",2
"Atlassian Confluence Server","Batch Drag-and-drop of files cause the Publish Action to fail","h3. Problem  When creating a new page and adding multiple attachments (the format or size doesn't seem to matter) via Drag-and-Drop at once, the Initial Page title will get removed and the next attempts to publish will fail    h3. Environment  Behavior reproduced with Confluence version *7.7.3* out-of-the-box installation and using:  * Chrome Version 85.0.4183.102 (Official Build) (64-bit)   * Firefox Version 80.0.1 (64-bit)    h3. Steps to Reproduce  * Create a new page  * Add a Page Title  * Drag-and-Drop 3 or multiple files on the page (in my testing 3 txt files containing one character each)  * Attempt to Publish the page    h3. Expected Results  The Page should be published without issue.    h3. Actual Results  The Page Title gets removed and the following attempt(s) to Publish the page will fail.    h3. Workaround  * Drag-and-drop files one at a time and not in batch  * Reloading the page in the browser and adding the title back will get the publish action to work    h3. Notes  A recording illustrating the issue is attached  ",Bug,Low,"Waiting for Release","2020-09-17 01:01:11","2020-09-17 01:01:11",3
"Atlassian Confluence Server","Cannot add custom field as columns in Jira Issue Macro (table view) due to case-sensitivity","h3. Problem    In a Confluence site version *7.4.x* or *7.6.x* connected to a Jira Software via an application link.    We cannot add 2 Jira *custom fields* as *columns* to display in a *Jira Issue Macro* (table view) due to case-sensitivity.  h3. Environment    Confluence version *7.4.x* or *7.6.x* connected to a Jira Software version *8.4.2* via an application link  h3. Steps to Reproduce   # Create 2 custom fields in Jira and configure them to be displayed on some default screens for the user to fill in. In our example, we called these fields *end date* and *End date* and they were date pickers.   # Create a new Jira Issue / Bug and assign a new value to these fields   # Go to Confluence and create a new Confluence page adding a *Jira Issue Macro*   # Customize the Jira Issue Macro and try to make the new custom fields displayed as a column in a Table view    h3. Expected Results    _The user can pick the 2 custom fields as *columns* to display in a *Jira Issue Macro*_  h3. Actual Results    _After picking the first custom field, the second one becomes unavailable for selection in the *Jira Issue Macro*_  h3. Workaround    _No Workaround at this stage except renaming fields on the Jira side that may not be convenient for the user needs._  h3. Notes    A video is attached with my steps to reproduce in Confluence",Bug,Low,Closed,"2020-08-10 01:12:11","2020-08-10 01:12:11",2
"Atlassian Confluence Server","Jira Macro column values not appearing when Custom Field (Jira) name contains comma or semicolon","h3. Summary    When JIRA Custom Fields name contains comma (,) or (;) JIRA Macro identify the them as separators and does not include the field values in the JIRA Macro table generated in Confluence         Steps to Reproduce   # Create a custom field that include a comma or semicolon, add value.   # Create a JIRA Macro in a Confluence page   # Include the custom field that contains a comma or semicolon   # Publish page.          [^Screenshot from 2017-10-25 18.30.04.png] [^Screenshot from 2017-10-25 18.31.26.png]  h3. Expected Results    Values are shown in Custom field column  h3. Actual Results    _Empty values are shown and the header is separated where the commas or semicolons are positioned._  h3. Workaround      Remove commas from JIRA Custom Fields",Bug,Low,Closed,"2020-08-04 08:04:40","2020-08-04 08:04:40",3
"Atlassian Confluence Server","Cannot sort newly created Jira custom field columns in Jira issues macro","h3. Issue Summary    The custom fields information is cached in JIM without being actively invalidated so that newly created Jira custom fields is missing in the cache resulting in Jira issue macro column is not sortable.    The fix might be    *  find a event to invalidate the cache   * save ids in JIM to bypass the custom field ids checking.    h3. Steps to Reproduce   # Add a new custom field in Jira   # Edit a ticket to include this fields with a value   # Update Jira issues macro in Confluence to display this issue with the new column    h3. Expected Results    This column should be sortable  h3. Actual Results    Sorting triangle button is missing for the new column.   h3. Workaround    Wait for cache expires    or restart Confluence    or re-enable Jira issue macro plugins ",Bug,Low,"Long Term Backlog","2020-07-30 01:36:08","2020-07-30 01:36:08",5
"Atlassian Confluence Server","Widget connector can't load Google map on HTTPS server","h3. Issue Summary    Widget connector can't load Google map on HTTPS server  h3. Steps to Reproduce   # Go to Confluence HTTPS instance   # Open editor   # Paste a google map link, that contains HTTPS, into editor. It is auto converted into a widget connector macro   # Edit the macro   # Click Preview macro, see nothing   # Save the page, google map is not displayed on view page    h3. Expected Results    Display google map  h3. Actual Results    Empty  h3. Workaround    None",Bug,Low,Closed,"2020-07-07 04:21:15","2020-07-07 04:21:15",1
