Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Hyperledger Blockchain Explorer","v1.1.3 release","* Update CHANGELOG.md by using the following command       * Update README.md   * Update version in 2 package.json [here|https://github.com/hyperledger/blockchain-explorer/blob/master/package.json#L3] and [here|https://github.com/hyperledger/blockchain-explorer/blob/master/package.json#L3]   * Create release note (release_notes/v1.1.3.md)   * Update version of supported fabric if need it [here|https://github.com/hyperledger/blockchain-explorer/blob/master/client/src/FabricVersion.js#L3] (I don't think we need it this time)   * Push all above updates into master   * Add `v1.1.3` tag to the latest commit on master branch via Github web UI",Task,Medium,Complete,"2020-09-28 01:47:43","2020-09-28 01:47:43",1
"Hyperledger Blockchain Explorer","v1.1.2 release","* Update CHANGELOG.md by using the following command       * Update README.md   * Update version in 2 package.json [here|https://github.com/hyperledger/blockchain-explorer/blob/master/package.json#L3] and [here|https://github.com/hyperledger/blockchain-explorer/blob/master/package.json#L3]   * Create release note (release_notes/v1.1.2.md)   * Update version of supported fabric if need it [here|https://github.com/hyperledger/blockchain-explorer/blob/master/client/src/FabricVersion.js#L3] (I don't think we need it this time)   * Push all above updates into master   * Add `v1.1.2` tag to the latest commit on master branch via Github web UI   !screenshot-1.png|thumbnail!",Task,Medium,Complete,"2020-08-11 09:29:18","2020-08-11 09:29:18",1
"Hyperledger Blockchain Explorer","v1.1.1 release","* Update CHANGELOG.md by using the following command    * Update README.md  * Update version in 2 package.json [here|https://github.com/hyperledger/blockchain-explorer/blob/master/package.json#L3] and [here|https://github.com/hyperledger/blockchain-explorer/blob/master/package.json#L3]  * Create release note (release_notes/v1.1.1.md)  * Update version of supported fabric if need it [here|https://github.com/hyperledger/blockchain-explorer/blob/master/client/src/FabricVersion.js#L3] (I don't think we need it this time)  * Push all above updates into master  * Add `v1.1.1` tag to the latest commit on master branch via Github web UI   !screenshot-1.png|thumbnail!",Task,Medium,Complete,"2020-07-13 08:18:38","2020-07-13 08:18:38",1
"Hyperledger Blockchain Explorer","v1.1.0 release","* Update CHANGELOG.md by using the following command    * Update README.md  * Update version in 2 package.json [here|https://github.com/hyperledger/blockchain-explorer/blob/master/package.json#L3] and [here|https://github.com/hyperledger/blockchain-explorer/blob/master/package.json#L3]  * Create release note (release_notes/v1.0.0.md)  * Update version of supported fabric if need it [here|https://github.com/hyperledger/blockchain-explorer/blob/master/client/src/FabricVersion.js#L3] (I don't think we need it this time)  * Push all above updates into master  * Add `v1.0.0` tag to the latest commit on master branch via Github web UI (You might need to get appropriate permission from Nik)   !screenshot-1.png|thumbnail!",Task,Medium,Complete,"2020-07-01 12:54:33","2020-07-01 12:54:33",1
"Hyperledger Blockchain Explorer","Tag v1.0.0 release","* Update CHANGELOG.md by using the following command    * Update README.md  * Update version in 2 package.json [here|https://github.com/hyperledger/blockchain-explorer/blob/master/package.json#L3] and [here|https://github.com/hyperledger/blockchain-explorer/blob/master/package.json#L3]  * Create release note (release_notes/v1.0.0.md)  * Update version of supported fabric if need it [here|https://github.com/hyperledger/blockchain-explorer/blob/master/client/src/FabricVersion.js#L3] (I don't think we need it this time)  * Push all above updates into master  * Add `v1.0.0` tag to the latest commit on master branch via Github web UI (You might need to get appropriate permission from Nik)   !screenshot-1.png|thumbnail!",Task,Medium,Complete,"2020-04-09 10:01:06","2020-04-09 10:01:06",1
"Hyperledger Blockchain Explorer","Tag v1.0.0-rc3 release","Generate CHANGELOG     $ ./scripts/changelog.sh 567d708 v1.0.0-rc2  # update README.md / CHANGELOG.md  $ git tag -F release_notes/v1.0.0-rc1.md v1.0.0-rc1  $ git push tag v1.0.0-rc2{noformat}",Task,Medium,Complete,"2020-04-01 08:33:13","2020-04-01 08:33:13",1
"Hyperledger Blockchain Explorer","HLExplorer, support Hyperledger Fabric v2.0","Test if HLExplorer supports Hyperledger Fabric v2.0    Steps would be:    - install one of the fabric samples in HL Fabric v2.0.0-beta, https://github.com/hyperledger/fabric-samples/tree/v2.0.0-beta  - connect hle explorer to the fabric sample network   - use latest sdk for node v1.4.4  - test connections, verify dashboard, and all the tabs for fulfillment of the data from the network ",Task,Medium,Complete,"2020-01-06 14:56:47","2020-01-06 14:56:47",5
"Hyperledger Blockchain Explorer","Sprint - 45, monitor Formal Proposal, move Hyperledger Explorer from incubation to active status","Update the formal proposal that was submitted in November, 2019 (see below for details) and re-submit to TSC for the review    Recordings meeting, etc https://wiki.hyperledger.org/display/TSC/2019+11+21+TSC+Minutes    Submitted to the decision log   https://wiki.hyperledger.org/display/TSC/TSC+Decision+Log    https://wiki.hyperledger.org/display/TSC/Move+Hyperledger+Explorer+from+incubation+to+active+status    https://wiki.hyperledger.org/display/TSC/Hyperledger+Explorer+major+release+v1.0.0    Requirements for the major release https://wiki.hyperledger.org/display/TSC/Criteria+for+First+Major+Release",Task,Medium,"To Do","2019-12-11 16:58:26","2019-12-11 16:58:26",1
"Hyperledger Blockchain Explorer","Build latest readthe docs ","Build latest readthe docs located @  https://readthedocs.org/projects/blockchain-explorer/      ",Task,Medium,Complete,"2019-12-10 16:58:22","2019-12-10 16:58:22",0.5
"Hyperledger Blockchain Explorer","Add ability to configure explorer log level to ERROR","from Javi , https://chat.hyperledger.org/channel/hyperledger-explorer?msg=CTn4amu86fmPdFM4x    10:57 AM  hi all! I want to change the explorer log level to ERROR, but the documentation is not clear about how to make this change. It is possible to modify it using an environment variable?",Task,Medium,Complete,"2019-12-09 18:46:42","2019-12-09 18:46:42",3
