Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Hyperledger Fabric","Expose an Admin endpoint for the channel participation API","The channel participation API endpoint should adopts the style of the   [Operations API](([https://hyperledger-fabric.readthedocs.io/en/release-2.0/operations_service.html#operations-security]))   in the orderer.         We intend to provide an additional HTTP server that is hosted only the orderer, and expose the endpoint   `/participation/v1`, which has a single resource `/channels`. the orderer configuration, as    expressed in the `orderer.yaml` file, will identify endpoint configuration parameters that are unique to the channel    participation API. The _local orderer channel participation admin_ is not identified by the MSP, but rather through mutual TLS.   Like in the operations API that handles log-spec,         1. Add to the config of `ChannelParticipation:` in `orderer.yaml` the following parameters:      {code:yaml}    # host and port for the operations server     ListenAddress: 127.0.0.1:8443      # TLS configuration for the operations endpoint     TLS:    # TLS enabled       Enabled: false      # Certificate is the location of the PEM encoded TLS certificate       Certificate:     # PrivateKey points to the location of the PEM-encoded key       PrivateKey:     # ClientAuthRequired requires client certificate authentication    # at the TLS layer to access all resources.       ClientAuthRequired: false      # Paths to PEM encoded ca certificates to trust for client authentication       ClientRootCAs: []  {code}  2. Define a separate (new) HTTP server in `server/main.go` and register the channel participation HTTP handler to it, rather than to the operations API.",Story,High,"In CR Review","2020-09-25 06:29:17","2020-09-25 06:29:17",2
"Hyperledger Fabric","Back-porting Go Modules to 1.x","Is there any chance that the migration to go modules could be back-ported for the latest 1.x release (1.4.8 at the time of this writing)?    I want to write a chain code with the latest 1.x version, but really dislike the legacy package management of go and the need to manage $GOPATH and other env vars (personal preference).    If I understand it correctly all it would take is a single commit that adds a go.mod file on the 1.x branch and then a release of a minor version that gets tagged so go can pick it up as a version. Also happy to send a PR with this if people support the idea. Please advise.",Story,Medium,Closed,"2020-08-25 17:22:11","2020-08-25 17:22:11",3
"Hyperledger Fabric","PTEv2 README","Add PTEv2 README",Task,Medium,"In CR Review","2020-08-11 19:39:54","2020-08-11 19:39:54",1
"Hyperledger Fabric","Remove ledger resources in an asynch way","In this task FAB-17964 the ledger resources are removed in a synchronous way. This may create problems when the channel's ledger is big. Here we improve upon that by removing the ledger in an asynch fashion. (see review comments [here|https://github.com/hyperledger/fabric/pull/1637#discussion_r462343435]  and [here|https://github.com/hyperledger/fabric/pull/1637#discussion_r465503129] ).         The `r.ledgerFactory.Remove(channelID)` operation may take a long time. This operation is performed under the global registrar lock. If this takes even more then a fraction of a second, it will impact the performance of the server on all other channels. This method    // GetChain retrieves the chain support for a chain if it exists.    func (r *Registrar) GetChain(chainID string) *ChainSupport     \{    r.lock.RLock()    defer r.lock.RUnlock()    return r.chains[chainID]    \}    is called by every client request, through BroadcastChannelSupport  so we can't really hold that lock for too long (for write - exclusive).    What is propose is asynch deletion:   * introduce a {{*toBeRemoved* set (e.g. map[string]bool }}) that holds channels that are being removed.   * After stopping the channel move the *{{channelID}}* to that set,   * and only then delete the ledger, but make the delete async with a different go-routine.   * release the lock.   * when the delete go-routine finishes, it removes the *{{channelID}}* from the *{{toBeRemoved}}*   * any attempt to `Join` or `Remove` should also check the *{{toBeRemoved}}*",Story,Medium,"In Progress","2020-08-10 15:26:34","2020-08-10 15:26:34",3
"Hyperledger Fabric","operator supports PTEv2","PTEv2 (FAB-17973) supports invoke and query using high level SDK and will be available soon.  Operator will need to use PTEv2 rather PTE for invoke and query.",Task,Medium,"In Progress","2020-08-06 16:09:13","2020-08-06 16:09:13",1
"Hyperledger Fabric","PTEv2 supports transientMap","PTEv2 supports transientMap.  The format of transientMap will be similar to the one listed below:    {        marble: {            name:marble,            color:blue,            size:35,            owner:tom,            price:99        }    }    PTEv2 will need to re-assign certain keys in the Map in order to have unique asset for each transaction.     ",Task,Medium,"In CR Review","2020-07-30 20:17:50","2020-07-30 20:17:50",1
"Hyperledger Fabric","Validate TLS intermediate certs against the TLS root certs","Created based on [this discussion in github|https://github.com/hyperledger/fabric-config/pull/35#discussion_r460927399].    The validateCACerts code [here|https://github.com/hyperledger/fabric-config/blob/a97807f0619130c8aa7fe1ce33b19109168ca55a/configtx/msp.go#L893-L905] should be refactored/reused to validate that the signature for each of the TLS intermediate CA certs has a valid signature from one of the TLS root CA certs.    Note: if you really feel like getting extra credit, you can see if we can incorporate the TODO to use cert.Verify() to provide a more complete verification but simply using tlsIntermediateCert.CheckSignatureFrom(tlsRootCert) is sufficient for now. ",Story,Medium,Backlog,"2020-07-28 21:40:56","2020-07-28 21:40:56",1
"Hyperledger Fabric","Add example for individual Orderer value updates","Add an example to show migrating to etcdraft using the individual orderer update functions.     ",Story,Medium,Closed,"2020-07-24 15:18:10","2020-07-24 15:18:10",1
"Hyperledger Fabric","PTEv2 supports grpc timeout and request timeout","PTEv2 sets grpc timeout and request timeout when connecting to gateway.",Task,Medium,"In CR Review","2020-07-24 13:45:46","2020-07-24 13:45:46",1
"Hyperledger Fabric","PTEv2 supports peer failover","PTEv2 supports peer failover",Task,Medium,"In CR Review","2020-07-23 16:00:05","2020-07-23 16:00:05",1
"Hyperledger Fabric","PTEv2 support invoke check","PTEv2 supports invoke check    After invokes execution, PTEv2 can perform queries for invoke validation.  User can specify the number of query, such as all invoke transactions or last n transactions and the peers that the queries to be sent.",Task,Medium,"In CR Review","2020-07-21 20:26:28","2020-07-21 20:26:28",1
"Hyperledger Fabric","PTEv2 supports general chaincode args","In order to have a unique key for each transaction, PTEv2 supports general chaincode args ",Task,Medium,"In CR Review","2020-07-21 15:32:46","2020-07-21 15:32:46",1
"Hyperledger Fabric","PTEv2 supports user specified target peers","PTEv2 sets target peers if not service discovery based on user specification.    The supported target peers are:     ORGANCHOR: the anchor peer (the first peer listed in the org)    ALLANCHORS: all anchor peers of all orgs    ORGPEERS: all peers in the same org    ALLPEERS: all peers listed in the connection profile    LIST: specific peers in the list    DISCOVERY: service discovery, no target peer is set",Task,Medium,"In CR Review","2020-07-21 15:24:54","2020-07-21 15:24:54",1
"Hyperledger Fabric","Make RemoveChannel crash fault tolerant","We need to make the {{Remove}} operation crash fault tolerant. The {{blkstorageProvider.Drop(channelID)}} may take a while, removing the index and then the folder, and if in that time there is a crash there is no recovery from {{blkstorageProvider}}. We need to mark the channel for removal with the file-repo at the start of this method, and unmark at the end. If we restart and find a channel marked for removal, we deed to retry the {{Drop()}}.",Story,Medium,"In CR Review","2020-07-21 15:17:40","2020-07-21 15:17:40",2
"Hyperledger Fabric","PTEv2 supports constant mode transaction","PTEv2 supports constant mode transaction with user specified frequency and deviation frequency",Task,Medium,"In CR Review","2020-07-21 15:14:07","2020-07-21 15:14:07",1
"Hyperledger Fabric","PTEv2 supports filtered block event","PTEv2 supports filtered block event",Task,Medium,"In CR Review","2020-07-21 15:12:45","2020-07-21 15:12:45",2
"Hyperledger Fabric","PTEv2 supports service discovery","PTEv2 supports service discovery with collection",Task,Medium,"In CR Review","2020-07-21 15:11:38","2020-07-21 15:11:38",1
"Hyperledger Fabric","PTEv2 supports invoke and query","PTEv2 executes invokes and queries using high level SDK-node",Task,Medium,"In CR Review","2020-07-21 15:09:36","2020-07-21 15:09:36",2
"Hyperledger Fabric","Support individual MSP value updates","As a consumer of the fabric-config library, I would like to update individual fields in and organizations MSP configuration without having to go through the existing process of cloning the MSP configuration via `GetMSP()` and then modifying the specific fields I want to update. Currently if you wanted to add a single admin cert  to  an orderer org's MSP config, you would do something like:    While the existing `GetMSP` -> `SetMSP` model has it's own use cases, the above could have simply been supported as     which is both more in line with how the rest of the API operates and less confusing for having to follow a different process than for say `ordererOrg.AddOrdererEndpoint`.         For now, lets keep the existence of `SetMSP` and `GetMSP` and just add the other functions to support a separate path for making individual field updates.         *Acceptance*    There are new api functions for `OrdererOrgGroup`, `ApplicationOrgGroup`, and `ConsortiumOrgGroup` that implement each of the supported values we add via `SetMSP`: [https://github.com/hyperledger/fabric-config/blob/7beda2c830d8d474eda0b187ef9cd8ecb3195724/configtx/orderer.go#L471]   * Perform any certificate validation if necessary   * AddRootCert/RemoveRootCert   * AddIntermediateCert/RemoveIntermediateCert   * AddAdminCert/RemoveAdminCert   * AddCRL/RemoveCRL (using or replacing the already supported CreateMSPCRL, this function never actually modified the ConfigGroup type it was associated with and was instead used in conjunction with the SetMSP flow)   * AddOUIdentifier/RemoveOUIdentifier   * SetCryptoConfig   * AddTLSRootCert/RemoveTLSRootCert   * AddTLSIntermediateCert/RemoveTLSIntermediateCert   * SetClientOUIdentifier/SetPeerOUIdentifier/SetAdminOUIdentifier/SetOrdererOUIdentifier   * EnableNodeOUs/DisableNodeOUs    The examples are also updated to either show both methods of updating an MSP.     ",Story,Medium,Closed,"2020-07-10 22:28:11","2020-07-10 22:28:11",1
"Hyperledger Fabric","Implement a config transaction bulk operation CLI tool","As a user with a network of many channels, I would like to perform bulk operations on a subset of channels with a CLI tool that consumes the fabric-config library.         Some initial bulk operations we'd like supported include:    *Cert Expiry*   Update channel MSP that only requires one signature   TLS certs for orderers in consenter set    *V1 to V2 migration*   Remove dead consenter from channel   Remove dead anchor peers   Add anchor peers         Requirements:  * Option to run the tool in dry-run mode - show the calculated update  * error message when doing any operation other than the supported ones  * stack multiple operations     Use cases:  REPLACE: Update channel MSP - admins  DELETE: Remove dead consenter from channel  UPDATE: TLS certs for orderers in consenter set  ADD: Anchor Peer  DELETE: Anchor Peer     Connection Profile: Use Fabric connection profile format  [https://hyperledger-fabric.readthedocs.io/en/release-2.0/developapps/connectionprofile.html]      Support a --dryrun flag that prints the update to stdout and can be redirected to a file       The tool will take a JSON input indicating the update that also specifies a connection profile for connecting to a peer to use the discovery service for fetching config blocks. The tool should both support fetching the config block via the information provided in the connection profile as well as submitting the config update transaction         *Acceptance*    I can use the cli tool to update a network with many channels by performing the same config update operations on a selected list of channels for the network. I can pass signing identities and a connection profile for connecting to a peer for fetching config blocks and submitting transactions to the orderer. An example command should look something like:  ",Story,Medium,Closed,"2020-07-06 14:50:35","2020-07-06 14:50:35",5
