Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Hyperledger Indy Node","Migrate indy-node CD pipeline from Jenkins",,Task,Medium,New,"2020-03-27 12:49:37","2020-03-27 12:49:37",5
"Hyperledger Indy Node","Migrate indy-plenum CD pipeline from Jenkins",,Task,Medium,New,"2020-03-27 12:48:33","2020-03-27 12:48:33",5
"Hyperledger Indy Node","Move indy-node CI pipeline to GitHub Actions",,Task,Medium,New,"2020-03-27 08:31:25","2020-03-27 08:31:25",3
"Hyperledger Indy Node","Move indy-plenum CI pipeline to GitHub Actions",,Task,Medium,New,"2020-03-27 08:31:10","2020-03-27 08:31:10",8
"Hyperledger Indy Node","Release 1.13.0",,Task,Medium,New,"2020-03-13 12:30:04","2020-03-13 12:30:04",2
"Hyperledger Indy Node","Rich Schema Design: process feedback","Process feedback for HIPEs and RFCs created in the scope of INDY-2337 and INDY-2347.",Task,Medium,Complete,"2020-03-13 12:28:08","2020-03-13 12:28:08",2
"Hyperledger Indy Node","Future Ledger options: discuss and continue",,Task,Medium,Complete,"2020-03-13 12:26:27","2020-03-13 12:26:27",5
"Hyperledger Indy Node","Research Stellar: Part 2","*Acceptance criteria:*   * whether it's possible to implement Indy txns in Stellar   * whether it's possible to support light clients in Stellar",Task,Medium,Complete,"2020-02-28 15:28:29","2020-02-28 15:28:29",5
"Hyperledger Indy Node","Improvements in Rich Schema common code","*Acceptance criteria:*   * {color:#000000}Make sure that @id == id{color}   * {color:#000000}json_ld validation for objects that must be json_lds{color} (presence of @id, @type)   ** Schema   ** Mapping   ** Presentation Definition     ",Task,Medium,Complete,"2020-02-28 02:06:01","2020-02-28 02:06:01",1
"Hyperledger Indy Node","Blog Post March","Draft at least one technical blog post. Possible options:  * Troubleshooting Indy  * Considering consensus protocols  * Why Rich Schemas will be awesome.",Task,Medium,Complete,"2020-02-27 22:54:44","2020-02-27 22:54:44",2
"Hyperledger Indy Node","Design W3C Presentation","*Acceptance criteria*   * Write Indy HIPE and Aries RFC for W3C presentation format applying to Indy/Aries",Task,Medium,New,"2020-02-26 22:58:22","2020-02-26 22:58:22",2
"Hyperledger Indy Node","Design W3C Credential","*Acceptance criteria*   * Write Indy HIPE and Aries RFC for W3C credential format applying to Indy/Aries",Task,Medium,Complete,"2020-02-26 22:56:06","2020-02-26 22:56:06",2
"Hyperledger Indy Node","Design Presention Definition","*Acceptance criteria*   - Create Indy HIPE and Aries RFC with examples and description of   Presentation Definition object",Task,Medium,New,"2020-02-26 22:47:31","2020-02-26 22:47:31",2
