Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Hyperledger Indy SDK","Rich Shema / W3C demo in indy-credx",,Task,Medium,"In Progress","2020-03-27 13:52:57","2020-03-27 13:52:57",5
"Hyperledger Indy SDK","Complete integration of Indy-VDR inside of LibIndy","*Acceptance Criteria*  * Integration with Indy Node CI tests",Task,Medium,New,"2020-03-27 13:46:54","2020-03-27 13:46:54",5
"Hyperledger Indy SDK","IndyNode txn for Anoncreds 2.0",,"New Feature",Medium,New,"2020-03-22 19:07:42","2020-03-22 19:07:42",5
"Hyperledger Indy SDK","Tails-free optimization of Anoncreds 2.0 in libvcx","There is no Tails in revocation 2.0 but there are Merkle Tree. While they are sparse by default, the size may be significant.    Some optimization is required to have a right balance between performance and size to store","New Feature",Medium,New,"2020-03-22 19:05:55","2020-03-22 19:05:55",8
"Hyperledger Indy SDK","Support Anoncreds 2.0 in libvcx",,"New Feature",Medium,New,"2020-03-22 19:05:30","2020-03-22 19:05:30",5
"Hyperledger Indy SDK","Integrate Anoncreds 2.0 IndyCredX into libindy",,"New Feature",Medium,New,"2020-03-22 19:04:53","2020-03-22 19:04:53",8
"Hyperledger Indy SDK","Implement medium-level helpers for Anonreds 2.0 in IndyCredX","For Anoncreds 1.0 there are helpers methods in libindy which are map high-level flow (issue credential, provide complex proof, verify complex proof) to low-level math (create proof from particular credential for particular disclosed attrs).  The same bridge should be provided by IndyCredX","New Feature",Medium,New,"2020-03-22 19:04:11","2020-03-22 19:04:11",13
"Hyperledger Indy SDK","PoC demo test flows for Revocation 2.0 at the top of URSA","Implement full-functional demo for 3 roles (Issure Holder Verifier) at the top of URSA with Revocation","New Feature",Medium,New,"2020-03-22 19:03:32","2020-03-22 19:03:32",8
"Hyperledger Indy SDK","PoC demo test flows for Anoncreds 2.0 at the top of URSA","Implement full-functional demo for 3 roles (Issure Holder Verifier) at the top of URSA without revocation","New Feature",Medium,New,"2020-03-22 19:02:13","2020-03-22 19:02:13",13
"Hyperledger Indy SDK","LibVCX should be tested against the latest StreetCred app and verify that it stores credentials that LibVCX issues","Here is the branch we can do testing: [https://github.com/<USER>indy-sdk/tree/feature/streetcred-compatibilkity]    I used BuilderNet pool network.    I used Dummy-cloud-agent: [https://github.com/<USER>indy-sdk/tree/feature/streetcred-compatibilkity/vcx/dummy-cloud-agent]    Streetcred Mobile app is available in app store. `Streetcred Identity Wallet`.    Dummy  Agent Mobile app must be at the same WiFi network as PC to be reachable.    Steps:   * install the last stable Libndy and Libnullpay: [https://github.com/hyperledger/indy-sdk#ubuntu-based-distributions-ubuntu-1604-and-1804]   * build LibVCX from the source.  The branch contains some changes regarding DIDDoc preparation/validation (they need to establish connection).   `cd vcx/libvcx && cargo build` — copy target/debug/libvcx.so to /usr/lib or /usr/local/lib     * run dummy-agency: cd vcx/dummy-cloud-agent.   Update config/sample-config.json to use IP instead of the localhost.  use ngrok to make it public available.   Run agent with `cargo run config/sample-config.json`.   * go to vcx/wrappers/python3/demo – update `provisionConfig`  agency related parameters to point on dummy agent address.     * run faber with python3 faber.py.   It will print invite json.    You need to base64 encode invite -> put encoded string into [http://192.168.54.174:8080?c_i=|http://192.168.54.174:8080/?c_i=]<HERE> -> convert result to QR code. it Scan with Streetcred app.",Task,Medium,Complete,"2020-03-13 14:01:41","2020-03-13 14:01:41",5
