Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Hyperledger Sawtooth","Compilation warnings in validator","    * Steps to reproduce the issue    Run sawtooth (I'm doing docker-compose up but any invocation will do it) and observe the output.  When the validator starts it builds the rust and shows errors (below).         * Actual results        {{sawtooth-validator |    Compiling sawtooth_validator v1.3.0 (/project/sawtooth-core/sawtooth-core/validator)}}    {{sawtooth-validator | warning: variable does not need to be mutable}}    {{sawtooth-validator |    --> src/journal/block_manager.rs:818:17}}    {{sawtooth-validator |     |}}    {{sawtooth-validator | 818 |             let mut blockstore = blockstore_by_name}}    {{sawtooth-validator |     |                 ----^^^^^^^^^^}}    {{sawtooth-validator |     |                 |}}    {{sawtooth-validator |     |                 help: remove this `mut`}}    {{sawtooth-validator |     |}}    {{sawtooth-validator |     = note: #[warn(unused_mut)] on by default}}    {{sawtooth-validator | }}    {{sawtooth-validator | warning: variable does not need to be mutable}}    {{sawtooth-validator |    --> src/state/merkle.rs:311:21}}    {{sawtooth-validator |     |}}    {{sawtooth-validator | 311 |                 let mut parent = path_map}}    {{sawtooth-validator |     |                     ----^^^^^^}}    {{sawtooth-validator |     |                     |}}    {{sawtooth-validator |     |                     help: remove this `mut`}}    {{sawtooth-validator | }}    {{sawtooth-validator | warning: variable does not need to be mutable}}    {{sawtooth-validator |    --> src/state/merkle.rs:361:17}}    {{sawtooth-validator |     |}}    {{sawtooth-validator | 361 |             let mut successors = change_log.mut_successors();}}    {{sawtooth-validator |     |                 ----^^^^^^^^^^}}    {{sawtooth-validator |     |                 |}}    {{sawtooth-validator |     |                 help: remove this `mut`}}    {{sawtooth-validator | }}    {{sawtooth-validator | warning: variable does not need to be mutable}}    {{sawtooth-validator |    --> src/state/merkle.rs:742:29}}    {{sawtooth-validator |     |}}    {{sawtooth-validator | 742 |             Some(Value::Map(mut child_map)) => {}}    {{sawtooth-validator |     |                             ----^^^^^^^^^}}    {{sawtooth-validator |     |                             |}}    {{sawtooth-validator |     |                             help: remove this `mut`}}    {{sawtooth-validator | }}    {{sawtooth-validator |     Finished release [optimized] target(s) in 2m 23s}}         * Expected results    A clean build        It's trivial to fix (the clues are above :) ) but I want a bug number to lodge the PR against.    Note I'm calling this 'ow' rather than 'lowest' because I actually think we should be building with warnings-as-errors",Bug,Low,Backlog,"2019-07-16 17:00:29","2019-07-16 17:00:29",0
"Hyperledger Sawtooth","Change Ubuntu procs to use user key instead of validator key","In the App Dev and Sys Admin Guides, the Ubuntu single-node and multi-node procedures create the genesis block with the validator's key. The preferred method is to use the user's key.",Improvement,Medium,Complete,"2019-07-16 16:40:46","2019-07-16 16:40:46",2
"Hyperledger Sawtooth","Docs: Fix genesis block key info & notes","Correct info on key needed to change settings - it's not necessarily the validator key.",Improvement,Medium,Complete,"2019-07-12 15:38:05","2019-07-12 15:38:05",1
"Hyperledger Sawtooth","Delete App Dev AWS procedure from Chime & master docs","The AWS Sawtooth version is currently 1.1.4.  There are no (known) plans to update it to Chime/1.2. Remove Using AWS for a Single Sawtooth Node  from the 1.2 and master docs.   * [https://sawtooth.hyperledger.org/docs/core/nightly/1-2/app_developers_guide/aws.html]   * [https://sawtooth.hyperledger.org/docs/core/nightly/master/app_developers_guide/aws.html]         Note: The Bumper/1.1 docs will continue to include the 1.1 version of the AWS procedure Using AWS with Sawtooth.   * Release 1.1.5: [https://sawtooth.hyperledger.org/docs/core/releases/1.1.5/app_developers_guide/aws.html]   * Nightly 1.1 doc build: [https://sawtooth.hyperledger.org/docs/core/nightly/1-1/app_developers_guide/aws.html]",Improvement,High,Complete,"2019-07-03 18:59:18","2019-07-03 18:59:18",1
"Hyperledger Sawtooth","Make doc corrections for post-chime doc update",,Improvement,Medium,Backlog,"2019-06-19 19:13:30","2019-06-19 19:13:30",2
"Hyperledger Sawtooth","Improve Sawtooth docs web page","Reorganize and reformat the Sawtooth Docs web page to improve usability and appearance.  [https://sawtooth.hyperledger.org/docs/]  [https://coreos.com/tectonic/docs/latest/]    Clarify the doc links with respect to releases and make information easier to find (fewer old STL releases on the top page, more products above the fold, clarify what nightly master means, etc.). Consider putting very old releases on a subpage to reduce clutter and confusion.    Determine a best-practices design by evaluating other doc pages, such as these examples:  [https://docs.geoserver.org|https://docs.geoserver.org/]   [https://coreos.com/tectonic/releases/  https://coreos.com/docs/   |https://coreos.com/tectonic/releases/] [http://docs.h2o.ai |http://docs.h2o.ai/](see Sparkling Water)  [https://gradle.org/releases/]   [https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/8/]   [https://developer.openstack.org|https://developer.openstack.org/]              See also STL-1644.     ",Improvement,Medium,"In Progress","2019-06-19 19:08:52","2019-06-19 19:08:52",2
"Hyperledger Sawtooth","Fix 'latest' version label in Sawtooth doc TOC","Fix the confusion between latest release (link on sawtooth.hyperledger.org/docs) and Latest version label in the doc TOC.   * When you click on Latest Release from the Docs web page, the TOC shows the release number. This is a good thing.   * When you click on Nightly master from the Docs web page, the TOC shows latest. This is confusing.    Consider a terminology change for the nightly master link and version label, along with including the word Draft in the label.    For an example, see the Sawtooth doc links at https://sawtooth.hyperledger.org/docs/",Improvement,Medium,"In Progress","2019-06-19 18:55:35","2019-06-19 18:55:35",1
"Hyperledger Sawtooth","Edit Chime release announcement (blog post)",,Improvement,Medium,Backlog,"2019-06-19 18:28:28","2019-06-19 18:28:28",1
"Hyperledger Sawtooth","Edit Chime release notes",,Improvement,Medium,Backlog,"2019-06-19 18:27:30","2019-06-19 18:27:30",1
"Hyperledger Sawtooth","Rename PoET simulator to PoET CFT","Change PoET-sim and PoET simulator to PoET CFT (with explanation of what CFT means). This change should be made throughout the Sawtooth core docs, Sawtooth website, FAQ, and Hyperledger Sawtooth pages (wiki, etc.).     Note that the glossary must continue to include an entry for PoET simulator/PoET-sim, because it's used in blog posts, announcements, on chat.hyperledger.org, and elsewhere.    Also consider whether PoET-SGX should be renamed or also called PoET BFT.  In any case, the docs need a better description of the CFT/BFT differences in PoET 1.0.               ",Improvement,Low,Backlog,"2019-06-19 18:25:48","2019-06-19 18:25:48",3
