Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Lyrasis Dura Cloud","Error duplicating content properties with UTF-8 characters","Reported error by Duplication Worker (captured in the mill dead letter queue):    error=org.duracloud.mill.dup.DuplicationTaskExecutionFailedException\:Failure to duplicate content item due to\:Error attempting to duplicate content properties\: Could not update metadata for content BOT archives 10.05 to 04.11/APR 06 BOT archives/Committees and Docs APR 06/Academic Affairs APR 06/Attachment B  Occasional Campus Communiqué Dec 05a.pdf in S3 bucket akiai7ibx4naiq2hyzba.board-trustees due to error\: The request signature we calculated does not match the signature you provided. Check your key and signing method. (Service\: Amazon S3; Status Code\: 403; Error Code\: SignatureDoesNotMatch; Request ID\: B5D344C0414DD92A) Account\: etown Source StoreID\: 1050 Destination StoreID\: 1051 SpaceID\: board-trustees ContentID\: BOT archives 10.05 to 04.11/APR 06 BOT archives/Committees and Docs APR 06/Academic Affairs APR 06/Attachment B  Occasional Campus Communiqué Dec 05a.pdf    Reviewing the content item, the content-file-path metadata value on S3 was:  E:\Board of Trustee Minutes\BOT archives 10.05 to 04.11\APR 06 BOT archives\Committees and Docs APR 06\Academic Affairs APR 06\Attachment B Occasional Campus Communiqué Dec 05a.pdf    The same metadata value in Glacier (after duplication):  =?UTF-8?Q?E:\Board_of_Trustee_Minutes\BOT_archives_10.0?= =?UTF-8?Q?5_to_04.11\APR_06_BOT_archives\Committees_and?= =?UTF-8?Q?_Docs_APR_06\Academic_Affairs_APR_06\Attachme?= =?UTF-8?Q?nt_B__Occasional_Campus_Communiqu=C3=A9_Dec_05a.pdf?=    The content item itself and other metadata values were duplicated without issue. The issue here appears to be limited to writing a metadata value with UTF-8 characters.",Bug,Minor,Closed,"2018-02-19 14:17:54","2018-02-19 14:17:54",1
"Lyrasis Dura Cloud","On restart, jobs are not resumed or started in order of the snapshot date.","The problem we are seeing is that on a restart,  snapshots are not restarted in the order that they were initially submitted.      To fix, ensure that snapshots are restarted in order of snapshot date ascending.",Bug,Major,Closed,"2018-01-26 18:02:54","2018-01-26 18:02:54",1
"Lyrasis Dura Cloud","The management console assumes duracloud.org as domain","In the management console UI some tables of accounts hardcoded the .duracloud.org domain",Bug,Minor,Closed,"2017-12-30 20:58:17","2017-12-30 20:58:17",2
"Lyrasis Dura Cloud","Synctool fails to upload chunk manifest when it contains certain UTF8 characters","  Client side errors we are seeing: Caused by: org.duracloud.error.ContentStoreException: Error attempting  to add content 'overflow/RL10171_memoryproject/2017-0100/补充视频（118人）/HU  Tao 胡涛/RL10171mpg0498_ZHANG Dayi 张大意.mpg.dura-manifest' in  'rl-archive' due to: Response code was 409, expected value was 201.  Response body value: Error attempting to add content  'overflow/RL10171_memoryproject/2017-0100/补充视频（118人）/HU Tao  胡涛/RL10171mpg0498_ZHANG Dayi 张大意.mpg.dura-manifest' in 'rl-archive'  due to: Checksum mismatch detected attempting to add content  overflow/RL10171_memoryproject/2017-0100/补充视频（118人）/HU Tao  胡涛/RL10171mpg0498_ZHANG Dayi 张大意.mpg.dura-manifest to S3 bucket  akiaib3fqeybieeestya.rl-archive. Content was not added.          at org.duracloud.client.ContentStoreImpl.doAddContent(ContentStoreImpl.java:663)  ~[duracloudsync-4.3.8.jar:na]          at org.duracloud.client.ContentStoreImpl.addContent(ContentStoreImpl.java:588)  ~[duracloudsync-4.3.8.jar:na]          at org.duracloud.chunk.writer.DuracloudContentWriter.addContent(DuracloudContentWriter.java:439)  ~[duracloudsync-4.3.8.jar:na]    Serverside Error:     ERROR  2017/09/20 14:12:16 [http-nio-8080-exec-12] (S3StorageProvider.java:543) [addContent()] - exception putting object overflow/RL10171_memoryproject/2017-0100/补充视频（118人）/HU Tao 胡涛/RL10171mpg0498_ZHANG Dayi 张大意.mpg.dura-manifest into akiaib3fqeybieeestya.rl-archive: errorCode=BadDigest,  statusCode=400, errorMessage=The Content-MD5 you specified did not match what we received. (Service: Amazon S3; Status Code: 400; Error Code: BadDigest; Request ID: E0D89BF1B288C2DD)  com.amazonaws.services.s3.model.AmazonS3Exception: The Content-MD5 you specified did not match what we received. (Service: Amazon S3; Status Code: 400; Error Code: BadDigest; Request ID: E0D89BF1B288C2DD)   at com.amazonaws.http.AmazonHttpClient$RequestExecutor.handleErrorResponse(AmazonHttpClient.java:1588) ~[aws-java-sdk-core-1.11.155.jar:na]   at com.amazonaws.http.AmazonHttpClient$RequestExecutor.executeOneRequest(AmazonHttpClient.java:1258) ~[aws-java-sdk-core-1.11.155.jar:na]   at com.amazonaws.http.AmazonHttpClient$RequestExecutor.executeHelper(AmazonHttpClient.java:1030) ~[aws-java-sdk-core-1.11.155.jar:na]   at com.amazonaws.http.AmazonHttpClient$RequestExecutor.doExecute(AmazonHttpClient.java:742) ~[aws-java-sdk-core-1.11.155.jar:na]   at com.amazonaws.http.AmazonHttpClient$RequestExecutor.executeWithTimer(AmazonHttpClient.java:716) ~[aws-java-sdk-core-1.11.155.jar:na]   at com.amazonaws.http.AmazonHttpClient$RequestExecutor.execute(AmazonHttpClient.java:699) ~[aws-java-sdk-core-1.11.155.jar:na]   at com.amazonaws.http.AmazonHttpClient$RequestExecutor.access$500(AmazonHttpClient.java:667) ~[aws-java-sdk-core-1.11.155.jar:na]   at com.amazonaws.http.AmazonHttpClient$RequestExecutionBuilderImpl.execute(AmazonHttpClient.java:649) ~[aws-java-sdk-core-1.11.155.jar:na]   at com.amazonaws.http.AmazonHttpClient.execute(AmazonHttpClient.java:513) ~[aws-java-sdk-core-1.11.155.jar:na]   at com.amazonaws.services.s3.AmazonS3Client.invoke(AmazonS3Client.java:4221) ~[aws-java-sdk-s3-1.11.155.jar:na]   at com.amazonaws.services.s3.AmazonS3Client.invoke(AmazonS3Client.java:4168) ~[aws-java-sdk-s3-1.11.155.jar:na]   at com.amazonaws.services.s3.AmazonS3Client.putObject(AmazonS3Client.java:1718) ~[aws-java-sdk-s3-1.11.155.jar:na]   at org.duracloud.s3storage.S3StorageProvider.addContent(S3StorageProvider.java:527) ~[s3storageprovider-4.3.8.jar:na]   at org.duracloud.audit.provider.AuditStorageProvider.addContent(AuditStorageProvider.java:258) [auditor-4.3.8.jar:na]   at org.duracloud.durastore.util.ACLStorageProvider.addContent(ACLStorageProvider.java:331) [classes/:na]   at org.duracloud.storage.provider.StatelessStorageProviderImpl.addContent(StatelessStorageProviderImpl.java:39) [storageprovider-4.3.8.jar:na]   at sun.reflect.GeneratedMethodAccessor137.invoke(Unknown Source) ~[na:na]   at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[na:1.8.0_121]   at java.lang.reflect.Method.invoke(Method.java:498) ~[na:1.8.0_121]   at org.springframework.aop.support.AopUtils.invokeJoinpointUsingReflection(AopUtils.java:302) [spring-aop-4.2.5.RELEASE.jar:4.2.5.RELEASE]   at org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ReflectiveMethodInvocation.java:190) [spring-aop-4.2.5.RELEASE.jar:4.2.5.RELEASE]   at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:157) [spring-aop-4.2.5.RELEASE.jar:4.2.5.RELEASE]   at org.duracloud.common.aop.RetryAdvice.invoke(RetryAdvice.java:32) [common-aop-4.3.8.jar:na]   at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:179) [spring-aop-4.2.5.RELEASE.jar:4.2.5.RELEASE]   at org.springframework.aop.framework.JdkDynamicAopProxy.invoke(JdkDynamicAopProxy.java:208) [spring-aop-4.2.5.RELEASE.jar:4.2.5.RELEASE]   at com.sun.proxy.$Proxy94.addContent(Unknown Source) [na:na]   at org.duracloud.storage.provider.BrokeredStorageProvider.addContent(BrokeredStorageProvider.java:57) [storageprovider-4.3.8.jar:na]   at org.duracloud.durastore.rest.ContentResourceImpl.addContent(ContentResourceImpl.java:191) [classes/:na]   at org.duracloud.durastore.rest.ContentRest.doAddContent(ContentRest.java:442) [classes/:na]   at org.duracloud.durastore.rest.ContentRest.addContent(ContentRest.java:407) [classes/:na]   at org.duracloud.durastore.rest.ContentRest.putContent(ContentRest.java:386) [classes/:na]   at sun.reflect.GeneratedMethodAccessor132.invoke(Unknown Source) ~[na:na]   at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[na:1.8.0_121]   at java.lang.reflect.Method.invoke(Method.java:498) ~[na:1.8.0_121]   at org.glassfish.jersey.server.model.internal.ResourceMethodInvocationHandlerFactory$1.invoke(ResourceMethodInvocationHandlerFactory.java:81) [jersey-server-2.5.1.jar:na]   at org.glassfish.jersey.server.model.internal.AbstractJavaResourceMethodDispatcher$1.run(AbstractJavaResourceMethodDispatcher.java:151) [jersey-server-2.5.1.jar:na]   at org.glassfish.jersey.server.model.internal.AbstractJavaResourceMethodDispatcher.invoke(AbstractJavaResourceMethodDispatcher.java:171) [jersey-server-2.5.1.jar:na]   at org.glassfish.jersey.server.model.internal.JavaResourceMethodDispatcherProvider$ResponseOutInvoker.doDispatch(JavaResourceMethodDispatcherProvider.java:152) [jersey-server-2.5.1.jar:na]   at org.glassfish.jersey.server.model.internal.AbstractJavaResourceMethodDispatcher.dispatch(AbstractJavaResourceMethodDispatcher.java:104) [jersey-server-2.5.1.jar:na]   at org.glassfish.jersey.server.model.ResourceMethodInvoker.invoke(ResourceMethodInvoker.java:402) [jersey-server-2.5.1.jar:na]   at org.glassfish.jersey.server.model.ResourceMethodInvoker.apply(ResourceMethodInvoker.java:349) [jersey-server-2.5.1.jar:na]   at org.glassfish.jersey.server.model.ResourceMethodInvoker.apply(ResourceMethodInvoker.java:106) [jersey-server-2.5.1.jar:na]   at org.glassfish.jersey.server.ServerRuntime$1.run(ServerRuntime.java:259) [jersey-server-2.5.1.jar:na]   at org.glassfish.jersey.internal.Errors$1.call(Errors.java:271) [jersey-common-2.5.1.jar:na]   at org.glassfish.jersey.internal.Errors$1.call(Errors.java:267) [jersey-common-2.5.1.jar:na]   at org.glassfish.jersey.internal.Errors.process(Errors.java:315) [jersey-common-2.5.1.jar:na]   at org.glassfish.jersey.internal.Errors.process(Errors.java:297) [jersey-common-2.5.1.jar:na]   at org.glassfish.jersey.internal.Errors.process(Errors.java:267) [jersey-common-2.5.1.jar:na]   at org.glassfish.jersey.process.internal.RequestScope.runInScope(RequestScope.java:318) [jersey-common-2.5.1.jar:na]   at org.glassfish.jersey.server.ServerRuntime.process(ServerRuntime.java:236) [jersey-server-2.5.1.jar:na]   at org.glassfish.jersey.server.ApplicationHandler.handle(ApplicationHandler.java:1010) [jersey-server-2.5.1.jar:na]   at org.glassfish.jersey.servlet.WebComponent.service(WebComponent.java:373) [jersey-container-servlet-core-2.5.1.jar:na]   at org.glassfish.jersey.servlet.ServletContainer.service(ServletContainer.java:382) [jersey-container-servlet-core-2.5.1.jar:na]   at org.glassfish.jersey.servlet.ServletContainer.service(ServletContainer.java:345) [jersey-container-servlet-core-2.5.1.jar:na]   at org.glassfish.jersey.servlet.ServletContainer.service(ServletContainer.java:220) [jersey-container-servlet-core-2.5.1.jar:na]   at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:292) [catalina.jar:8.0.41]   at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:207) [catalina.jar:8.0.41]   at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:52) [tomcat-websocket.jar:8.0.41]   at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:240) [catalina.jar:8.0.41]   at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:207) [catalina.jar:8.0.41]   at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:316) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.access.intercept.FilterSecurityInterceptor.invoke(FilterSecurityInterceptor.java:126) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.access.intercept.FilterSecurityInterceptor.doFilter(FilterSecurityInterceptor.java:90) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:330) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.access.ExceptionTranslationFilter.doFilter(ExceptionTranslationFilter.java:114) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:330) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.session.SessionManagementFilter.doFilter(SessionManagementFilter.java:122) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:330) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.authentication.AnonymousAuthenticationFilter.doFilter(AnonymousAuthenticationFilter.java:111) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:330) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter.doFilter(SecurityContextHolderAwareRequestFilter.java:169) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:330) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.savedrequest.RequestCacheAwareFilter.doFilter(RequestCacheAwareFilter.java:48) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:330) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.authentication.www.BasicAuthenticationFilter.doFilterInternal(BasicAuthenticationFilter.java:213) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107) [spring-web-4.2.5.RELEASE.jar:4.2.5.RELEASE]   at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:330) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.authentication.logout.LogoutFilter.doFilter(LogoutFilter.java:120) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:330) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.header.HeaderWriterFilter.doFilterInternal(HeaderWriterFilter.java:64) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107) [spring-web-4.2.5.RELEASE.jar:4.2.5.RELEASE]   at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:330) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter.doFilterInternal(WebAsyncManagerIntegrationFilter.java:53) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107) [spring-web-4.2.5.RELEASE.jar:4.2.5.RELEASE]   at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:330) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.context.SecurityContextPersistenceFilter.doFilter(SecurityContextPersistenceFilter.java:91) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:330) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.FilterChainProxy.doFilterInternal(FilterChainProxy.java:213) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.security.web.FilterChainProxy.doFilter(FilterChainProxy.java:176) [spring-security-web-4.0.4.RELEASE.jar:4.0.4.RELEASE]   at org.springframework.web.filter.DelegatingFilterProxy.invokeDelegate(DelegatingFilterProxy.java:346) [spring-web-4.2.5.RELEASE.jar:4.2.5.RELEASE]   at org.springframework.web.filter.DelegatingFilterProxy.doFilter(DelegatingFilterProxy.java:262) [spring-web-4.2.5.RELEASE.jar:4.2.5.RELEASE]   at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:240) [catalina.jar:8.0.41]   at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:207) [catalina.jar:8.0.41]   at org.duracloud.common.rest.DuraCloudRequestContextFilter.doFilter(DuraCloudRequestContextFilter.java:67) [common-rest-4.3.8.jar:na]   at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:240) [catalina.jar:8.0.41]   at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:207) [catalina.jar:8.0.41]   at org.springframework.web.filter.RequestContextFilter.doFilterInternal(RequestContextFilter.java:99) [spring-web-4.2.5.RELEASE.jar:4.2.5.RELEASE]   at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107) [spring-web-4.2.5.RELEASE.jar:4.2.5.RELEASE]   at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:240) [catalina.jar:8.0.41]   at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:207) [catalina.jar:8.0.41]   at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:212) [catalina.jar:8.0.41]   at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:94) [catalina.jar:8.0.41]   at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:504) [catalina.jar:8.0.41]   at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:141) [catalina.jar:8.0.41]   at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:79) [catalina.jar:8.0.41]   at org.apache.catalina.valves.RemoteIpValve.invoke(RemoteIpValve.java:676) [catalina.jar:8.0.41]   at org.apache.catalina.valves.AbstractAccessLogValve.invoke(AbstractAccessLogValve.java:620) [catalina.jar:8.0.41]   at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:88) [catalina.jar:8.0.41]   at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:509) [catalina.jar:8.0.41]   at org.apache.coyote.http11.AbstractHttp11Processor.process(AbstractHttp11Processor.java:1104) [tomcat-coyote.jar:8.0.41]   at org.apache.coyote.AbstractProtocol$AbstractConnectionHandler.process(AbstractProtocol.java:684) [tomcat-coyote.jar:8.0.41]   at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1524) [tomcat-coyote.jar:8.0.41]   at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.run(NioEndpoint.java:1480) [tomcat-coyote.jar:8.0.41]   at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142) [na:1.8.0_121]   at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617) [na:1.8.0_121]   at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61) [tomcat-util.jar:8.0.41]   at java.lang.Thread.run(Thread.java:745) [na:1.8.0_121]  -",Bug,Major,Closed,"2017-09-21 00:29:49","2017-09-21 00:29:49",2
"Lyrasis Dura Cloud","DuraCloud Beanstalk instances are not able to see beanstalk environment variables","Beanstalk instances are failing to startup. The failure is resulting in beanstalk remaining partially operational, but failed nodes are not issuing warnings.  Thus this problem has gone undetected for a while.    From the /var/log/eb-activity.log on a failed instance  [2017-09-15T11:47:39.822Z] INFO  [23898] - [Application deployment duracloud 4.3.7@63/StartupStage0/EbExtensionPreBuild/Infra-EmbeddedPreBuild/prebuild_0_production_duracloud/Command 01-get_file] : Activity execution failed, because: fatal error: Parameter validation failed:    Invalid bucket name “”: Bucket name must match the regex “^[a-zA-Z0-9.\-_]{1,255}$”     (ElasticBeanstalk::ExternalInvocationError)  ”",Bug,Critical,Closed,"2017-09-19 00:16:13","2017-09-19 00:16:13",3
"Lyrasis Dura Cloud","Prevent StorageStatTaskProcessor from outside of 8pm GMT and 11pm GMT","This change is necessary to prevent calls to cloudwatch outside of the window when it will return valid results.",Bug,Major,Closed,"2017-08-31 22:04:15","2017-08-31 22:04:15",1
"Lyrasis Dura Cloud","bit integrity reports links from the health check are returning 0 bytes","Downloading bit integrity reports from the health check links are returning an empty file.",Story,Major,Closed,"2017-08-10 19:48:36","2017-08-10 19:48:36",2
"Lyrasis Dura Cloud","Adds cronjob to puppet-duracloud-mill to remove stale temp files.","As a precautionary measure to prevent unexpected EFS disk use,  puppet-duracloud-mill should add a cron job to the sentinel that will delete any content-item.tmp file over three hours old.",Story,Major,Closed,"2017-08-01 18:59:05","2017-08-01 18:59:05",2
"Lyrasis Dura Cloud","Reintroduce exclusions into DirWalk for the sake of efficiency","Currently (as of 4.3.6) the DirWalker does not exclude directories directly.  Rather it looks at files only and then traverses the ancestors of the file in search of matching directories to exclude.  Thus the DirWalker will unnecessarily slow to a crawl when traversing an excluded directory with large numbers of files.  With the recent commit to resolve duracloud-1129 the exclusion check was moved from DirWalker to ChangedList.  However,  without exclusion checks in the DirWalker,  all files within an excluded directory will still be traversed thus slowing the DirWalker.  It should be noted that on reintroduction,  it is necessary to add logic that was previously missing (ie in 4.3.6) to ensure that directories are filtered directly.",Bug,Major,Closed,"2017-08-01 00:07:39","2017-08-01 00:07:39",2
"Lyrasis Dura Cloud","Synctool does not perform retries as expected.","While examining the SyncWorker code,  I noticed a defect in the retry logic that would result files not being retried properly.  ",Bug,Critical,Closed,"2017-07-28 23:27:43","2017-07-28 23:27:43",2
