Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Spring DataCass","Initial test-cleanup","Tests in Spring Data Cassandra are hard to debug within the IDE, and the test setup fails in certain IDEs. Initialization code for Embedded Cassandra is spread across multiple tests. Test settings are set in multiple resources, the majority of tests does not clean up after the test. This makes it impossible to run tests on an external Cassandra instance.  Todo: * Consolidate initializer code in a {{CassandraRule}} * Help the tests to become better citizens again by adding cleanup code and allowing conditional create/drop of keyspaces, tables, etc. * Consolidate port properties * Create profiles for embedded (managed by the tests) and external (managed outside the tests) Cassandra instances",Task,Minor,Closed,"2016-02-17 09:08:51","2016-02-17 09:08:51",0
"Spring DataCass","Release 1.3.4 (Gosling SR4)",,Task,Minor,Closed,"2016-02-11 15:51:28","2016-02-11 15:51:28",3
"Spring DataCass","CachedPreparedStatementCreator class is not threadsafe","see this stackoverlow posting http://stackoverflow.com/questions/34979916/spring-cassandra-is-cachedpreparedstatementcreator-class-threadsafe  There is a race condition in the code.  ",Bug,Major,Closed,"2016-02-08 17:37:45","2016-02-08 17:37:45",8
"Spring DataCass","Add code of conduct",,"New Feature",Minor,Closed,"2016-02-02 09:21:33","2016-02-02 09:21:33",0
"Spring DataCass","Release 1.4 M1 (Hopper)",,"New Feature",Minor,Closed,"2016-01-27 15:20:14","2016-01-27 15:20:14",1
"Spring DataCass","Support lightweight transactions (if [not] exists)","It would be nice to support lightweight transactions. At least in CassandraOperations, so that they can be used by custom repository methods.  Something like this:   Or this (note the exceptions):   Or perhaps simply adding it to WriteOptions:   With some Enum like this:   Or as two separate options (but then have to ensure only one is specified).  With insert/update automatically chosen based on which option is specified, if any. And exceptions thrown in case of WriteOptions.","New Feature",Minor,Closed,"2016-01-20 16:36:00","2016-01-20 16:36:00",5
"Spring DataCass","CDI support can fail due to Set.toString() used as Map key","Current CDI support sometimes fails, because it stores CassandraOperation instances in a map with String key representing a set of Qualifiers:    However, Set doesn't define iteration order (or even String representation for that matter), so with 2+ Qualifiers there's a good chance to get them in the wrong order and fail to find operations:    Example:  {{\[@javax.enterprise.inject.Default(), @javax.enterprise.inject.Any()]}} != {{\[@javax.enterprise.inject.Any(), @javax.enterprise.inject.Default()]}}",Bug,Minor,Closed,"2016-01-19 16:50:04","2016-01-19 16:50:04",2
"Spring DataCass","@PrimaryKeyColumn does not work when applied to methods","This code works:  {code:java} public class Entity {          @PrimaryKeyColumn(ordinal = 0, type = PrimaryKeyType.PARTITIONED)     private String col1;     public String getCol1() { return col1; }          @PrimaryKeyColumn(ordinal = 1)     private String col2;     public String getCol2() { return col2; }      } {code}  This code doesn't:  {code:java} public class Entity {          private String col1;     @PrimaryKeyColumn(ordinal = 0, type = PrimaryKeyType.PARTITIONED)     public String getCol1() { return col1; }          private String col2;     @PrimaryKeyColumn(ordinal = 1)     public String getCol2() { return col2; }      } {code}  Exception is:    This becomes a particular problem when the Entity is in a class hierarchy, as methods can be overridden but fields cannot. ",Bug,Minor,Closed,"2016-01-07 12:08:14","2016-01-07 12:08:14",0
"Spring DataCass","Optional return type for Repositories returns Optional of resultset instead of Optional of Objectype","In JAVA 8 when the return type of a repository call Optional<T>, the actual return type is Optional<ResultSet>  Upon invoking Optional::get, I get a: java.lang.ClassCastException: com.datastax.driver.core.ArrayBackedResultSet$SinglePage cannot be cast to classType  Class: AbstractCassandraQuery",Bug,Major,Closed,"2016-01-05 11:28:42","2016-01-05 11:28:42",5
"Spring DataCass","Release 1.3.2 (Gosling)",,Improvement,Minor,Closed,"2015-12-17 07:15:58","2015-12-17 07:15:58",1
"Spring DataCass","Adapt to API changes in Spring Data Commons",,"New Feature",Major,Closed,"2015-12-14 19:34:19","2015-12-14 19:34:19",3
"Spring DataCass","Allow Lazy loading for EnableCassandraRepositories just like ComponentScan","Hi,  I am having an issue where I cannot run my Integration tests because my app fails to load. My apps fails to load via mvn tomcat7:run because EnableCassandraRepositories is trying to connect to Cassandra when the app is loading up. For my Integration Tests I start Cassandra via cassandra-unit, so no Cassandra instance exists until Integration Tests start. It would be awesome if the connections were made/seeked lazily, so that my app starts up and my tests would provide the Cassandra connection via Cassandra unit. Does the description above make sense?  Below is the stack trace. I appreciate the product. In fact I love it. Lazy loading of repos via EnableCassandraRepositories would help me a lot!     ","New Feature",Minor,Closed,"2015-12-11 03:53:01","2015-12-11 03:53:01",5
"Spring DataCass","Avoid git checkout problems by shorten too long test classnames.","One cannot checkout and build SD Cassandra on windows ( :-( ) due to long test case names like: ForceQuotedCompositePrimaryKeyRepositoryXmlConfigIntegrationTests.    One could workaround by using {{subst s: d:\path\to\repository}} to shorten the path a bit but this shouldn't be needed with a bit more pragmatic naming.",Improvement,Minor,Closed,"2015-12-07 17:46:24","2015-12-07 17:46:24",2
"Spring DataCass","Shutdown Script issue with XML Configuration","There is a typo bug at line 173 in the class CassandraCqlClusterParser :     builder.addPropertyValue(shutdownScripts, startupScripts);  It should be     builder.addPropertyValue(shutdownScripts, shutdownScripts);",Bug,Major,Closed,"2015-12-07 11:26:12","2015-12-07 11:26:12",1
"Spring DataCass","The SchemaAction.RECREATE doesn't drop tables","Let's start from the code!  The {{mappingContext.usesTable(table)}} returns {{false}} because of:  but {{table.getName()}} returns {{String}}. So, we can't reach the equality on the {{key}} because of different hash codes for {{String}} and {{CqlIdentifier}}.  ",Bug,Minor,Closed,"2015-12-03 21:34:02","2015-12-03 21:34:02",10
"Spring DataCass","@Query annotation | String type parameters are mishandled | Implementation does not work for IN where clause","Below is the code present in my repository interface.   The above piece of code does not work because of the mishandling of string parameters in StringBasedCassandraQuery class of the library. Below is the code snippet present in replacePlaceholders method of StringBasedCassandraQuery.java.    The escapeSingle does this :   It just puts surrounding single quotes and escapes any single quote (by replacing it with single quotes two times) present in any of the string parameters provided. But this does not help in the queries with IN clause in WHERE condition of the query.  There is absolutely no way we can provide our input to such query.  e.g. * foo,bar becomes 'foo,bar' * 'foo','bar' becomes '''foo'',''bar''' * foo','bar becomes 'foo'',''bar'",Bug,Major,Closed,"2015-11-27 11:55:18","2015-11-27 11:55:18",5
"Spring DataCass","Upgrade to latest Cassandra drivers","Update the project to use: # cassandra-unit 2.1.9.2 # dse-driver 2.1.7.1 # cassandra-all 2.1.11  Exclude conflicting netty libraries from the dse-driver dependency.","New Feature",Minor,Closed,"2015-11-23 21:58:52","2015-11-23 21:58:52",21
"Spring DataCass","Update CassandraCqlClusterFactoryBean to support setting TimestampGenerator","Update {{CassandraCqlClusterFactoryBean}} to include a {{setTimestampGenerator(:TimestampGenerator)}} method and update the {{afterPropertiesSet()}} method to set on the {{Cluster.Builder}}.   Example {{TimestampGenerator}} usage:  ",Improvement,Minor,Closed,"2015-11-18 18:30:04","2015-11-18 18:30:04",1
"Spring DataCass","Release 1.3.1 (Gosling)",,Improvement,Minor,Closed,"2015-11-13 18:34:33","2015-11-13 18:34:33",1
"Spring DataCass","Upgrade Datastax Driver","# Upgrade Datastax Driver to latest stable 2.1.9. # Clean up POMs # Verify Tests are passing.","New Feature",Minor,Closed,"2015-11-13 00:39:04","2015-11-13 00:39:04",1
"Spring DataCass","Release 1.1.4 (Evans)",,Improvement,Minor,Closed,"2015-10-14 09:55:51","2015-10-14 08:55:51",1
"Spring DataCass","Documentation about query methods promises a lot that isn't there","The current Spring Data Cassandra documentation section about queries seems to be a direct copy from some other Spring Data project.  Specifically it claims that you can define query methods on repositories. But that will specifically throw an exception in the CassandraQueryLookupStrategy.  And it also mentions Java 8 Stream support. But trying to create a find method that produces a Stream will fail with an exception like this:    Seems it would be better with no documentation than something that is really misleading",Bug,Minor,Closed,"2015-09-10 12:37:23","2015-09-10 11:37:23",5
"Spring DataCass","CassandraCqlClusterFactoryBean won't allow configuration of username/password unless authProvider also given.","{{CassandraCqlClusterFactoryBean.afterPropertiesSet()}} only utilizes the {{username}} property when the {{authProvider}} property is also set.  Looking at the Javadoc for the methods called {{withAuthProvider()}} and {{withCredentials()}} on {{Cluster.Builder}} indicates that you should only ever call one or the other, not both.  I suspect that the intended behavior should be something like:    but unfortunately, there are no unit tests for this class.",Bug,Major,Closed,"2015-09-08 21:00:53","2015-09-08 20:00:53",1
"Spring DataCass","Release 1.3 GA (Gosling)",,Improvement,Minor,Closed,"2015-09-01 05:50:26","2015-09-01 04:50:26",1
"Spring DataCass","Update CassandraCqlClusterFactoryBean so the ProtocolVersion can be set","Update CassandraCqlClusterFactoryBean to include a setProtocolVersion method and update the afterPropertiesSet method to set on the builder.",Improvement,Minor,Closed,"2015-08-13 09:46:53","2015-08-13 08:46:53",1
"Spring DataCass","Release 1.3 RC1 (Gosling)",,Improvement,Minor,Closed,"2015-08-04 01:18:29","2015-08-04 00:18:29",1
"Spring DataCass","Release 1.2.2 (Fowler)",,Improvement,Minor,Closed,"2015-07-28 05:49:09","2015-07-28 04:49:09",1
"Spring DataCass","Simple CassandraRepository implementation is not working","POJO:  ---------   Repository : ----------------   spring-context-config.xml: ----------------------------------   *When i runs the  code,which throws an error message saying like :*  Here is the link: --------------------- http://stackoverflow.com/questions/26710114/cannot-resolve-reference-to-bean-cqltemplate-while-setting-bean-property-cass  Here is the stacktrace: ------------------------------   ",Bug,Major,Closed,"2015-07-27 03:45:55","2015-07-27 02:45:55",26710114
"Spring DataCass","Switch from BeanWrapper to PersistentPropertyAccessor",,Improvement,Minor,Closed,"2015-07-22 11:04:03","2015-07-22 10:04:03",3
"Spring DataCass","Enable CassandraCqlClusterFactoryBean to set QueryOptions at cluster level","Since CassandraCqlClusterFactoryBean has not being able to set consistency level at cluster connection, I add the possibility to set QueryOptions on bean creation.  Pull Request: https://github.com/spring-projects/spring-data-cassandra/pull/31",Improvement,Minor,Closed,"2015-07-08 15:03:08","2015-07-08 14:03:08",1
