Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"MongoDB Compass ","Error when trying to do a atlas search query using java driver ","Hi all,  I'm using the following aggregation query generated from the atlas console to do a simple search query using MongoDB atlas               !image-2020-10-19-18-18-32-843.png|width=584,height=439!    However, I'm getting the following error      I assume that there is an issue with the java driver since when I did a quick debug I found that Filters.and is evaluated as $and, the query that is going to the backend is wrong.       !image-2020-10-19-18-25-10-938.png|width=379,height=700!    if my approach is wrong could you please point me to the correct documentation or source in which I can achieve the above requirement?    Thank you,  Dushan   ",Bug,"Major - P3","Debugging With Submitter","2020-10-19 13:58:16","2020-10-19 12:58:16",3
"MongoDB Compass ","Adding a field on the table view shows a blank ui","Currently when a user adds a field in the table view in compass-crud, we show a blank row. When the documents are then refreshed, the entire ui breaks. (Stack trace below)    Gif:  !new field in table docs view breaking.gif!    Stack trace:            ",Bug,"Major - P3",Open,"2020-10-14 11:31:05","2020-10-14 10:31:05",5
"MongoDB Compass ","When a document is being edited in compass-crud and the documents are refreshed, stop showing the document updated ui","Currently when a document is edited, and then the users hits refresh to refresh the documents, the document keeps the `this document has been modified` update ui. Since we reset the documents when they're fetched we should also clear this ui state.    Gif:  !document modified ui bug.gif!",Bug,"Major - P3",Open,"2020-10-14 11:23:55","2020-10-14 10:23:55",3
"MongoDB Compass ","When a new field is added to a document in the documents view we show a confirmation for updating","This is a bug form the recent changes in compass-crud which make updating documents prompt the user for confirmation when updating a document which was changed in the background. We're showing this prompt in the case where a user is just adding a new field to the document, which we shouldn't.    When adding a new field we shouldn't block the update with the prompt about the document changing in the background.    Gif attached",Bug,"Major - P3",Closed,"2020-10-14 11:19:16","2020-10-14 10:19:16",3
"MongoDB Compass ","When a collection is created or dropped from the database page, the user is sometimes redirected to the database list page","This ticket involves stopping the current behavior of redirecting to the list of databases page from the database page when a collection is dropped or added. Once the redirect doesn't happen, ensure the collection list is properly updated when one of these events occur.    Looks like this doesn't happen every time, not sure on the pattern to reproduce the occasions when the user is directed to the wrong page.",Bug,"Major - P3",Open,"2020-10-14 10:33:12","2020-10-14 09:33:12",3
"MongoDB Compass ","Export Collection Does Not Include All or Added Fields","# When exporting full collection, it appears all fields are not shown for export if all records do not have values for a field (criteria for this not verified).   # This behavior remains true even if the filter restricts search to include only fields with values.   # The Add Field button adds new fields to the top of the list, instead of end of the list.   # Exported CSVs do not include the added fields.   # Exported JSON does not include the added fields.          ",Bug,"Major - P3","Ready for Work","2020-10-09 16:22:45","2020-10-09 15:22:45",3
"MongoDB Compass ","$out and $sql not shown when connected to a data lake","I have an issue, when using $out in Compass while being connected to Atlas DataLake:    Created an aggregation pipeline to store certain documents into a configured S3 Bucket, but Compass doesn't show the $out stage. The pipeline still works using Compass and the Mongo shell.    !image-2020-10-08-15-08-35-831.png!    More details can be found in #datal-lake-help:     [https://mongodb.slack.com/archives/CKNS6CS72/p1601988117061600]    Please let me know, if you need additional input.                ",Bug,"Critical - P2","Ready for Work","2020-10-08 14:10:45","2020-10-08 13:10:45",3
"MongoDB Compass ","Embedded mongosh should ignore undefined results","In the standalone {{mongosh}} and {{mongo}} shell, an undefined result is ignored:  {quote}> var foo = '123'  {quote}  Current behaviour in Compass 1.22.1 is to display undefined:  {quote}> var foo = '123'   < undefined  {quote}  This outcome is confusing for operations that evaluate to {{undefined}} rather than providing a meaningful result (for example, variable declaration). It appears as though the operation may have failed (or be unsupported) when the result code is actually irrelevant.",Bug,"Major - P3",Open,"2020-10-07 12:44:52","2020-10-07 11:44:52",2
"MongoDB Compass ","Date objects should stringify to an ISO date value consistent with mongosh","In Compass 1.22.1, Date and ISODate objects evaluate to {} in the embedded shell:    The expected result would be an ISO date similar to the {{toJSON()}} output. Example from standalone {{mongosh}}:  ",Bug,"Major - P3","Ready for Work","2020-10-07 12:44:45","2020-10-07 11:44:45",3
"MongoDB Compass ","Aggregations with sort operations aren't respected when saved as a view","Take this sample pipeline:         I'm finding that on this particular version of Compass it seems that when this pipeline is saved as a view. The sorting that should be applied simply isn't. No errors, no reason why... as a workaround, I have to add manually add \{date: -1} to the sort field when viewing the view's documents.    I've noticed that this is also happening when connecting to our production servers as well.     ",Bug,"Minor - P4",Open,"2020-10-06 11:51:52","2020-10-06 10:51:52",5
"MongoDB Compass ","When switching tab, state of expanded document fields is not preserved","See video attached.    *How to reproduce:*  * Open a collection that has documents with fields that are objects.  * Expand one of those fields in one document.  * Open a new tab.  * Switch back to the previous tab.    *Expected:*  * the field that I had expanded is still expanded    *Actual:*  * the field that I had expanded is collapsed    This is true both for the default document list view as well as for the JSON view.",Bug,"Major - P3",Open,"2020-10-06 10:56:46","2020-10-06 09:56:46",3
"MongoDB Compass ","Performance page graphs cursor bug","On the performance page, the graphs have a cursor position, now after the user hover their cursor in the graphs the cursor starts to jump around. This ticket involves fixing these so the cursor stays stationary when the mouse isn't moving around. !cursor position jumping.gif!",Bug,"Major - P3",Open,"2020-10-01 13:12:27","2020-10-01 12:12:27",3
"MongoDB Compass ","Compass for Mac extremely slow on Analyze schema","When performing scrolling on analyze schema page in Compass for Mac, it hangs for several seconds on each scroll before it continues. The more you use it, the slower it gets up to a degree where no action with Compass is possible without quitting the app.         Colleague who uses Windows machine reports similar issue.",Bug,"Major - P3",Closed,"2020-10-01 10:38:21","2020-10-01 09:38:21",3
"MongoDB Compass ","User name not correctly stored for SCRAM based authentication","          To reproduce:         1. Run up a mongo server like so:  docker run --rm -p 27017:27017 -e MONGO_INITDB_ROOT_USERNAME=mongoroot -e MONGO_INITDB_ROOT_PASSWORD=password mongo:4.2.6    2. In compass:    New connection -> Fill in fields manually -> Authentication: SCRAM-SHA-256 -> Username: mongoroot, Password: password -> Connect    Compass should connect ok.      3. Favourite-> Enter a name -> Save     4. Connect -> disconnect     5. [The new favourite should still be selected] Paste connection string -> Connect        At this point you should see Authentication Failed Error.     In the server logs I also see:        {quote}2020-09-30T16:35:28.147+0000 I ACCESS [conn104] SASL SCRAM-SHA-256 authentication failed for undefined on admin from client 172.17.0.1:35858 ; UserNotFound: Could not find user undefined for db admin{quote}   ",Bug,"Major - P3",Open,"2020-09-30 17:37:25","2020-09-30 16:37:25",3
"MongoDB Compass ","Compass installation fails on Ubuntu 20.04","  Similar to: [https://github.com/balena-io/etcher/issues/2191]",Bug,"Major - P3","In Progress","2020-09-29 10:39:00","2020-09-29 09:39:00",8
"MongoDB Compass ","Cannot delete field containing null ","* Edit a document   * Create a field   * Observe that you can delete that field (an (X) appears in front of the field)   * Change field type to null   * Observe that suddenly you cannot delete that field anymore (no (X) appears)   * This also happens with existing fields",Bug,"Major - P3",Closed,"2020-09-27 10:55:13","2020-09-27 09:55:13",1
"MongoDB Compass ","Multiline String is broken","When trying to edit multilines string in Mongo Compass, it's removing the \n's.    The only possible way to work with multilines and Compass will be by the Object documents view.         It's something which should not long time to fix, and will definitely be going to pay it off.         Thanks.",Bug,"Major - P3","Ready for Work","2020-09-24 01:22:48","2020-09-24 00:22:48",3
"MongoDB Compass ","Changing a favorite connection from SCRAM to X.509 breaks the connection",".When a favorite connection is changed from SCRAM to (Atlas) X.509, something gets messed up in the connection configuration and Compass can't connect anymore.    The workaround is to recreate the connection from scratch.    The error Compass displays is {{Invalid source `admin,$external` for mechanism `MONGODB-X509` specified.}}.",Bug,"Minor - P4","Needs Triage","2020-09-18 13:59:29","2020-09-18 12:59:29",3
"MongoDB Compass ","Compass has no good way to import array fields from CSV","When compass exports array fields in a document, it provides them as JSON string output, but there is no way to specify that the field should be interpreted as an array rather than a string when importing back. Adding an “array” type when importing might address this.    Note that mongoimport/mongoexport have the same problem here.         (Reported by <USER>in #compass on Slack.)",Task,"Major - P3",Open,"2020-09-16 12:36:01","2020-09-16 11:36:01",3
"MongoDB Compass ","Updating Views via Aggregation Pipeline not working","*Environment:*   Compass Version: Version 1.21.2   Operating system: Mac OS X 10.15.2    *Steps to reproduce:*   * Using Compass, create an an aggregation pipeline   * Click SAVE   * In the dropdown, select create a view.   * From the navigation tree, click option (the 3 dots) to Modify Source   * Modify it, and click Update View   * Open again the View from the tree   * Latest changes were not saved   * *Expected:*   * Latest changes for the View saved    *Actual:*   * No update on the View.",Bug,"Major - P3",Open,"2020-09-14 12:26:20","2020-09-14 11:26:20",3
"MongoDB Compass ","Active state on the instance name was not working (the previous collection or DB stayed highlighted)","*Environment:*   Compass Version: Version 1.21.2   Operating system: Mac OS X 10.15.2    *Steps to reproduce:*   * Using Compass, select a DB or a collection   * Click on cluster name    *Expected:*   * Clear the selected and highlighted DB or collection in the tree view.               *Actual:*   * DB and Collection in tree view still selected          ",Bug,"Minor - P4",Open,"2020-09-14 12:09:39","2020-09-14 11:09:39",1
"MongoDB Compass ","Collation error dialog box has white x for Close Window that does not close","Version is 1.22.1, but Affect Version/s field does not have 1.22.1 as an option.    To repro:    Attempt to create a new but incorrect collation collection with Use Custom Collation checkbox.    Choose wrong collation values.    Red dialog box appears.    Click on white x but has no effect. Expected red dialog box to close.",Bug,"Minor - P4","Ready for Work","2020-09-11 19:05:15","2020-09-11 18:05:15",1
"MongoDB Compass ","Compass Readonly version allows drop collection","Compass Readonly allows the dropping of a database.   From the left-hand list of collections in a Database, click the ..., click Drop Collection. The text is correctly grayed out. However, the normal dialog box for Drop Collection opens, and dropping an existing collection was successful.    The latest Compass Readonly version where data modification is not allowed seems to be 1.18.0",Bug,"Major - P3",Closed,"2020-09-04 21:26:12","2020-09-04 20:26:12",1
"MongoDB Compass ","Shift enter in compass shell should auto scroll (ux improvement)","Shift enter makes it scroll a bit but not up to date with the cursor. Could be a bit nicer of an experience.",Task,"Major - P3",Open,"2020-09-02 18:21:35","2020-09-02 17:21:35",3
"MongoDB Compass ","Wrong/Default port displayed on title bar when Compass connects to MongoDB via SRV record","This surfaces when connecting to Atlas over Private Endpoint Connection string with ports that are different than the default.    To avoid the confusion, we will probably hide the port when it's an SRV connection.",Bug,"Minor - P4",Open,"2020-09-02 15:27:11","2020-09-02 14:27:11",3
"MongoDB Compass ","Allow to set socketTimeoutMS in the connection form","There is no way to specify `socketTimeoutMS` as a field in the connection screen, this is necessary to use `socketTimeoutMS` when connecting with ssl certificates.    Context:    `socketTimeoutMS` is the maximum amount of time for a connection in the connection pool to be inactive. After that the socket is closed and a new connection is established.    `socketTimeoutMS` can only be specified as a connection option (in compass as a URI parameter) and affects all the operations. Unfortunately the timeout is triggered even in case of a long query, when the time of first byte is going over the `socketTimeoutMS` threshold.    Since the default `socketTimeoutMS` is 360000 milliseconds, queries / operations taking longer than that to respond expires with an unclear error message: 'connection 33 to xxx.xxx.xxx.xxx:27017 timed out'.        ",Story,"Major - P3",Open,"2020-08-03 13:23:39","2020-08-03 12:23:39",3
"MongoDB Compass ","Add mongosh shell plugin telemetry","Add telemetry for general usage of the compass shell plugin (opening the shell, some of the basic mongosh commands).    We can use the message bus param in mongosh and pass in the global app registry to hook into compass here: [https://github.com/mongodb-js/mongosh/blob/master/packages/compass-shell/src/modules/runtime.js#L49]    And then we can add rules for which events we want to pass to our telemetry here:  [https://github.com/mongodb-js/compass-metrics/blob/master/src/modules/rules.js]    * Be sure to bump both and pull into compass when merged.",Task,"Major - P3",Closed,"2020-07-15 13:04:08","2020-07-15 12:04:08",3
"MongoDB Compass ","Remove references of community and license","There is some dead code related to license and community that should be removed from the compass codebase.    References to community and license are in:   - compass-preferences   - compass-preferences-model   - hadron-build   - compass-metrics",Task,"Major - P3","Ready for Work","2020-07-13 13:06:23","2020-07-13 12:06:23",2
"MongoDB Compass ","Compass does a replace instead of an update when documents are edited.","Feedback from [~drew.dipalma] on this:    {quote}  We’re seeing more and more issues with Compass/Data Explorer using a ‘replace’ vs. ‘update’ when changes are made – is this some that’s planned to change in the future?    The core of what’s causing this to come up more is that it’s emerging as a common pattern to test sync with an emulator + Compass/Explorer.  However, as replace is being used when someone makes a change offline on an emulator and then changes in our tools the emulator update is overwritten even if the updates were to separate fields.    We’re still seeing the issue we talked about before around testing Triggers, but this new case is even less intuitive for users.  {quote}    h3. Open questions  - If we do nothing about this, will the VS Code extension have the same behavior when we implement document editing?",Story,"Major - P3",Closed,"2020-07-08 16:08:29","2020-07-08 15:08:29",3
