Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"The Mongo C++ driver","Bump minimum required C driver","Needed for Client-Side Field Level Encryption.    If we are releasing a 3.6.0-beta, raise the minimum to 1.17.0-beta2. The C++ master branch currently relies on API released in the 1.17.0 beta (hedged reads, for one thing).",Improvement,"Major - P3",Closed,"2020-03-31 17:46:40","2020-03-31 16:46:40",0
"The Mongo C++ driver","Implement b_type struct -> bson_value_t conversions","This will allow bson_value::value's to be constructed from bson_value::views (aka making an owning copy from an un-owning bson value).",Improvement,"Major - P3",Closed,"2020-03-30 17:39:58","2020-03-30 16:39:58",1
"The Mongo C++ driver","Add URI option to disable certificate revocation checking","See DRIVERS-975 for details.",Improvement,"Major - P3",Closed,"2020-03-25 18:35:20","2020-03-25 18:35:20",0
"The Mongo C++ driver","Driver support for server Hedged Reads",,"New Feature","Major - P3",Closed,"2020-03-20 20:07:18","2020-03-20 20:07:18",2
"The Mongo C++ driver","Ensure that the WriteConcernError errInfo object is propagated","See DRIVERS-967 for details.",Improvement,"Major - P3",Closed,"2020-03-17 19:43:44","2020-03-17 19:43:44",0
"The Mongo C++ driver","Fix static linking against C driver","The C++ driver links against deprecated C driver targets, which were removed in CDRIVER-3414, breaking the build.  Update the C++ project to link against valid C driver targets.",Task,"Major - P3",Closed,"2020-03-03 13:47:57","2020-03-03 13:47:57",1
"The Mongo C++ driver","Do not repeatedly resume if getMore receives the same error","See DRIVERS-907 for details.",Improvement,"Major - P3",Closed,"2020-03-02 19:54:46","2020-03-02 19:54:46",0
"The Mongo C++ driver","Allow hinting the delete command","See DRIVERS-908 for details.","New Feature","Major - P3",Closed,"2020-03-02 19:52:58","2020-03-02 19:52:58",1
"The Mongo C++ driver","Reduce Client Time To Recovery On Topology Changes",,"New Feature","Major - P3",Closed,"2020-02-12 15:25:49","2020-02-12 15:25:49",0
"The Mongo C++ driver","Unify behavior around configuration for replica set discovery ",,Improvement,"Major - P3",Closed,"2020-02-10 20:55:22","2020-02-10 20:55:22",0
"The Mongo C++ driver","Raise error if hint specified for unacknowledged update using OP_MSG or OP_UPDATE","See DRIVERS-790 for details.",Improvement,"Major - P3",Closed,"2020-01-22 20:26:07","2020-01-22 20:26:07",0
"The Mongo C++ driver","OCSP Support",,Improvement,"Major - P3",Closed,"2020-01-22 15:12:33","2020-01-22 15:12:33",1
"The Mongo C++ driver","Test 3.6 drivers against 4.2 servers","See DRIVERS-788 for details.",Task,"Major - P3",Closed,"2019-12-17 19:39:00","2019-12-17 19:39:00",1
"The Mongo C++ driver","Improve testing around default writeConcern","See DRIVERS-440 for details.",Task,"Major - P3",Closed,"2019-11-04 10:55:41","2019-11-04 10:55:41",1
"The Mongo C++ driver","Collection and index creation in multi-doc txns","See DRIVERS-706 for details.",Task,"Major - P3",Closed,"2019-11-04 10:27:59","2019-11-04 10:27:59",0
"The Mongo C++ driver","Create language specific copy/pasteable FLE tutorials","{html}  <!--This block of HTML and the script in it auto-populate the SPEC ticket description on page load.-->      <div id=script-target-wrapper>          <br>          <b>DRIVERS Ticket Description</b>          <div id=script-target>              Script Target - If you can read this text, the script has failed              <script>                  $.get('https://jira.mongodb.org/browse/DRIVERS-752', function(data) {                      var description = $(data).find(#description-val);                      description.find(#script-target-wrapper).remove();                      $(#script-target).html(description);                  });              </script>          </div>      </div>  {html}      ",Task,"Major - P3",Closed,"2019-10-21 18:52:11","2019-10-21 17:52:11",1
"The Mongo C++ driver","support ability to pass hint to update","See DRIVERS-751 for details.","New Feature","Major - P3",Closed,"2019-10-21 18:49:11","2019-10-21 17:49:11",1
"The Mongo C++ driver","Test Planned Maintenance Scenarios in Drivers","See DRIVERS-560 for details.","New Feature","Major - P3",Open,"2019-02-11 22:53:58","2019-02-11 22:53:58",3
"The Mongo C++ driver","Causally Consistent Reads support ",,"New Feature","Major - P3",Closed,"2017-08-01 21:32:12","2017-08-01 20:32:12",1
"The Mongo C++ driver","All writes retryable support",,"New Feature","Major - P3",Closed,"2017-08-01 21:26:16","2017-08-01 20:26:16",1
"The Mongo C++ driver","Change stream support",,"New Feature","Major - P3",Closed,"2017-07-31 19:22:34","2017-07-31 18:22:34",3
"The Mongo C++ driver","fix view_or_value's description ","Pull request #586 on Github, which fixes a mistake in the documentation referring to a document::view instead of a document::value.",Bug,"Major - P3",Closed,"2017-07-28 17:05:18","2017-07-28 16:05:18",0.5
"The Mongo C++ driver","Provide example and docs for using collection::distinct","The {{distinct}} method returns a cursor, but the cursor only has a single document like this:        This is surprising.  We should provide example code and improve the docs to clarify this situation.",Improvement,"Trivial - P5",Open,"2017-07-24 16:04:11","2017-07-24 15:04:11",1
"The Mongo C++ driver","OP_MSG support",,"New Feature","Major - P3",Closed,"2017-07-20 16:08:25","2017-07-20 15:08:25",0
"The Mongo C++ driver","Implement client sessions in the driver","We need to implement the drivers [session spec|https://docs.google.com/document/d/1DGCdfracpwyN9Wm_-3vkHXD-vI_yga7taqHhM3nVNB4/edit?ts=596d1e89#heading=h.a383qv2dd29d] and tests for the logical sessions that server version 3.6 is introducing.",Epic,"Major - P3",Closed,"2017-07-19 22:21:26","2017-07-19 21:21:26",3
"The Mongo C++ driver","Array Update Improvements",,"New Feature","Major - P3",Closed,"2017-07-10 22:32:35","2017-07-10 21:32:35",1
"The Mongo C++ driver","Bulk write operations don't inherit write concern from the collection","In our implementation of collection::bulk_write, we're currently not using the collection's write concern due to the call to libmongoc::bulk_operation_set_collection getting a new mongoc_collection_t from the client rather than using the existing one with the options set. To remedy this, we should replace the call to libmongoc::bulk_operation_new in the constructor for bulk_write with a call to libmongoc::collection_create_bulk_operation, which properly handles inheriting the write concern from the collection.",Bug,"Major - P3",Closed,"2017-07-07 21:07:54","2017-07-07 20:07:54",1
"The Mongo C++ driver","Implement command monitoring API","We currently have no implementation of the [command monitoring API|https://github.com/mongodb/specifications/blob/master/source/command-monitoring/command-monitoring.rst]. We should implement this, possibly by wrapping the [C driver's implementation|http://mongoc.org/libmongoc/current/application-performance-monitoring.html].    As part of this work, we should implement the [spec tests|https://github.com/mongodb/specifications/blob/master/source/command-monitoring/tests/README.rst] for command monitoring to ensure that our implementation works as expected.","New Feature","Major - P3",Closed,"2017-07-05 21:26:06","2017-07-05 20:26:06",2
"The Mongo C++ driver","Add API for subscribing to SDAM events","The [SDAM spec|https://github.com/mongodb/specifications/blob/master/source/server-discovery-and-monitoring/server-discovery-and-monitoring-monitoring.rst] requires that drivers allow users to subscribe to a queue of events. We should implement an API that wraps the [C driver's|http://mongoc.org/libmongoc/current/application-performance-monitoring.html] to conform to the spec.","New Feature","Major - P3",Closed,"2017-07-05 19:44:31","2017-07-05 18:44:31",2
"The Mongo C++ driver","Implement integration tests for authentication","We currently have no integration tests for authentication, so we should implement some. This includes updating our evergreen configuration to have mongo orchestration spin up servers for the driver to authenticate to.",Task,"Major - P3",Open,"2017-06-29 17:53:13","2017-06-29 16:53:13",4
"The Mongo C++ driver","Investigate issues with load path for macos-1012 variant","To get the example projects to correctly find the dylib on MacOS 10.12, we currently are [manually adding the path to the library to the DYLD_LIBRARY_PATH variable|https://github.com/mongodb/mongo-cxx-driver/blob/bd79b587f787bfc2d6940c726385b2bcc8dcaae7/examples/projects/bsoncxx/pkg-config/shared/build.sh#L23]. We should figure out why this is necessary and see if we can find a way to get it to work without it.",Task,"Major - P3",Open,"2017-06-28 20:41:32","2017-06-28 19:41:32",2
"The Mongo C++ driver","Generate microbenchmark scores","Once we've implemented all of the microbenchmarks, we should generate a final set of scores for the driver and compare them to those of the other drivers.",Task,"Major - P3",Closed,"2017-06-21 20:24:51","2017-06-21 19:24:51",1
"The Mongo C++ driver","Implement Parallel microbenchmarks","After the skeleton code for running a task is written (as part of CXX-1373), we can write the code to implement the parallel microbenchmarks. Part of this work should involve investigating multiple ways to execute the task (e.g. trying out different numbers of threads for parallel execution) to find the fastest way to do each task.",Task,"Major - P3",Closed,"2017-06-21 20:23:36","2017-06-21 19:23:36",4
"The Mongo C++ driver","Implement Multi-Doc","After the skeleton code for running a task is written (as part of CXX-1373), we can write the code to implement the Multi-Doc microbenchmarks.",Task,"Major - P3",Closed,"2017-06-21 20:21:21","2017-06-21 19:21:21",2
"The Mongo C++ driver","Implement Single-Doc microbenchmarks","After the skeleton code for running a task is written (as part of CXX-1373), we can write the code to implement the Single-Doc microbenchmarks.",Task,"Major - P3",Closed,"2017-06-21 20:18:59","2017-06-21 19:18:59",2
"The Mongo C++ driver","Implement BSON microbenchmarks","After the skeleton code for running a task is written (as part of CXX-1373), we can write the code to implement the BSON microbenchmarks.",Task,"Major - P3",Closed,"2017-06-21 20:16:32","2017-06-21 19:16:32",2
"The Mongo C++ driver","Write scoring code for microbenchmarks","As part of the work for implementing the microbenchmark suite, we should design and implement classes for both individual iteration scores (including the wall-clock runtime of the task and the number of MB processed) and individual benchmark scores (including a sorted array of iteration scores, a set of benchmark types corresponding to the given benchmark, and a method for getting the _n_th percentile of the benchmark). Additionally, we'll need to implement functionality for doing composite score calculations.",Task,"Major - P3",Closed,"2017-06-21 20:14:31","2017-06-21 19:14:31",1
"The Mongo C++ driver","Implement skeleton for running microbenchmarks","As part of the work to implement the microbenchmarking suite, we should start by implementing a skeleton for running a single microbenchmark (i.e. setup, before, do, after, and teardown, as described in the document), along with any other necessary helper functions (e.g. parsing a JSON file into a vector of BSON documents).",Task,"Major - P3",Closed,"2017-06-21 20:10:20","2017-06-21 19:10:20",2
"The Mongo C++ driver","Backport fix for b_timestamp fields appending in wrong order","Backports CXX-1367",Bug,"Major - P3",Closed,"2017-06-16 18:07:54","2017-06-16 17:07:54",0.5
"The Mongo C++ driver","Test maxTimeMS is an accepted option for createIndexes and dropIndexes command",,Task,"Major - P3",Closed,"2017-06-13 17:04:00","2017-06-13 16:04:00",1
"The Mongo C++ driver","Replace osx-1010 Evergreen variant with macos-1012","The Evergreen osx-1010 variant is being replaced with the macos-1012 builder, so we should switch to that.",Task,"Major - P3",Closed,"2017-06-12 18:14:01","2017-06-12 17:14:01",0.5
"The Mongo C++ driver","bsoncxx::types::timestamp t and i parts are reversed","The timestamp and increment fields of bsoncxx::types::timestamp are being passed incorrectly to bson_append_timestamp in the core builder. As part of the work of fixing it, we should write a regression test for the bug.    This fix will need to be backported to at least 3.1.x.    Previous description:    {quote}    Hi!  Is it normal that parts of timestamp i and t are confused?      {quote}",Bug,"Minor - P4",Closed,"2017-06-10 15:38:13","2017-06-10 14:38:13",0.5
"The Mongo C++ driver","Eliminate warnings generated by MSVC","In  CXX-1312, we are eliminating warnings generated by clang and gcc from a certain set of flags. However, MSVC does not use the same set of warning flags as clang and gcc. We should determine which warnings we want to enable for our Windows builds and implement any necessary fixes to make the build clean (including adding pragmas to disable the warnings from being checked in libbson and libmongoc).",Task,"Major - P3",Open,"2017-06-09 18:39:43","2017-06-09 17:39:43",3
"The Mongo C++ driver","Wrap internal usage of libbson/libmongoc headers in pragmas to disable warnings","In preparation for CXX-1312, we should wrap all usages of bson.h and mongoc.h in pragams to disable warnings.",Task,"Major - P3",Closed,"2017-06-08 21:33:50","2017-06-08 20:33:50",1
"The Mongo C++ driver","Replace index mock tests with integration tests","In preparation for the changes in CXX-1359, we should rewrite the mock tests pertaining to indexes as integration tests.",Task,"Major - P3",Closed,"2017-06-08 18:49:03","2017-06-08 17:49:03",1
"The Mongo C++ driver","Replace dummy index view implementation with actual implementation","As the final part of the work for implementing the index view API, we should replace the dummy implementation with a working one, ensuring that the tests we wrote pass for the new implementation.","New Feature","Major - P3",Closed,"2017-06-06 19:34:21","2017-06-06 18:34:21",1
"The Mongo C++ driver","Write tests for index view implementation","As part of the work for implementing the index view API, we should implement tests for the new API. To ensure that these tests are falsifiable, we should write these independently from the implementation of the API itself.",Task,"Major - P3",Closed,"2017-06-06 19:28:55","2017-06-06 18:28:55",1
"The Mongo C++ driver","Implement index_model and add dummy implementation of index_view","As part of the work to implement the index view spec, we should implement an index_model class as well as writing a dummy implementation of an index_view class. This will enable us to write tests for the index view implementation before fully implementing it.","New Feature","Major - P3",Closed,"2017-06-06 19:25:00","2017-06-06 18:25:00",1
"The Mongo C++ driver","Replace use of index options in API with BSON document","Currently, we use mongocxx::options::index to pass options to our index-related API methods. This has the downside of requiring changes whenever the server begins supporting new options. To mitigate this, we should change the index-related API methods to take a BSON document rather than an options object. As part of the work, we should implement a [cast operator|http://en.cppreference.com/w/cpp/language/cast_operator] to bsoncxx::document::value for mongocxx::options::index to enable existing code to continue working.","New Feature","Major - P3",Closed,"2017-06-06 19:21:28","2017-06-06 18:21:28",1
"The Mongo C++ driver","Add test and implementation for max staleness of -1 specified in URI","{quote} We should add a test that ensures that setting a max staleness of -1 in the URI causes our getter to return nullopt rather than -1. {quote}    Edit read_preference to be able to set max_staleness to -1 and make sure that if is -1 the URI getter returns a nullopt instead of -1.",Task,"Major - P3",Closed,"2017-06-02 16:24:07","2017-06-02 15:24:07",0.5
"The Mongo C++ driver","Add support for reading and writing OP_COMPRESSED",,"New Feature","Major - P3",Closed,"2017-06-01 18:52:13","2017-06-01 17:52:13",0
"The Mongo C++ driver","Add integration tests for database::list_collections","The enumeration collections spec [describes a number of tests in prose|https://github.com/mongodb/specifications/blob/master/source/enumerate-collections.rst#tests], which the C++ driver does not currently implement. We should implement these.",Task,"Major - P3",Closed,"2017-05-31 20:35:13","2017-05-31 19:35:13",1
"The Mongo C++ driver","Add integration tests for $out stage in pipeline aggregation","Currently, we have no tests regarding the behavior of the $out stage of an aggregation pipeline. We should add integration tests for this, including both successful behavior and that an error occurs if the $out stage is not last.",Task,"Major - P3",Closed,"2017-05-31 18:25:17","2017-05-31 17:25:17",1
"The Mongo C++ driver","Add integration tests for collection::list_indexes","We currently have no integration tests for collection::list_indexes. We should implement them as necessary.",Task,"Major - P3",Closed,"2017-05-30 22:22:09","2017-05-30 21:22:09",1
"The Mongo C++ driver","Investigate implementing the index view API described in the index management spec","The index management spec details two APIs, the standard API and the index view API and gives drivers the option of implementing either. mongocxx currently implements all of the standard API except the `create_indexes`, `drop_index`, and `drop_indexes` methods. We should decide whether we want to implement the index view spec and deprecate the collection methods pertaining to indexes or simply finish implementing the standard API.",Task,"Major - P3",Open,"2017-05-30 22:11:26","2017-05-30 21:11:26",1
"The Mongo C++ driver","Implemented automated tests for read/write concern spec","The read/write concern spec details a number of [automated tests|https://github.com/mongodb/specifications/tree/master/source/read-write-concern/tests], which are not currently implemented for the C++ driver. These should be implemented.",Task,"Major - P3",Open,"2017-05-30 19:28:52","2017-05-30 18:28:52",3
"The Mongo C++ driver","Implement manual read/write concern tests described in spec","The read/write concern spec describes a number of [manual tests|https://github.com/mongodb/specifications/blob/master/source/read-write-concern/read-write-concern.rst#test-plan], none of which are currently implemented for the C++ driver. These tests should be implemented.",Task,"Major - P3",Closed,"2017-05-30 19:26:47","2017-05-30 18:26:47",2
"The Mongo C++ driver","Remove -Werror from CMAKE_CXX_FLAGS around calls to generate_export_header()","generate_export_header() (from the GenerateExportHeader CMake module) adds a configure test to see whether the compiler supports a deprecated attribute.  Unfortunately, this configure test interacts poorly with the -Werror: if -Werror is contained in CMAKE_CXX_FLAGS, then this configure test always fails, because the deprecation warning generated by the configure program is always promoted to an error (and an error is supposed to indicate that the compiler lacks support for such an attribute).    As such, all of our CI builders which specify -Werror in CMAKE_CXX_FLAGS are declaring BSONCXX_DEPRECATED/MONGOCXX_DEPRECATED as empty macros.    As a temporary workaround, we could programmatically remove -Werror from CMAKE_CXX_FLAGS right before calling generate_export_header(), and add it back after the generate_export_header() call if the removal attempt was successful.",Task,"Major - P3",Closed,"2017-05-25 17:42:30","2017-05-25 16:42:30",1
"The Mongo C++ driver","Calls to bson_append_* are not checked for errors in the core builder","Throughout the implementation of the core builder (in src/bsoncxx/builder/core.cpp), there are calls to various `bson_append_*` functions, all of which return a boolean indicating whether the call was successful. We should check the return value of these calls and throw an appropriate error message in the case that that it's false, as currently all of them ignore the value returned/",Bug,"Major - P3",Closed,"2017-05-24 21:35:27","2017-05-24 20:35:27",1
"The Mongo C++ driver","Add integration tests for proper index creation in GridFS","We should add tests that ensure indexes are created properly when using GridFS",Task,"Major - P3",Open,"2017-05-17 21:31:46","2017-05-17 20:31:46",1
