Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Mule APIkit","Review SE-13201","Review SE-13201",Task,Major,Done,"2020-01-16 14:49:40","2020-01-16 14:49:40",1
"Mule APIkit","Create a suite for integration test","Implement an integration tests suite to check the entire happy path from scaffolding a WSDL to making a request to the deployed application",Task,Major,Done,"2018-01-11 13:44:40","2018-01-11 13:44:40",2
"Mule APIkit","Create soapkit commons module","Currently all the soapkit modules share a lot of classes and files to parse the wsdls files.     A commons module must be created and all the projects should be dependant of this module to perform wsdl parse operations.",Task,Blocker,Done,"2015-11-02 16:31:14","2015-11-02 16:31:14",3
"Mule APIkit","Move mule artifact serialization from Scaffolder to Soapkit Tooling","Nowadays, Scaffolder builds an ArtifactDeclaration from a WSDL and serializes it as String. But, this serialization is causing some problem when Tooling Client classes are loaded from Soapkit Studio Tooling.    Move ArtifactDeclaration serialization to Soapkit Studio Tooling",Task,Major,Done,"2018-01-12 16:58:53","2018-01-12 16:58:53",2
"Mule APIkit","Release SOAPKIT 4.1.0","Release SOAPKIT 4.1.0",Task,Major,Done,"2018-01-15 15:21:13","2018-01-15 15:21:13",1
"Mule APIkit","Migrate attachments from M3 to M4","In mule 3, attachments could be added doing something like this:        In mule 4, this option was removed in order to include attachments as part of the payload (using multiparts).    It's needed to migrate soap attachments according to what will be implemented in MMT-122",Task,Major,Done,"2018-08-11 04:09:27","2018-08-11 03:09:27",3
"Mule APIkit","SPIKE: SOAP action in WSDL should be optional","Please read this doc:    http://www.ws-i.org/profiles/basicprofile-1.1-2004-08-24.html#SOAPAction_HTTP_Header    > A RECEIVER MUST NOT rely on the value of the SOAPAction HTTP header to correctly process the message.  > [a wsdl without a SOAPAction] results in a message with a corresponding SOAPAction HTTP header field as follows: SOAPAction:       That is from the BasicProfile and it essentially means that SOAP Action is optional.    Relates to SE-5893",Task,Major,Done,"2017-10-23 16:25:06","2017-10-23 15:25:06",5
"Mule APIkit","Release Tooling for Studio 7.4.0 ","*Release Tooling for Studio 7.4.0 *    Acceptance Critaeria:    * Soapkit Tooling version must be 7.4.0 (matching studio from now on as discused)  * scaffolder version and module should be the last released one  * This should be in the staging bucket (studio.mulesoft.org/staging/s3/apikit-for-soap)  * Once studio gets released move from staging to prod bucket (studio.mulesoft.org/s3/apikit-for-soap)",Task,"To be reviewed",Done,"2019-10-11 21:03:24","2019-10-11 20:03:24",1
"Mule APIkit","Release Notes Apikit for SOAP 1.1.5","Release Notes Apikit for SOAP 1.1.5",Task,"To be reviewed",Done,"2018-10-10 19:44:03","2018-10-10 18:44:03",1
"Mule APIkit","Release APIkit for Soap Module 1.2.1","Release APIKit Soap Module 1.2.1    write release notes and upgrade jira versions",Task,"To be reviewed",Done,"2019-07-03 19:52:45","2019-07-03 18:52:45",2
"Mule APIkit","Rename soapkit Studio tooling artifact","Rename soapkit Studio tooling artifact",Task,Major,Done,"2018-01-02 15:43:35","2018-01-02 15:43:35",1
"Mule APIkit","Generate Amplitud Events in Soapkit for Mule 4","Generate Amplitud Events in Soapkit for Mule 4    More info [here|https://docs.google.com/document/d/1ZD2FzKlygel011bWTBeggai3Cfi5o4FGp38gnGEXGSo/edit#]",Task,"To be reviewed",Done,"2018-08-08 20:18:21","2018-08-08 19:18:21",2
"Mule APIkit","Add an automatic tests for custom error handling","Add an automatic tests for custom error handling       https://www.mulesoft.org/jira/browse/SE-7813",Task,"To be reviewed",New,"2018-06-11 14:41:54","2018-06-11 13:41:54",2
"Mule APIkit","release note for soapkit","release note for soapkit",Task,"To be reviewed",Done,"2019-01-16 18:50:35","2019-01-16 18:50:35",1
"Mule APIkit","Upgrate CXF to latest version","We need update CXF version to the last one (upgrade from CXF 3.0.13 to 3.2.1)",Task,"To be reviewed",Done,"2017-12-06 12:05:03","2017-12-06 12:05:03",1
"Mule APIkit","Review Soapkit SEs",https://www.mulesoft.org/jira/issues/?jql=filter%20%3D%20%22Pilar%20Escalations%20All%22%20AND%20issuetype%20%3D%20Bug%20AND%20status%20in%20(%22TO%20DO%22%2C%20%22In%20Progress%22%2C%20%22Pending%203rd-Party%22%2C%20%22Selected%20for%20Development%22%2C%20Verification)%20AND%20resolution%20%3D%20Unresolved%20AND%20component%20%3D%20%22APIKit%20for%20SOAP%22%20AND%20project%20%3D%20SE%20ORDER%20BY%20component%20ASC%2C%20status%20ASC%2C%20created%20ASC%2C%20cf%5B10160%5D%20ASC,Task,"To be reviewed",Done,"2018-12-05 19:14:16","2018-12-05 19:14:16",3
"Mule APIkit","Tooling should point to a single studio minor range.","*Tooling should point to a single studio minor range.*",Task,"To be reviewed",Done,"2019-06-19 19:20:04","2019-06-19 18:20:04",2
"Mule APIkit","Release SOAPKit 1.9","Release Release SOAPKit 1.9",Task,"To be reviewed",Done,"2019-01-16 18:50:15","2019-01-16 18:50:15",1
"Mule APIkit","Reorganize dependencies from module now that there are no more functional test cases","Reorganize dependencies from module now that there are no more functional test cases.    try to remove as much dependencies as we can from the module, this will let us have more control and tracking on what we are shipping with the module.",Task,"To be reviewed",Done,"2019-07-18 18:12:14","2019-07-18 17:12:14",5
"Mule APIkit","Release APIKit for SOAP M4-1.1.8","Release APIKit for SOAP M4-1.1.8",Task,"To be reviewed",Done,"2018-11-23 12:59:26","2018-11-23 12:59:26",1
"Mule APIkit","Review and update the securing-a-soap-api topic for Mule 4.","Please review and update the following topics for Mule 4:   * securing-a-soap-api.adoc   * [https://docs.mulesoft.com/mule-runtime/3.9/securing-a-soap-api]             ",Task,Critical,Done,"2019-03-27 19:06:54","2019-03-27 19:06:54",0
"Mule APIkit","Get ToolingClientBootstrap from studio instead of creating in soapkit tooling","Get ToolingClientBootstrap from studio instead of creating in soapkit tooling",Task,"To be reviewed",Done,"2018-01-12 15:12:41","2018-01-12 15:12:41",2
"Mule APIkit","Release Tooling for APIKit for SOAP M4-1.1.8","Release Tooling for APIKit for SOAP M4-1.1.8",Task,"To be reviewed",Done,"2018-11-23 13:00:56","2018-11-23 13:00:56",1
"Mule APIkit","SOAPkit M4-1.1.3: create release","SOAPkit M4-1.1.3: create the release",Task,Major,Done,"2018-07-04 21:54:41","2018-07-04 20:54:41",2
"Mule APIkit","SOAPKIT 4: Supportability Sign Off","*[Support Sign Off|https://docs.google.com/document/d/1p1bNvgW3zW119S1n953iNk4ccODsuqgNtV_lxoHSCtE/edit#heading=h.gquy1m2lv6ua]*    *Sign off  Responsible*: [ _Name of Support engineer approver_ ]       *Start review with Support early*  ||Criteria ||Doc/Links||Status   WIP,    Done, Met||  | * Support performed supportability assessment|ADD LINK to doc| NotStarted|  | * All bugs or stories with *label =* ***Supportability*** are complete . *CHECK FILTER*   * *GA: No Critical open issues*| | |         +PRODUCT SIGN OFF DETAILS+ (add more information here):       ----   This issue is to be *assigned* to the *Engineering Manager* to complete the Supportability doc and trigger the Support process for approval. The *final approver* is an engineer from the *Support* *team*.",Task,Major,Done,"2017-12-20 14:34:06","2017-12-20 14:34:06",2
"Mule APIkit","Release APIKit SOAP 1.2.3","*Release APIKit SOAP 1.2.3*    Write release notes and bump jira versions",Task,"To be reviewed",Done,"2019-08-30 19:25:16","2019-08-30 18:25:16",2
"Mule APIkit","Generate update site for SOAPKIT tooling for Studio 7","Generate update site for SOAPKIT tooling for Studio 7",Task,Major,Done,"2018-01-02 15:42:18","2018-01-02 15:42:18",2
"Mule APIkit","Reproduce and document how to customize the SOAP response","Document how to customize the response sent back to the client         https://docs.google.com/document/d/15rZl9vxFBrSOVApvfFa1zBdOc2s2P9iSBjWRapZDPmg/edit?ts=5b1a8c66",Task,Major,Done,"2018-06-01 14:38:33","2018-06-01 13:38:33",3
"Mule APIkit","Review Failing Integration Jobs","Review Failing Integration Jobs  soapkit 3.8  soapkit 3.9  apikit3.8  apikit3.9",Task,"To be reviewed",Done,"2018-06-11 15:40:00","2018-06-11 14:40:00",1
"Mule APIkit","Release soapkit 1.0.3","Release soapkit 1.0.3",Task,"To be reviewed",Done,"2017-11-14 13:26:28","2017-11-14 13:26:28",0
"Mule APIkit","Release APIKit for SOAP 1.2.0","Don't forget Release Notes",Task,"To be reviewed",Done,"2019-05-22 19:32:08","2019-05-22 18:32:08",2
"Mule APIkit","SOAP action should not be mandatory","SOAP action should not be mandatory    Related to SE-5893    When it's finished, let's send a message to Andrew Latham ",Task,Major,Done,"2017-11-02 14:42:46","2017-11-02 14:42:46",5
