Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
Mule,"LazyMuleArtifactContext ignores custom Global Error Handler","LazyMuleArtifactContext ignore custom Global Error Handler definition when this configuration is located after failing flow.    _Configuration component definition_ is one of core's component and should be always enabled to ensure it will be loaded at first independently wherever it's located in mule's application definition.     ",Bug,Major,Closed,"2020-04-17 14:31:53","2020-04-17 13:31:53",0
Mule,"Parameter that are included as child elements in XML are recognized as an element inside a route","Parameters that are declared as child elements inside a container xml tag for a route are increasing the index.   We should review if this happens only for routes or for any scope. Ignoring them to not increase the index will break compatibility with tooling as they have to also take this change into account.",Bug,Critical,Open,"2019-10-15 17:39:51","2019-10-15 16:39:51",4
Mule,"Automate Update of License year, and update it to 2019 in 3.x","Update License year to 2019",Task,"To be reviewed",Done,"2019-04-22 17:21:50","2019-04-22 16:21:50",4
Mule,"Allow to enable logs on tooling applications in order to allow troubleshooting","Application deployed for Tooling have the logs muted. We should allow to override this by System Property in order to allow Tooling to do troubleshooting.",Task,Minor,Done,"2019-04-04 17:06:16","2019-04-04 16:06:16",0
Mule,"Upgrade Mockito in Integration tests","Upgrade Mockito to the latest version that doesn't break backwards compatibility",Task,"To be reviewed",Done,"2018-12-05 15:36:41","2018-12-05 15:36:41",8
Mule,"Upgrade Mockito in connectors","Upgrade Mockito to the latest version that doesn't break backwards compatibility",Task,"To be reviewed",Done,"2018-12-05 15:32:12","2018-12-05 15:32:12",4
Mule,"Spike for an Application Model API including spec. - Part2","This is the spike which outcome is going to be a first version of the API and an specification explaining it and the use cases to be solved with it.",Task,Critical,Done,"2018-07-04 17:55:29","2018-07-04 16:55:29",8
Mule,"Fix BasicHttpProxyToHttpsTestCase","BasicHttpProxyToHttpsTestCase tests started failing after the upgrade of Jetty to 9.2.24.v20180105 performed in MULE-14763",Bug,Major,Closed,"2018-04-06 14:51:59","2018-04-06 13:51:59",2
Mule,"ConfigReference String parameter is not lazy initialized properly","Having the following parameter  {code}    @ConfigReference(namespace = HTTP, name = REQUEST_CONFIG)    @Parameter    private String requesterConfig;  {code}  During lazy initialization it does not initialize, even then adding ExpressionSupport(NOT_SUPPORTED).  This results in MUnit tests failing.  An example with WSC:  {code:xml}   <wsc:config name=ws-trim-public-application doc:name=Web Service Consumer Config doc:id=8b23f56f-414e-4fd6-90be-837a95ee0b59 >    <wsc:connection mtomEnabled=true wsdlLocation=http://ccoappdi03.ccity.biz/CCC.ApplicationService.Trim_3.0/TrimPublicApplicationService.svc?singleWsdl service=TrimPublicApplicationService port=BasicHttpBinding_ITrimApplicationService address=http://ccoappdi03.ccity.biz/CCC.ApplicationService.Trim_3.0/TrimPublicApplicationService.svc/mtom >     <wsc:custom-transport-configuration >      <wsc:http-transport-configuration requesterConfig=HTTP_Request_configuration />     </wsc:custom-transport-configuration>    </wsc:connection>   </wsc:config>   <http:request-config name=HTTP_Request_configuration doc:name=HTTP Request configuration doc:id=1226b542-1d41-447d-b9f3-9301172ac7a9 />  {code}",Bug,Critical,Closed,"2018-04-06 14:13:29","2018-04-06 13:13:29",8
Mule,"ExtensionModel generator takes into account static methods in operations","Added some static methods in the PetStore test extension for testing some scenarios and that made the extension model generation tests fail.    Revert these code changes:   * [https://github.com/mulesoft/mule/commit/eac0f0691462aae50026971d48bf9f68ca908b02#diff-10201da405805070c55f2c5b8575575eR42]   * [https://github.com/mulesoft/mule/commit/eac0f0691462aae50026971d48bf9f68ca908b02#diff-b900c1d8a06eb1e8f92ee10c477b7dd7R772]     ",Bug,Critical,Closed,"2018-04-05 21:15:41","2018-04-05 20:15:41",3
Mule,"Fix ConstrainedConnectorExceptionStrategyMule2126TestCase in 3.8.x","Test fails after the MULE-8175: Upgrade Xerces to 2.11.2 due to a format change in parse error message",Bug,Major,Resolved,"2018-04-05 19:51:37","2018-04-05 18:51:37",2
Mule,"Operation retry with transaction changes thread","When retrying an operation and a transaction is active, the retry may be run in another thread, breaking the transactional context.    Transaction support requires that transactional flows do not switch threads.",Bug,"To be reviewed",Resolved,"2018-04-04 13:46:41","2018-04-04 12:46:41",2
Mule,"Move Soap Service Implementation to a new module decoupled from mule.","*Move Soap Service Implementation to a new module decoupled from mule.*    This will:  * enable WSC and Soapkit to move faster without depending on an specific runtime version.  * share the RT code base between service, soapkit, wsc -> bugs are fixed only once :)  * WSC / Soapkit / Service can use different versions of the library if required.  ",Task,Critical,Done,"2018-04-03 22:14:51","2018-04-03 21:14:51",13
Mule,"SDK should validate that the given default value of an Enum parameter is a valid value","*SDK should validate that the given default value of an Enum parameter is a valid value*    When configuring a Default value for an Enum parameter the SDK can easily validate that the given value is a valid one.     Nowadays the value is not validated letting produce cryptic errors at runtime:          ",Bug,Major,Resolved,"2018-04-03 19:39:31","2018-04-03 18:39:31",2
Mule,"ArtifactClassLoaderRunner - Should keep only latest version of plugins discovered","The current code for discovering plugins for tests is not filtering the end list of plugins therefore if transitive dependencies for plugins have other plugins with different versions an error is thrown when creating the class loaders for those plugins as both versions try to define a mapping for the same package.  The runner classification code should keep the highest version of a plugin.",Task,Critical,Done,"2018-04-03 19:05:17","2018-04-03 18:05:17",4
Mule,"Update commons-lang version to 2.6 to match the version in mule-common","Having different versions generates that the tests in devkit fail because they use a method that was added in commons-lang 2.6. So as the mule runtime ships commons lang 2.4 the devkit tests fail.","Enhancement Request","To be reviewed",Closed,"2018-04-03 16:52:57","2018-04-03 15:52:57",2
Mule,"Expression with a placeholder should be correctly parsed","As from MULE-14603, an expression that has a placeholder value (e.g. #[${prop1}] ${prop2}) should update values. ","Enhancement Request","To be reviewed",Open,"2018-04-03 15:05:22","2018-04-03 14:05:22",4
