Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Sonatype Nexus","Conan integration in 3.22.0 does not handle Header Only packages","I am unable to upload header only conan pacakges, I get the following error:         Those files are not generaed with header only packages. If I touch them in the package local cache (to create empty ones), the upload works.    I was using the community supported plugin previsously and I never had the problem.",Bug,Major,Closed,"2020-03-30 19:44:27","2020-03-30 18:44:27",0
"Sonatype Nexus","Problem proxying NuGet packages hosted by GitHub Packages","* ,create a new NuGet (proxy) repository   ** name it agents-net   ** use [https://nuget.pkg.github.com/agents-net/index.json] as Remote storage URL   ** configure authentication with GitHub username / personal access token    => repo is available at [http://SERVERURL/repository/agents-net/|https://serverurl/repository/agents-net/]   * add NuGet package source in Visual Studio   ** [http://SERVERURL/repository/agents-net/index.json|https://serverurl/repository/agents-net/index.json]   * create new project in Visual Studio or use an existing one   ** Manage NuGet Packages for the project   ** select new package source   ** select browse tab   *** check include prerelease     => VS shows error   * in Output / Package Manager the following error is shown   [Agents.Net] Failed to retrieve metadata from source 'http://.../repository/agents-net/v3/query/1?q=&skip=0&take=26&prerelease=true&semVerLevel=2.0.0'.   Response status code does not indicate success: 500 (javax.servlet.ServletException: java.lang.NullPointerException).   * Log View shows stacktrace to NullPointerException (see also attached log file)          ",Bug,Major,Closed,"2020-03-05 07:56:25","2020-03-05 07:56:25",1
"Sonatype Nexus","Update h.s.c docs to make it clear which formats do/don't have HA-C support","*Acceptance criteria*  * The following section needs updating to include the latest formats [https://help.sonatype.com/repomanager3/high-availability#HighAvailability-KnownIssuesandLimitations |https://help.sonatype.com/repomanager3/high-availability#HighAvailability-KnownIssuesandLimitations ] (Missing formats: Cocoapods, Conda, R, Helm, P2, Conan)  * Add a new column to https://help.sonatype.com/repomanager3/formats that says whether the format has HA-C support or not. (Formats without HA-C: Apt, Go, Cocoapods, Conda, R, Helm, P2, Conan)  ",Story,Major,Done,"2020-02-10 13:00:06","2020-02-10 13:00:06",1
"Sonatype Nexus","NullPointer appears if run cleanup for hosted created via REST","*Steps to reproduce:*   1. Create repository using REST e.g. for helm    2. Run cleanup policy task    *Expected:* No errors appear   *Actual results:* NullPointer appears in the log.   ",Bug,Major,Closed,"2019-12-24 10:16:23","2019-12-24 10:16:23",1
"Sonatype Nexus","REST API for R repositories",,Story,Major,Done,"2019-12-12 14:57:33","2019-12-12 14:57:33",3
"Sonatype Nexus","[R format] regression test full format","Regression test full R format when all tickets are finished.    *Technical notes*  * Merged into master of nexus-repository-r  * Merged into master of nexus-internal",Task,Major,Closed,"2019-10-15 14:05:16","2019-10-15 13:05:16",3
"Sonatype Nexus","[Helm Features] Cleanup policy facet should be added for hosted and proxy Helm repositories","Accepted criteria:  * User should be able to set up a cleanup policy for hosted/proxy Helm repository",Story,Major,Done,"2019-08-27 15:14:11","2019-08-27 14:14:11",2
"Sonatype Nexus","zero-byte layers uploaded using docker push fail strict content type validation","Docker push may upload zero-byte layers - *this is normal.* This is allowed according to Docker API and a variation of which was allowed in NEXUS-9847.    When NXRM has Strict Content Type Validation enabled for the hosted Docker repository, then the content type of the layer cannot be interpreted and therefore evaluated by NXRM. The docker push will fail on a zero byte layer and docker push will report an error.    regular log levels reveal:        Failures at TRACE level logging reveals:        The examined file in the tmp directory is zero-bytes and the Content-Length header for the docker push is also zero.",Bug,Major,Closed,"2019-08-13 01:09:16","2019-08-13 00:09:16",3
"Sonatype Nexus","Deleting a nuget package from a proxy repository removes its version from group level metadata","Create a proxy repository to [https://www.powershellgallery.com/api/v2/]   Create a nuget group repository nuget-group and add the proxy repository into it.    Download:    [http://localhost:8081/repository/nuget-group/FindPackagesById()?id=%27PowerShellGet%27&$skip=0&$top=40]    Observe that version 2.0.0 is in the metadata.    Download:    [http://localhost:8081/repository/nuget-group/PowerShellGet/2.0.0]    Now delete the PowerShell-2.0.0.nupkg repository from the proxy, and download the group level metadata again:    [http://localhost:8081/repository/nuget-group/FindPackagesById()?id=%27PowerShellGet%27&$skip=0&$top=40]    Notice that version 2.0.0 is no longer present in the metadata.  This will make subequent download attempts of that version through the group using NuGet client fail.    Expiring the group level cache fixes this problem.    *Expected*:  Removing a nuget package from a proxy repository should not remove its version from the metadata     ",Bug,Major,Closed,"2019-08-09 23:13:07","2019-08-09 22:13:07",1
"Sonatype Nexus","Group metadata not updated when a yum proxy repository's remote URL is changed.","# Set up a yum proxy with an incorrect URL, and put it in a yum group repository.      # Add a yum hosted repository to the group with metadata depth of 0.    # Upload an rpm to the hosted repository.     # Retrieve the repomd/repodata.xml file through the group.   # Fix the proxy's remote URL, and download the repomd.xml file through the proxy.    Now try retrieving the the repomd/repodata.xml file through the group again. Observe that the metadata is not updated. Invalidating the group's cache does not fix this.    Expiring cache in either the proxy or group repository does not fix this.  Not sure if that is a separate bug, or if it is another symptom of the same bug.    The only workaround I have been able to find is to delete the group repository and recreate it.    I've attached an NXRM 3.18.0 work directory that is in this state.",Bug,Major,Open,"2019-08-02 19:37:12","2019-08-02 18:37:12",1
