Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"The MongoDB Engineering","Try using gRPC with mac hosts again","A few months ago, I tested communicating with the Mac hosts using gRPC instead of SSH because SSH is fragile and highly dependent on the SSH command producing well-formed output. I'm pretty sure I also filed a ticket to allow the app servers to reach out to Jasper on the Mac hosts over gRPC, but it didn't work even after the ticket was closed. Since the annoyance around relying on SSH output has arisen again recently, it's worth trying again and diagnosing why exactly gRPC isn't working.",Task,"Major - P3",Open,"2020-10-21 22:09:03","2020-10-21 22:09:03",2
"The MongoDB Engineering","Set resource limits on MacOS hosts for Jasper service","Update the distro settings so that the ulimits correspond with the expected ones for Mac hosts and then restart Jasper. Verify that it works in staging before doing it in production.",Sub-task,"Major - P3",Open,"2020-10-21 21:07:20","2020-10-21 21:07:20",2
"The MongoDB Engineering","Add support for launchd plists with resource limits","Change the launchd plist template so that it can support setting {{HardResourceLimit}} and {{SoftResourceLimit}} ([docs|https://www.real-world-systems.com/docs/launchdPlist.1.html]).    Revendor in Jasper/Curator.",Sub-task,"Major - P3",Open,"2020-10-21 21:05:13","2020-10-21 21:05:13",2
"The MongoDB Engineering","Support resource limits for MacOS launchd services ","According to [some random docs on the internet|https://www.real-world-systems.com/docs/launchdPlist.1.html], it's possible to set resource limits within a launchd plist file for MacOS. The hosts should have ulimits set higher than the default amount when running tasks.",Task,"Major - P3",Open,"2020-10-21 21:02:05","2020-10-21 21:02:05",4
"The MongoDB Engineering","Figure out curator packaging for resmoke","Possibly create a python package for Curator.",Improvement,"Major - P3",Open,"2020-10-20 20:43:22","2020-10-20 20:43:22",2
"The MongoDB Engineering","SpawnVolume mutation: Unable to set expiration when creating a volume",,Bug,"Major - P3","In Code Review","2020-10-20 20:35:47","2020-10-20 20:35:47",1
"The MongoDB Engineering","Enable requesting host provisioning script from the app server for each user data provisioned distro","Turn on the feature built in EVG-13281 for every single distro that is provisioned with user data and diagnose any individual distro issues that come up.    Once they're all migrated, it should be safe to remove the temporary distro feature flag for this.",Task,"Major - P3",Open,"2020-10-20 19:38:10","2020-10-20 19:38:10",4
"The MongoDB Engineering","Make temporary distro setting for requesting user data script from the app server","The goal is to eventually migrate all user data-provisioned distros to just request the script from the app server within user data rather than pass the entire script in the initial AWS instance request. Assuming the transition won't go smoothly for every single distro, make a flag that will turn it on selectively for distros until we have some confidence that it works.    We can remove the setting once all user data distros have been migrated.",Sub-task,"Major - P3",Open,"2020-10-20 19:33:16","2020-10-20 19:33:16",2
"The MongoDB Engineering","Request the full host provisioning script from the app server in user data","The user data script only needs to contain the bare minimum information necessary (e.g. host ID, host secret, the REST endpoint to curl) to ask the app server for the full user data script text, which it can then execute.",Sub-task,"Major - P3",Open,"2020-10-20 19:29:27","2020-10-20 19:29:27",2
"The MongoDB Engineering","Create CLI command to execute user data script","Make a CLI command that executes the user data script once it's been fetched from the application server.         This might just be a small modification of {{evergreen host setup}}, especially given that the command can handle both bash and powershell scripts.",Sub-task,"Major - P3",Open,"2020-10-20 19:27:36","2020-10-20 19:27:36",2
