Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Atlassian Jira Cloud","CSV Import should include information regarding Project Type and Template.","h4. Problem definition  When trying to perform a CSV import, the user cannot select which Project Template and Type are being created. The current documentation [Importing data from CSV|https://confluence.atlassian.com/adminjiraserver074/importing-data-from-csv-881683854.html] does not include the information for importing the Project Type.    h4. Suggested solution  Update the documentation to reflect this by explaining that the Project Type column should be added with the possible values  as Software, Business, and service_desk    h4. Possible Workaround  If a user would like to create a project while importing issues from a CSV file, what is possible to accomplish is while importing, when selecting the project, we can create a new one and specify its type and template.",Suggestion,,"Gathering Interest","2020-05-11 16:49:08","2020-05-11 16:49:08",4
"Atlassian Jira Cloud","Clearly specify the definition of the maximum attachment size","In the following document, the maximum attachment size is described as the following.  https://confluence.atlassian.com/adminjiraserver071/configuring-file-attachments-802593126.html  bq. The default is 10485760 bytes (10 MB). The maximum attachment size is 2147483647 bytes (2 GB).    With this description, the reader can't decide the limitation is about *per issue* or *per file*.  It would be great if the document clearly specifies that this maximum size will be a limit *per file*, not per issue.  ",Suggestion,,Closed,"2018-04-09 02:36:37","2018-04-09 02:36:37",4
"Atlassian Jira Cloud","password security page is outdated","this is no longer managed here; it's managed in identity manager    [https://confluence.atlassian.com/adminjiracloud/manage-password-security-794198948.html]    so we deprecate that page & redirect to this one?   [https://confluence.atlassian.com/cloud/password-policies-938859739.html]         for more info please chat to <USER>in JSD Identity",Bug,Low,Closed,"2018-03-29 00:42:17","2018-03-29 00:42:17",4
"Atlassian Jira Cloud","The Supported Browsers documentation page should mention what's the minimum resolution required","When accessing the [Supported Browsers|https://confluence.atlassian.com/cloud/supported-browsers-744721663.html] documentation page, the minimum resolution of 1024px which is needed to render all web elements correctly isn't been listed as a requirement.     This can lead to confusion in case a user has the habit to access JIRA using a smaller browser screen.",Suggestion,,Closed,"2018-03-27 19:14:16","2018-03-27 19:14:16",2
"Atlassian Jira Cloud","Add the description for the search box of Scrum/Kanban boards","Currently, there are no information for how we can use the search box(the one in the screenshot below) in Scrum/Kanban boards.  https://confluence.atlassian.com/jirasoftwarecloud/what-is-a-board-764477964.html     !Search box.png|thumbnail!     If we switch to the [Server version|https://confluence.atlassian.com/jirasoftwareserver/what-is-a-board-938845235.html], we can find the following description  bq. Type part of the issue summary (issue key, issue type) to search for matches to be displayed on the Backlog.  Though, strictly speaking, this is not applicable to Cloud version(in Cloud version, you can search for assignees too).    Since there are less information for this feature in the product itself, I suggest that we need more description for this function in the document for Cloud.",Suggestion,,Closed,"2018-03-23 07:52:23","2018-03-23 07:52:23",2
"Atlassian Jira Cloud","Fix documentation","h3. Problem Definition    The [Migrating from Jira Server to Jira Cloud|https://confluence.atlassian.com/jirakb/migrating-from-<USER>server-to-<USER>cloud-779160826.html] has this warning:  {quote}  Make sure you migrate to JIRA Cloud using the same timezone settings as your current server instance. Different timezones can cause problems with issue dates and issue creation after migration. For more information, see JRACLOUD-65305  {quote}    This is outdated, as we can no longer change timezone in Cloud and it may imply we can. The workaround is to set Server's timezone, by setting a parameter on Jira Startup.     h3. Suggested Solution     Please, change this warning to this:  {quote}  Make sure you change JIRA Server's User Timezone to UTC before migrating. Using a different timezone can cause problems with issue dates and issue creation after migration. For more information, see JRACLOUD-65305  {quote}",Suggestion,,Closed,"2018-03-13 18:02:00","2018-03-13 18:02:00",1
"Atlassian Jira Cloud","Broken links in the Defining a screen page","In the *Defining a screen* page - https://confluence.atlassian.com/adminjiracloud/defining-a-screen-776636475.html  There are two broken links in the *Related content* section. The link to Configuring screens and the other to Adding, editing, and deleting a screen    *Configuring screens* - https://confluence.atlassian.com/display/AdminJIRACloud/Configuring+screens  *Adding, editing, and deleting a screen* - https://confluence.atlassian.com/display/AdminJIRACloud/Adding%2C+editing%2C+and+deleting+a+screen",Bug,Low,Closed,"2018-03-13 13:12:49","2018-03-13 13:12:49",2
"Atlassian Jira Cloud","Search for statuses are not specified in the smart query feature","There are two articles, one for Server and the other for Cloud, that explains the *smart query* feature.  On both articles there is a list of terms that can be used to trigger the smart query.    Searching for an existing status will also trigger the smart query, but this information is not covered in the article:   !smart-query-status.png|thumbnail!     Here's the documentation:    *Cloud* - https://confluence.atlassian.com/jirasoftwarecloud/get-home-search-or-create-with-the-global-sidebar-937886032.html    *Server* - https://confluence.atlassian.com/jiracoreserver073/quick-searching-861257204.html#UsingQuickSearch-Smartquerying    It would be necessary to add in the list something like:  {{<status>}} - Find issues with a particular Status - {{To Do, Backlog, Open}}",Bug,Low,Closed,"2018-03-12 16:46:48","2018-03-12 16:46:48",4
"Atlassian Jira Cloud","Incorrect reference in the Managing versions article","In the *Managing versions* article - https://confluence.atlassian.com/adminjiracloud/managing-versions-776636296.html there is an error in the *How to add a new version* section.    The first instruction is:  {quote}The Add Version form is located at the top of the Versions screen.{quote}    However, due to the changes in the layout, the form is in fact located at the bottom of the screen.",Bug,Low,Closed,"2018-03-12 12:19:46","2018-03-12 12:19:46",1
"Atlassian Jira Cloud","The documentation that explains the current method to archive a project should have a warning and a dedicated version to Cloud ","h3. Summary  The current method to *archive* a project is based on modifying the permission scheme that is associated with the project in question and set all the permissions to be empty. This procedure is detailed in the following documentation page:     * [Archiving a project|https://confluence.atlassian.com/adminjiraserver076/archiving-a-project-945111580.html]    Even though the documentation is targeted to the Server Platform only, this procedure is widely adopted by Cloud users.      h3. Expected Results    * *First action*   We should create a separate, dedicated documentation for the Cloud platform to avoid confusion and link it to the *Cloud* switch that is found in the top-right of the screen:   !archive cloud.png|thumbnail!     * *Second Action*    We need to include a {color:red}warning{color} to let our cloud customers know that after applying the workaround described in the documentation, regular users won't be able to see the archived projects in the *View Projects* list, but users with administrative permissions will see the projects still being listed. This action needs to be taken to avoid the impression that archiving a project by clearing the permission scheme isn't working as it should. The following BUG was filed some time ago due and was addressing a similar situation:     * [Projects Tab not Hiding Projects in New Jira Experience|https://<USER>atlassian.com/browse/JRACLOUD-67788]    ",Suggestion,,Closed,"2018-02-26 19:02:13","2018-02-26 19:02:13",6
