Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Apache Mesos","Improve CSI service manager to set node ID for managed CSI plugins","For some CSI Plugins (like NFS CSI plugin), their node service need a node ID specified by container orchestrator, see [here|https://github.com/kubernetes-csi/csi-driver-nfs/blob/d94b64bbb3171a45dd91f8686611a062c0dd6219/deploy/kubernetes/csi-nodeplugin-nfsplugin.yaml#L49] for an example, so we need to improve our CSI service manager to set it when launching managed CSI plugins.",Task,Major,Resolved,"2020-08-12 10:24:47","2020-08-12 09:24:47",2
"Apache Mesos","Add secrets support to the CSI volume managers","We must update our CSI code to pass secrets to CSI drivers when staging/unstaging and publishing/unpublishing volumes. We must ensure that we avoid writing any secrets to disk by holding a secret resolver in the appropriate component to resolve secrets associated with already-attached volumes during/after recovery.",Task,Major,Resolved,"2020-07-28 22:22:38","2020-07-28 21:22:38",5
"Apache Mesos","Add documentation for the `volume/csi` isolator",,Task,Major,Resolved,"2020-07-07 09:17:26","2020-07-07 08:17:26",2
"Apache Mesos","Enable the `volume/csi` isolator in UCR",,Task,Major,Resolved,"2020-07-07 09:14:31","2020-07-07 08:14:31",2
"Apache Mesos","Implement the `recover` method of the `volume/csi` isolator",,Task,Major,Resolved,"2020-07-07 09:13:52","2020-07-07 08:13:52",5
"Apache Mesos","Implement the `cleanup` method of the `volume/csi` isolator",,Task,Major,Resolved,"2020-07-07 09:13:09","2020-07-07 08:13:09",3
"Apache Mesos","Implement the `prepare` method of the `volume/csi` isolator",,Task,Major,Resolved,"2020-07-07 09:12:43","2020-07-07 08:12:43",5
"Apache Mesos","Implement the `create` method of the `volume/csi` isolator",,Task,Major,Resolved,"2020-07-07 09:12:00","2020-07-07 08:12:00",3
"Apache Mesos","Introduce a new agent flag `--csi_plugin_config_dir`",,Task,Major,Resolved,"2020-07-07 09:09:12","2020-07-07 08:09:12",3
"Apache Mesos","Refactor CSI volume manager to support pre-provisioned CSI volumes","The existing [VolumeManager|https://github.com/apache/mesos/blob/1.10.0/src/csi/volume_manager.hpp#L55:L138] is like a wrapper for various CSI gRPC calls, we could consider leveraging it to call CSI plugins rather than making raw CSI gRPC calls in `volume/csi` isolator. But there is a problem, the lifecycle of the volumes managed by VolumeManager starts from the `[createVolume|https://github.com/apache/mesos/blob/1.10.0/src/csi/v1_volume_manager.cpp#L281:L329]` CSI call, but what we plan to support in MVP is pre-provisioned volumes, so we need to refactor VolumeManager by making it support pre-provisioned volumes.",Task,Major,Resolved,"2020-07-07 08:45:09","2020-07-07 07:45:09",5
"Apache Mesos","Improve CSI service manager to support unmanaged CSI plugins","Refactor [CSI service manager|https://github.com/apache/mesos/blob/1.10.0/src/csi/service_manager.hpp#L50:L81] by making it support unmanaged plugins (i.e. the plugin deployed out of Mesos) and make it’s `getServiceEndpoint` method can also return unmanaged plugins's endpoint.",Task,Major,Resolved,"2020-07-07 08:41:49","2020-07-07 07:41:49",3
"Apache Mesos","Update the `CSIPluginInfo` protobuf message for supporting 3rd party CSI plugins","See [here|https://docs.google.com/document/d/1NfWLS2OdiYjXZa2dpd_DOWOK4eou-SedY396Jl68s9Y/edit#bookmark=id.x6m8mytigrg7] for the detailed design.",Task,Major,Resolved,"2020-07-07 04:00:34","2020-07-07 03:00:34",1
"Apache Mesos","Introduce a new volume type `CSI` into the `Volume` protobuf message","See [here|https://docs.google.com/document/d/1NfWLS2OdiYjXZa2dpd_DOWOK4eou-SedY396Jl68s9Y/edit#heading=h.l7wa1w8789pg] for the detailed design.",Task,Major,Resolved,"2020-07-07 03:55:20","2020-07-07 02:55:20",1
"Apache Mesos","MasterQuotaTest.ValidateLimitAgainstConsumed is flaky","Observed in internal CI. Log attached.",Bug,Major,Open,"2020-06-23 01:25:34","2020-06-23 00:25:34",3
"Apache Mesos","CSI External Volumes MVP Design Doc","This ticket tracks the design doc for our initial implementation of external volume support in Mesos using the CSI standard.",Task,Major,Resolved,"2020-06-17 20:47:17","2020-06-17 19:47:17",8
"Apache Mesos","CSI External Volume Support","This epic tracks work for our MVP of external volume support in Mesos using the CSI standard.",Epic,Major,Resolved,"2020-06-17 20:45:51","2020-06-17 19:45:51",13
"Apache Mesos","Docker volume isolator needs to clean up the `info` struct regardless the result of unmount operation","Currently when [DockerVolumeIsolatorProcess::cleanup()|https://github.com/apache/mesos/blob/1.9.0/src/slave/containerizer/mesos/isolators/docker/volume/isolator.cpp#L610] is called, we will unmount the volume first, but if the unmount operation fails we will not remove the container's checkpoint directory and NOT erase the container's `info` struct from `infos`. This is problematic, because the remaining `info` in the `infos` will cause the reference count of the volume is larger than 0, but actually the volume is not being used by any containers. And next time when another container using this volume is destroyed, we will NOT unmount the volume since its reference count will be larger than 1 (see [here|https://github.com/apache/mesos/blob/1.9.0/src/slave/containerizer/mesos/isolators/docker/volume/isolator.cpp#L631:L651] for details) which should be 2, so we will never have chance to unmount this volume.    We have this issue since Mesos 1.0.0 release when Docker volume isolator was introduced.",Bug,Critical,Resolved,"2020-05-13 04:02:40","2020-05-13 03:02:40",3
"Apache Mesos","Authorization for /logging/toggle and  /metrics/snapshot is skipped on Windows.","Due to path::join without specifying a separator being used to join an URI when looking for the authorization callback:  https://github.com/apache/mesos/blob/5e5783d748af17dfb1502df5870a5397879c82f1/3rdparty/libprocess/src/process.cpp#L3845",Bug,Major,Resolved,"2020-04-20 11:24:08","2020-04-20 10:24:08",1
"Apache Mesos","Update the `usage()` method of containerizer to set resource limits in the `ResourceStatistics` protobuf message","In the `ResourceStatistics` protobuf message, there are a couple of issues:   # There are already `cpu_limit` and `mem_limit_bytes` fields, but they are actually CPU & memory requests when resources limits are specified for a task.   # There is already `mem_soft_limit_bytes` field, but this field seems not set anywhere.    So we need to update this protobuf message and also the related containerizer code which set the fields of this protobuf message.",Task,Major,Resolved,"2020-04-15 13:56:52","2020-04-15 12:56:52",3
"Apache Mesos","Add documentation for task resource limits",,Task,Major,Resolved,"2020-04-14 07:41:34","2020-04-14 06:41:34",2
"Apache Mesos","After failover, master crashes on re-adding an agent with maintenance schedule set.","Stacktrace:      This immediately follows re-adding an agent after master failover.    The issue was introduced by this patch:  https://reviews.apache.org/r/71428  which didn't account for the fact that `addSlave()` takes as an argument per-framework used resources that potentially can contain frameworks that were not added to allocator yet.    (Note that when master re-registers an agent, it first calls addSlave(), and only then calls addFramework() for the frameworks recovered from the agent.)",Bug,Blocker,Resolved,"2020-04-03 13:31:31","2020-04-03 12:31:31",1
"Apache Mesos","SSL Improvements",,Epic,Major,Open,"2020-04-02 17:51:30","2020-04-02 16:51:30",13
"Apache Mesos","Mesos agent fails to start on outdated systemd.","Mesos agent refuses to start due to a failure caused by the systemd-specific code:      It turns out that some versions of systemd do not set environment variables `LISTEN_PID`, `LISTEN_FDS` and `LISTEN_FDNAMES` to the Mesos agent process, if its systemd unit is [ill-formed|https://github.com/dcos/dcos/pull/6886/files]. If this happens, `listenFdsWithName` returns an empty list, therefore leading to the error above.    After fixing the problem with the systemd unit, systemd sets the value for `LISTEN_FDNAMES` taken from the `FileDescriptorName` field. In our case, the env variable is set to `systemd:dcos-mesos-slave`. Since the value is expected to be equal to systemd:unknown (for the compatibility with older systemd versions), the mismatch of values happens and we see the same error message.     ",Bug,Major,Resolved,"2020-02-24 15:23:49","2020-02-24 15:23:49",3
"Apache Mesos","After HTTP framework disconnects, heartbeater idle-loops instead of being deleted.","In some cases, Master closes connection of HTTP framework without deleting the heartbeater:  https://github.com/apache/mesos/blob/65e18bef2c5ff356ef74bac9aa79b128c5b186d9/src/master/master.cpp#L3323  https://github.com/apache/mesos/blob/65e18bef2c5ff356ef74bac9aa79b128c5b186d9/src/master/master.cpp#L10910    It can be argued that this does not constitute a leak, because old heartbeaters are deleted on reconnection/removal.    However, this means that for each disconnected framework there is a ResponseHeartbeaterProcess that performs an idle loop.",Bug,Minor,Resolved,"2020-02-13 11:19:52","2020-02-13 11:19:52",1
"Apache Mesos","Reactivating a draining agent leaves the agent in draining state.","When reactivating an agent that's in the draining state, the master erases it from its draining maps, and erases its estimated drain time.    However, it doesn't send any message to the agent, so if the agent is still draining and waiting for tasks to terminate, it will stay in that state, ultimately making any tasks that then get launched get DROPPED due to the agent still being in a draining state.    Seems like we should either:    * Disallow the user from reactivating if still in draining, or  * Send a message to the agent, and have the agent move itself out of draining.",Bug,Major,Resolved,"2020-02-11 22:23:05","2020-02-11 22:23:05",3
"Apache Mesos","Agent draining logging makes it hard to tell which tasks did not terminate.","When draining an agent, it's hard to tell which tasks failed to terminate.    The master prints a count of the tasks remaining (only as VLOG(1) however), but not the IDs:        The agent does not print how many or which ones.    It would be helpful to at least see which tasks need to be drained when it begins, and possibly, upon each check, which ones remain.",Improvement,Major,Resolved,"2020-02-11 22:19:27","2020-02-11 22:19:27",1
"Apache Mesos","Master's agent draining VLOG prints incorrect task counts.","This logic is printing the framework counts of these maps rather than the task counts:    https://github.com/apache/mesos/blob/4575c9b452c25f64e6c6cc3eddc12ed3b1f8538b/src/master/master.cpp#L6318-L6319        Since these are {{hashmap<FrameworkID, hashmap<TaskID, Task>>}}.",Bug,Major,Resolved,"2020-02-11 20:58:08","2020-02-11 20:58:08",1
"Apache Mesos","Libprocess does not properly escape subprocess argument strings on Windows","When running some tests of Mesos on Windows, I discovered that the following command would not execute successfully when passed to the Docker containerizer in {{TaskInfo.command}}:      The following error is found in the task sandbox:  ",Bug,Major,Accepted,"2020-02-05 22:48:02","2020-02-05 22:48:02",2
"Apache Mesos","Detecting whether executor is generated for command task should work when the launcher_dir changes","As currently implemented, on recovery Mesos agent determines that the executor is generated for command task by comparing the executor command with a current path to Mesos executor:    https://github.com/apache/mesos/blob/1.7.x/src/slave/slave.cpp#L9635    During upgrade of production cluster we observed this check to break due to the new launcher_dir being different from the one of checkpointed executor.    This can cause problems of various kind: for example, after such upgrade, Mesos master can begin to treat the checkpointed command executors as subject to resource quota.    Design considerations:   - proper solution is to checkpoint the flag indicating whether the executor is a command/docker one.   - for correct upgrade from older Mesos versions, we will need some kind of workaround to detect command executors after upgrade; the workaround logic should be skipped if there is a checkpointed flag.",Bug,Critical,Resolved,"2019-12-31 17:48:05","2019-12-31 17:48:05",3
"Apache Mesos","Cgroups isolator: update cleanup logic to support nested cgroups","Update Cgroups isolator to cleanup a nested cgroup for a nested container taking into account hierarchical layout of cgroups. Lowest nested cgroups should be destroyed first.",Task,Major,Resolved,"2019-12-23 13:18:43","2019-12-23 13:18:43",5
