Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Apache Usergrid","Allow usergrid.api.url.base to be set when creating organizations.","Allowing usergrid.api.url.base this field to be set or set differently so it is not forgotten when you are running usergrid. ",Story,Major,Open,"2016-04-07 20:50:36","2016-04-07 19:50:36",2
"Apache Usergrid","Set a property to turn off usergrid's dependency on elasticsearch","Have a property that can tell Usergrid whether we want to use elasticsearch or not. If we don't we shouldn't have any errors, should just work as is with only graph searches . ",Story,Major,"In Progress","2016-04-04 22:14:24","2016-04-04 21:14:24",5
"Apache Usergrid","Proof of Concept: use Akka for Unique Value enforcement","By using an distributed Actor System, we can ensure that only one thread accesses any one unique value at a time. I have a working proof of concept of this that writes to Cassandra (via Java Native Driver).  Initial design is here: https://docs.google.com/document/d/1o9okFgNb_c1RY0eIcZMhijhxE9v7BxHYDiuI8BqkLgU/edit#  Proof of Concept (POC) code is here: https://github.com/snoopdave/akka_poc1  Presentation that explains the POC is here: https://docs.google.com/presentation/d/11ARSPZ6IAxOYSTo4jcmEdnzXvOgVGNGslznmVtLOZjY/edit?usp=sharing ",Story,Major,Closed,"2016-02-22 15:48:01","2016-02-22 15:48:01",8
"Apache Usergrid","Simplify Central SSO: eliminate ext token validation end-point","Instead of requiring that clients first validate tokens obtained from an external Central SSO system, when Usergrid is configured for using Central SSO, it should attempt to verify any unknown token itself.  This can be implemented by moving the validate external token logic from the ManagementResource and into the TokenService.",Story,Major,Closed,"2016-02-16 17:40:52","2016-02-16 17:40:52",3
"Apache Usergrid","Introduce Datastax Java Driver in effort to migration away from Astyanax",,Story,Major,Closed,"2016-02-08 17:14:14","2016-02-08 17:14:14",1
"Apache Usergrid","Upgrade pushy library to use latest version (HTTP/2 APNS implementation) ","Additional system requirements will need to be met (https://github.com/relayrides/pushy#system-requirements):  1) require openssl to be installed on servers running Usergrid and have specific compiled versions of usergrid for the supported platforms for running Usergrid (os version, etc.).  http://netty.io/wiki/forked-tomcat-native.html  2) require an additional jar file added to the boot classpath of the jvm (alpn-boot) which is specific to the JDK version being used  It may make sense to see about having the ability to disable push so that no push notification services are bootstrapped in the event someone wants to use Usergrid but does not require push and does not want to manage these additional system requirements.  Option 1 preferred at the moment as having OpenSSL installed is an easy requirement and and the platform configurations for http://netty.io/wiki/forked-tomcat-native.html seem limited.",Story,Major,Open,"2016-01-31 16:25:18","2016-01-31 16:25:18",2
"Apache Usergrid","Add smtp message-id to logs","Add message-id to the smtp logs.  http://stackoverflow.com/questions/5555119/sending-email-using-smtp-and-setting-the-message-id  This will help us track whether usergrid is failing to send registration email or if it is the mail service. There also needs to be additional logging enabled to track what stages the emails goes through if it is needed.",Story,Minor,Closed,"2016-01-25 17:18:43","2016-01-25 17:18:43",3
"Apache Usergrid","Error occuring when clicking link to activate organization","Getting an email when trying to activate an organization: {error:unauthorized,timestamp:1405399644281,duration:0,exception:org.apache.usergrid.rest.exceptions.SecurityException,error_description:No organization access authorized} Steps to reproduce - sign up for an account, then click activation link in email that goes to sys admin  When the link is clicked then the following message pops up. Ideally it should be a rest response that denotes show the activation was successful.",Story,Minor,Closed,"2016-01-25 17:11:23","2016-01-25 17:11:23",3
"Apache Usergrid","Migrate locks from Hector to Astyanax","Implement locks and a lock manager using Astyanax driver.",Story,Critical,Closed,"2016-01-15 02:24:24","2016-01-15 02:24:24",3
"Apache Usergrid","Fix AwsAssetResourceIT","Fix all the broken asset tests",Story,Major,Closed,"2016-01-13 20:40:04","2016-01-13 20:40:04",3
"Apache Usergrid","GET on missing Asset file in S3 generates 500 error not 404",,Story,Major,Closed,"2016-01-13 19:10:32","2016-01-13 19:10:32",1
"Apache Usergrid","Allow certs in notifiers to be updated and store their details in the entity.",,Story,Minor,Closed,"2016-01-11 16:46:42","2016-01-11 16:46:42",1
"Apache Usergrid","Create 2.1 Release for Apache","We need to create a 2.1 release for Apache.  Would be nice to have a binary WAR distribution.",Story,Major,Closed,"2016-01-05 19:09:13","2016-01-05 19:09:13",3
"Apache Usergrid","Ensure that PUT or POST does not create duplicate org association connections. ","Doing PUT creates a duplicate edge on /management/orgs/org/users/email  for existing users who were already on the org, the POST command to /management/orgs/org/users/email creates a duplicate edge ",Story,Major,Closed,"2015-12-30 19:40:02","2015-12-30 19:40:02",2
"Apache Usergrid","Add DELETE for Admin Users","- Will need superuser credentials. - Will delete admin user. - Will remove all connections from said admin user. ( might automatically be done. needs verifying. )  -Verify can be recreated ",Story,Major,Closed,"2015-12-30 18:49:48","2015-12-30 18:49:48",2
"Apache Usergrid","Support APNS VoIP Push Notifications","If using older APNS binary provider, multiple certificates would need to be managed as VoIP certificates are provisioned separately by Apple.  If using newer HTTP/2 implementation,  Apple allows a single cert (provisioned with one or more topics) to work for regular, voip, watch notifications for example.  Using HTTP/2 implementation is preferred.",Story,Major,Open,"2015-12-14 04:16:38","2015-12-14 04:16:38",2
"Apache Usergrid","Support GCM 3.0 for Android Push Notifications",,Story,Major,Closed,"2015-12-14 04:10:51","2015-12-14 04:10:51",2
"Apache Usergrid","Internal size within entity metadata is not displayed when doing a GET by entity name ","This request does not come back with size in metadata object.   GET /org/app/collection/entityName   However, get with the entity's UUID does return the metadata size.  GET /org/app/collection/2dcf254c-8ef5-11e5-87c2-069a7df27e87 ",Bug,Minor,Closed,"2015-11-19 23:51:01","2015-11-19 23:51:01",1
"Apache Usergrid","Fix GroupResourceIT.postGroupActivity() test",,Story,Major,Closed,"2015-11-17 15:48:15","2015-11-17 15:48:15",3
"Apache Usergrid","Fix EventsResource and IT","The EventsResource was broken during two-dot-o development and the tests in EventsResourceIT were marked ignore.  Fix the EventsResource and re-enable the tests.",Story,Major,Closed,"2015-11-17 15:47:38","2015-11-17 15:47:38",3
"Apache Usergrid","Fix AdminUsersIT tests","Six of the AdminUsersIT tests are ignored because they interfere with other tests and other reasons.  Figure out how to run those tests serially or some other way to test admin user features.",Story,Major,Closed,"2015-11-17 15:03:29","2015-11-17 15:03:29",5
"Apache Usergrid","Improve NotificationsService test coverage","Currently many of the NotificationsServiceIT and NotifiersServiceIT test are either broken or incomplete because we were unable to create the mocks we need to test the code. We should revisit this and figure out how to get better test coverage for notifications in general.  Search the code for USERGRID-1113 to find the tests that should be unignored, fixed, replace or deleted.",Story,Major,Closed,"2015-11-17 14:20:13","2015-11-17 14:20:13",2
"Apache Usergrid","Fix test: clientCredentialsFlowWithHeaderAuthorization()","Currently this test is ignored in Usergrid master branch: ApplicationResourceIT.clientCredentialsFlowWithHeaderAuthorization()  If it is still relevant we should fix it and un-ignore it.",Story,Major,Closed,"2015-11-12 17:16:50","2015-11-12 17:16:50",3
"Apache Usergrid","Unique Value Cleanup in 2.1 - cleaning up old columns for old versions","Ensure code makes it in to prevent wide rows in unique_values CF due to old versions not getting cleaned up ",Story,Major,Closed,"2015-11-09 18:12:26","2015-11-09 18:12:26",3
"Apache Usergrid","POST /users/{user}/devices/notifications does not work.",,Story,Major,Closed,"2015-11-09 17:52:08","2015-11-09 17:52:08",1
"Apache Usergrid","Order of operations error in Query Execution"," I have a test that shows that queries of this form work: C = c and ( A > a or B = false )  But the very same query formed like this will not work properly: ( A > a or B = false ) and C = c  ",Bug,Major,Closed,"2015-11-05 18:56:05","2015-11-05 18:56:05",5
"Apache Usergrid","Load test in-memory queue with current consumer and queue implementation",,Story,Major,Closed,"2015-11-04 21:34:21","2015-11-04 21:34:21",3
"Apache Usergrid","Test and design for ElasticSearch running on Tomcat nodes","This can become a coordination task with other teams as well as executing it ourselves - for example with Kris Bhandare",Story,Major,Open,"2015-11-04 21:33:13","2015-11-04 21:33:13",5
