Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Apache MXNet","Add dType to Labels Data Desc in NDArrayDataIter","Based on a customer ask here :          [https://discuss.mxnet.io/t/why-does-ndarrayiter-use-float32-for-the-label-datadesc/3024] ",Improvement,Major,Done,"2019-01-31 17:48:56","2019-01-31 17:48:56",2
"Apache MXNet","Change Java API method signatures to take Iterables instead of List","If we can do that it'll also let people use the same method with Sets, queues, etc.",Improvement,Minor,Done,"2019-01-10 19:40:48","2019-01-10 19:40:48",2
"Apache MXNet","Add Bounding Boxes over the image in SSD Example","Similar to the Python SSD example : [https://gluon.mxnet.io/chapter08_computer-vision/object-detection.html], we should have a utility method to draw bounding boxes on the image rather than spit out numbers (co-ordinates and probabilities) for objects detected in the image.          Here's something similar on the above lines in Scala : [https://brunk.io/deep-learning-in-scala-part-3-object-detection.html]     ",Improvement,Minor,Done,"2018-12-27 23:01:12","2018-12-27 23:01:12",3
"Apache MXNet","Fix Performance issue with GPU of Object Detector",,"New Feature",Major,Done,"2018-12-04 05:42:07","2018-12-04 05:42:07",3
"Apache MXNet","Enable custom Shape input for inference","Currently, Predictor API only allows fixed-shape data as the input. Backend already capable for handling different shape input.",Improvement,Major,Done,"2018-11-20 05:17:37","2018-11-20 05:17:37",3
"Apache MXNet","Clean up the way to do test",,Sub-task,Major,Done,"2018-11-16 01:12:56","2018-11-16 01:12:56",1
"Apache MXNet","Clean up NDArray",,Sub-task,Major,Done,"2018-11-15 06:34:05","2018-11-15 06:34:05",1
"Apache MXNet","add CentOS build for Scala/Java package",,Bug,Major,Done,"2018-11-15 06:08:26","2018-11-15 06:08:26",3
"Apache MXNet","fix document issue","Fix the final merge document issue",Sub-task,Major,Done,"2018-11-14 19:14:16","2018-11-14 19:14:16",1
"Apache MXNet","Add Scala/Java Benchmark Memory Monitoring toolkit","User should be able to use toolkit that is available in Scala/Java to monitor the CPU/GPU RAM usage while running the benchmarks.",Improvement,Major,Done,"2018-11-09 04:37:13","2018-11-09 04:37:13",3
"Apache MXNet","cherry-pick resource scope PR",,Sub-task,Major,Done,"2018-11-07 21:47:02","2018-11-07 21:47:02",1
