Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Alloy Framework","Alloy: ListView dataBinding creates deprecated setItems call","When using Alloy ListView databinding it will produce code with  and therefore produce a using deprecated setter warning:    https://github.com/appcelerator/alloy/blob/6c311743af90da438f9c30bfdbe29275247daa51/Alloy/commands/compile/parsers/Ti.UI.ListSection.js#L163    ",Improvement,Critical,Closed,"2020-08-11 20:11:46","2020-08-11 20:11:46",1
"Alloy Framework","Add ability to run in the background without UI","*Summary:*  We plan on adding a new tiapp.xml property run-in-background, when set {{true}}, will allow the app.js to be executed while the app is in the background and is unable to host UI. This means we have to defer root window creation until the app is ready to host UI. On Android, we also need to support recreation of the root window when user backs out of the app and re-launches it.    See Titanium SDK ticket [TIMOB-27896] for details.    *To-Do:*  The app.js generated by Alloy needs to be changed to the following...      *Note:*  We need to release this Alloy change via CLI 8.1.0 before we release Titanium 9.1.0. The new Titanium backgrounding feature won't work correctly on Alloy without it. The plan is to have the Titanium 9.1.0 build system check that CLI 8.1.0 is installed when the backgrounding feature is enabled in the tiapp.xml or else we'll trigger a build failure.  ","New Feature",Medium,Closed,"2020-06-03 03:55:54","2020-06-03 03:55:54",1
"Alloy Framework","Use standalone compiler package","For Webpack support the Alloy compiler was refactored and moved into a standalone package for easier access in other tooling. This works needs to be folded back into the main Alloy package.","New Feature",None,"In Review","2020-03-04 13:22:27","2020-03-04 13:22:27",21
"Alloy Framework","Styles: Alloy global can no longer be accessed in styles","h5.Description    SDK 9 removes the implicit global scope in app.js. We tried to handle this in ALOY-1633, but there was an oversight that the Alloy global can be used in styles which does not get touched by the babel plugin.    We need to either figure out how we can inject Alloy if needed, or just fallback to forcing the Alloy global to exist    h5.Steps to reproduce    1. Copy the below contents to the right files    {code: title=alloy.js}  Alloy.Globals.color = 'blue'      {code: title=controllers/index.js}  function onClick() {   $.UI.create('Window');  }  $.win.open();    2. Build for any platform/device  3. Tap the window      h5.Actual    Runtime error    h5.Expected    Blue window with the label foo",Bug,High,Closed,"2020-02-20 16:25:36","2020-02-20 16:25:36",5
"Alloy Framework","The generated directories /i18n and /platform should be moved","After the patch which required you to move the folders `i18n` and `platform` into `/app`, the legacy folders were being created after a build with one tag-file named `alloy_generated`.    This makes little sense and I suggest generating those files into the `build` directory since that is where they belong. Having more generated directories in the root of your project requires people to add more `.gitignore` rules",Improvement,High,Open,"2016-08-01 13:42:29","2016-08-01 13:42:29",5
"Alloy Framework","TextField property value generate a bug in iOS","Just found a rather odd bug using a textfield. Looks like it refuses to take a value of 86.6 instead setting it to 86.599999999    *Test Environment:*      *Test code:*  *Index.xml*    *Index.js*      *Test result:* See the attachment section.    *Test steps:*  1. Open Appcelerator studio and create an alloy project.  2. Add index.xml and index.js in the project.  3. Run the project with iOS 13 or iOS 12 device or simulator.",Bug,High,Resolved,"2019-10-11 06:42:01","2019-10-11 06:42:01",0
"Alloy Framework","XML: Unable to use platform namespace restriction on event handlers","h5.Description    ALOY-1646 introduced support for namespacing an xml attribute to restrict a property to a single platform, this does not work for event handlers as they are handled separately to where this is done.    {code: title=index.xml}  <Alloy>   <Window android:onClick=doClick>   </Window>  </Alloy>      h5.Steps to reproduce    1. Add the above to your index.xml/index.js files  2. Build to Android    h5.Actual    No event listener is attached    h5.Expected    Event listener should be attached",Bug,Medium,Closed,"2019-08-20 14:52:10","2019-08-20 14:52:10",3
"Alloy Framework","Compile: Errors thrown during sourcemap step are not visible to a user","h5.Description    *This is a regression due to ALOY-1629, as babel became stricter on syntax being more correct. There's nothing we can do to stop this being thrown, other than backing that out which imo we shouldnt do. We should prefer correctness*    When we hit an error in the parsing of code in the sourcemap step we currently log it a trace level and rethrow it. This doesn't really help a user figure out what's wrong, we should handle it similarly to other babel processing errors where we construct a codeframe for the error and log that to give a user some context as to what the error is    We should be able to achieve this by using the [dieWithCodeFrame|https://github.com/appcelerator/alloy/blob/c63914c87610bcd1bc0e8be3426b160783a0991e/Alloy/utils.js#L535] function from utils, as the error is thrown by babel we should have the required info    h5.Steps to reproduce    1. Add the below to a file under lib    2. Run a build for any platform    h5.Actual    The build errors with a stacktrace, but no real useful info    h5.Expected    The build should error with a codeframe to try and point a user to the right location and what the error is",Bug,None,Closed,"2019-07-22 15:48:59","2019-07-22 15:48:59",3
"Alloy Framework","Alloy: Prevent re-opening DB on queries","- During {{sync}}, Alloy will {{open}} and {{close}} the database. Which is unnecessary and has an overhead of ~5ms.  - We can prevent closing the database and maintain an open connection to the database.",Improvement,Medium,Closed,"2019-06-20 23:50:50","2019-06-20 23:50:50",3
"Alloy Framework","Source maps report incorrect file value","The generated source maps for Alloy report an incorrect file value, which is intended to be the generated JS file's path. (it reports a similar path, with the platform folder stripped out)",Bug,High,Closed,"2019-06-07 16:48:12","2019-06-07 16:48:12",3
