Name,Title,Description,Type,Priority,Status,Creation_Date,Estimation_Date,Story_Point
"Command-Line Interface","Update to acs 2.1.10","h5.Description    Update the acs package from 2.1.8 to 2.1.10.    We will need to update the {{appc login}} command to write to the new acs config file at {{~/.axway/acs/acs.json}} -as well as the old location- instead of the old location",Story,High,"In Review","2020-10-20 16:10:59","2020-10-20 16:10:59",3
"Command-Line Interface","Update to titanium cli 5.2.3","We discovered a bug where symlinks in the Titanium SDK zip would not be preserved on extraction, this is important for 9.2.0 where xcframeworks make extensive use of symlinks internally.    Updating to titanium cli 5.2.3 will fix this",Story,High,Closed,"2020-09-14 17:17:02","2020-09-14 17:17:02",1
"Command-Line Interface","Always prompted for iOS code base on modules even if set","h5.Description    When providing the {{--ios-code-base}} option it will still be prompted for, it should not be prompted for if it wasnt provided    h5.Steps to reproduce    1. Select an SDK >= 9.1.0 and run {{appc new --type timodule --name testmodule --id com.awam --project-dir /Users/awam/Desktop/Test/testmodule --platforms ios,android --no-prompt --log-level info --android-code-base kotlin --ios-code-base objc}}=    h5.Actual    Prompted for iOS code base    h5.Expected      No prompt",Bug,High,Closed,"2020-09-09 15:47:46","2020-09-09 15:47:46",1
"Command-Line Interface","Allow passing template option through when creating a classic application","h5.Description    To support the creation of webpack enabled classic projects we want to allow passing the {{--template}} option through to classic applications too, currently the code will not pass the template option through to the {{titanium create}} command only to the {{alloy new}} command",Improvement,High,Closed,"2020-07-17 18:32:48","2020-07-17 18:32:48",5
"Command-Line Interface","Improve handling of no MBaaS entitlement","h5.Description    When creating a new project we will try to create a MBaaS resource, it seems that his creation is completely unguarded in terms of whether the user has access to MBaaS, and results in an ugly and confusing error being thrown like the below. We should improve this so that we don't create an MBaaS resource if they don't have access, and maybe logging if not entitled?    ",Improvement,None,Closed,"2020-04-28 19:42:03","2020-04-28 19:42:03",5
"Command-Line Interface","Android: Packaging an unregistered app does not encrypt files","h5. Steps to reproduce:  1. Make sure the project it not registered to your org.  2. Try to package (production build) the project for android distribution.  3. Unzip the {{.apk}} file & check the contents in {{./assets/resources}}.    h5. Actual results:  1. The {{app.js}} and other files are not encrypted.    h5. Expected results:  2. The {{app.js}} and other files should be encrypted.",Bug,None,Closed,"2020-02-19 23:36:56","2020-02-19 23:36:56",3
"Command-Line Interface","Remove API Builder (arrow) in 8.0.0","API Builder 3 will be EOL at the end of April 2020 and has been deprecated in the 7.x CLI already. Since the 7.x CLI is supported past this EOL date we should be able to get away with cleaning up the 8.0.0 release with a breaking change to remove it, making the footprint significantly smaller.    [~cmcgovern] has approved this decision.  ",Story,None,Closed,"2020-01-15 10:44:52","2020-01-15 10:44:52",3
"Command-Line Interface","No watchos simulators shown in studio","h5.Description    Update ioslib to v2.5.3 to pull in the fix for DAEMON-306 ",Bug,None,Resolved,"2019-11-21 14:00:37","2019-11-21 14:00:37",1
"Command-Line Interface","Update to daemon 3.x","We should ship the long awaited appcd 3.X line with CLI 8.0.0, this is already being tracked in the next branch but this makes it official",Story,High,Closed,"2019-11-15 15:59:16","2019-11-15 15:59:16",3
"Command-Line Interface","For Push in Preproduction & Older environments require '/v1' extension for acs-base URL","For Push in Preproduction & Older environments require '/v1' extension for acs-base URL.    If we change:     to       in the tiapp.xml. titanium in preprod will create URL successfully and ti.cloudpush will not throw an error. This is not the case in production where '/v1' is not needed.    but against Production it seems as per my tests we dont need to add '/v1' to the tiapp.xml.",Story,High,Resolved,"2019-10-21 11:37:02","2019-10-21 11:37:02",1
"Command-Line Interface","Remove longjohn dependency","We use [longjohn|https://www.npmjs.com/package/longjohn] in our CLI to improve stack traces for async code. However, longjohn has quite a few negative impacts and shouldn't be used in procution code, mainly due to performance reasons.    Additionally longjohn has issues with source maps, which we now try to parse in our JS processing build step. This can lead to obscured error messages coming from longjohn instead of the original error, e.g. missing or corrupt source map.    We should remove longjohn to avoid all of the above issues in our shipped CLI.",Improvement,None,Closed,"2019-09-13 17:07:37","2019-09-13 17:07:37",1
"Command-Line Interface","Daemon: update to ioslib 2.5.1 to support apple certificate detection","ioslib was updated in TIMOB-27358 to support detecting the new apple certs, we need to update ioslib in the daemon to support detecting these so Studio can show them",Improvement,High,Closed,"2019-09-03 10:32:57","2019-09-03 10:32:57",1
